FIPS,State,"County, State",Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child food insecurity rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
41001,OR,"Baker County, Oregon",0.168,2700,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.836,,0.164,0.304,970,0.86,0.14,2.93,1397000,2014
41003,OR,"Benton County, Oregon",0.161,13880,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.718,,0.282,0.208,3070,0.61,0.39,3.1,7595000,2014
41005,OR,"Clackamas County, Oregon",0.125,48240,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.606,,0.394,0.208,18310,0.56,0.44,3.11,26484000,2014
41007,OR,"Clatsop County, Oregon",0.15,5570,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.777,,0.223,0.254,1880,0.73,0.27,2.88,2833000,2014
41009,OR,"Columbia County, Oregon",0.145,7150,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.698,,0.302,0.254,2880,0.68,0.33,3.27,4127000,2014
41011,OR,"Coos County, Oregon",0.17,10650,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.785,,0.215,0.274,3210,0.7,0.3,3.06,5746000,2014
41013,OR,"Crook County, Oregon",0.174,3630,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.896,,0.104,0.305,1290,0.88,0.12,5.61,3598000,2014
41015,OR,"Curry County, Oregon",0.17,3800,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.801,,0.199,0.263,920,0.76,0.24,3.3,2217000,2014
41017,OR,"Deschutes County, Oregon",0.152,24730,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.74,,0.26,0.251,9100,0.7,0.3,3.11,13585000,2014
41019,OR,"Douglas County, Oregon",0.17,18260,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.804,,0.196,0.299,6360,0.77,0.23,2.82,9087000,2014
41021,OR,"Gilliam County, Oregon",0.144,280,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.724,,0.276,0.207,80,0.75,0.25,3.16,156000,2014
41023,OR,"Grant County, Oregon",0.169,1240,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.774,,0.226,0.28,380,0.79,0.21,2.85,623000,2014
41025,OR,"Harney County, Oregon",0.179,1300,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.876,,0.124,0.316,490,0.82,0.18,2.94,675000,2014
41027,OR,"Hood River County, Oregon",0.104,2350,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.773,,0.227,0.216,1240,0.61,0.39,3.44,1426000,2014
41029,OR,"Jackson County, Oregon",0.16,32990,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.804,,0.196,0.268,11810,0.74,0.26,2.9,16904000,2014
41031,OR,"Jefferson County, Oregon",0.149,3260,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.857,,0.143,0.283,1530,0.86,0.14,3.29,1893000,2014
41033,OR,"Josephine County, Oregon",0.173,14360,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.878,,0.122,0.294,4870,0.82,0.18,3.15,7982000,2014
41035,OR,"Klamath County, Oregon",0.165,10890,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.818,,0.182,0.268,3860,0.71,0.29,3.14,6044000,2014
41037,OR,"Lake County, Oregon",0.173,1360,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.876,,0.124,0.268,390,0.75,0.25,2.95,707000,2014
41039,OR,"Lane County, Oregon",0.165,58660,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.794,,0.206,0.253,17420,0.69,0.31,2.94,30409000,2014
41041,OR,"Lincoln County, Oregon",0.157,7250,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.8,,0.2,0.271,2160,0.77,0.23,3.41,4359000,2014
41043,OR,"Linn County, Oregon",0.162,19110,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.805,,0.195,0.286,7990,0.74,0.26,2.84,9586000,2014
41045,OR,"Malheur County, Oregon",0.149,4580,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.862,,0.138,0.272,2080,0.75,0.25,2.67,2160000,2014
41047,OR,"Marion County, Oregon",0.137,44050,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.851,,0.149,0.249,20690,0.75,0.25,2.8,21777000,2014
41049,OR,"Morrow County, Oregon",0.11,1230,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.933,,0.067,0.237,750,0.74,0.26,2.84,617000,2014
41051,OR,"Multnomah County, Oregon",0.161,121970,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.732,,0.268,0.236,35890,0.66,0.34,3.15,67869000,2014
41053,OR,"Polk County, Oregon",0.142,10860,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.769,,0.231,0.235,4280,0.71,0.29,3.01,5773000,2014
