FIPS,State Name,State,Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
1,Alabama,AL,0.188,911440,1.3,SNAP,1.85,Other Nutrition Program,0.532816202931625,0.163170367769683,0.304178004037567,0.264,292330,0.73,0.27,2.9,466367000,2014
2,Alaska,AK,0.144,105770,1.3,SNAP,1.85,Other Nutrition Program,0.445022218020233,0.150987992814598,0.40398978916517,0.204,38080,0.58,0.42,3.33,62181000,2014
4,Arizona,AZ,0.171,1150650,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.669586755312215,,0.330413244687785,0.268,434840,0.68,0.32,2.78,563767000,2014
5,Arkansas,AR,0.191,567250,1.3,SNAP,1.85,Other Nutrition Program,0.533627148523579,0.164812692816219,0.302053768179815,0.263,185660,0.72,0.28,2.72,272668000,2014
6,California,CA,0.139,5401770,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.785533260394278,,0.214474144585941,0.229,2099120,0.68,0.32,3.04,2896128000,2014
8,Colorado,CO,0.129,692840,1.3,SNAP,1.85,Other Nutrition Program,0.476589111483171,0.156414179319901,0.366910109116102,0.181,226350,0.64,0.36,3.04,372418000,2014
9,Connecticut,CT,0.131,472540,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.556545477631523,,0.443454522368477,0.181,140290,0.62,0.38,3.06,254876000,2014
10,Delaware,DE,0.126,117970,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.64304484190896,,0.357039925404764,0.178,36380,0.67,0.33,2.99,62194000,2014
11,District of Columbia,DC,0.138,90900,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.731023102310231,,0.268976897689769,0.259,29820,0.68,0.32,3.49,56025000,2014
12,Florida,FL,0.162,3227600,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.746003222208452,,0.254009170900979,0.249,1007870,0.7,0.3,3.07,1749270000,2014
