osm_id,name,NHS,RLIS.bicycle,addr.postcode,alt_name,bicycle,bridge,bridge.name,bridge.structure,cycleway,destination,destination.ref,embankment,hgv,hgv.national_network,highway,junction,lanes,lanes.backward,lanes.forward,layer,length,length_unit,level,maxheight,maxspeed,maxspeed.hgv,name_1,old_ref,oneway,postal_code,ref,shoulder,sidewalk,source,source.hgv.national_network,start_date,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_base_4,tiger.name_direction_prefix,tiger.name_direction_prefix_1,tiger.name_direction_suffix_1,tiger.name_direction_suffix_2,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,tunnel,tunnel.name,wikidata
"5039315",13th Street,,,,,,,,,,,,,,,primary,,"2",,,,,,,,25 mph,,,,yes,,OR 281,,,,,,,A41,,13th,,,,,,,,,St,,,,,,,,,,
"5039322",Odell Highway,,,"97031",,,,,,,,,,,,primary,,,,,,,,,,,,,,,,OR 282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039553",,,,,,yes,,,,,Viento State Park,,,,,motorway_link,,,,,,,,,,45 mph,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,
"5039718",Tucker Road/281,,,"97031",,,,,,,,,,,,primary,,,,,,,,,,,,,,,,OR 281,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,
"5039727",,,,,,yes,,,,,,,,no,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,
"5039970",Tucker Road,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,OR 281,,,,,,,A41,,Tucker,,,,,,,,,Rd,,,,no,,,,,,
"5040283",Tucker Road,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,OR 281,,,,,,,A41,,Tucker,,,,,,,,,Rd,,,,,,,,,,
"5040477",12th Street,,,,,,,,,,,,,,,primary,,"4",,,,,,,,25 mph,,,,,,OR 281,,,,,,,A41,,12th,,,,,,,,,St,,,,,,,,,,
"5040544",Odell Highway,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,OR 282,,,,,,,A41,,Odell,,,,,,,,,Hwy,,,,,,,,,,
"5040636",Tucker Road,,,,,,,,,,,,,,,primary,,,,,,,,,,40 mph,,,,,,OR 281,,,,,,,A41,,Tucker,,,,,,,,,Rd,,,,,,,,,,
"5040729",,,,,,yes,,,,,Wyeth,,,,,motorway_link,,,,,,,,,,45 mph,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,
"5040876",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,tiger_import_dch_v0.5_20070714,"158133858",,,
"5040913",,,,,,yes,,,,,Viento State Park,,,,,motorway_link,,,,,,,,,,45 mph,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,
"5040938",Tucker Road,,,"97031",,,,,,,,,,,,primary,,,,,,,,,,,,,,,,OR 281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5041147",Mount Hood Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,Highway 35,,,,OR 35,,no,TIGER,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"5041294",,,,,,yes,,,,,Wyeth,,,,,motorway_link,,,,,,,,,,45 mph,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,
"5083705",Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,,,US 97,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,"Sherman, OR",United States Highway 97,,,,,,,,,,,,,no,,,,,,
"5083730",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5083919",Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,45 mph,,,,,,US 97,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"5083958",US Route 97 - Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"5083984",,,,,,yes,,,,,"Yakima;Bend",US 97,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Sherman, OR",,,,,,,,,,,,,,,,,,,,
"5084094",,,,,,yes,,,,,"Yakima;Bend",US 97,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Sherman, OR",,,,,,,,,,,,,,,,,,,,
"5084194",,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Sherman, OR",,,,,,,,,,,,,,no,,tiger_import_dch_v0.6_20070808,175499577:175499574:175499465:175499673:175499430,,,
"5192454",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,,,,yes,,"I 84;US 30",,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5192636",,,,,,yes,,,,,Mosier,,,,,motorway_link,,"1",,,,,,,,,,,,yes,,US 30,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"5192658",Lincoln Street,,,,,,,,,,,,,,,primary_link,,"1",,,,,,,,,,,,yes,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5192731",,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 30,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"5192734",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,"I 84;US 30",,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5192744",,,,,,yes,,,,,Rowena,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"5192796",West 3rd Street,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5192835",West 3rd Place,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5192941",,,,,,yes,,,,,Mosier,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"5193225",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,no,tiger_import_dch_v0.6_20070825,175531290:175531469,,,
"5193396",Warm Springs Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,,,US 26,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,,Warm Springs,United States Highway 26,,,,,,,,Hwy,,,,no,,,,,,
"5193442",,,,,,yes,,,,,"The Dalles City Center;National Historic Districts",,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5193517",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,no,no,tiger_import_dch_v0.6_20070825,"175532401",,,
"5193586",East 2nd Street,,,,State Road,,,,,,,,,,,primary,,"2",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5193699",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,,,,,A21,,"State Highway 216;United States Highway 197","United States Highway 197;The Dalles-California",State Highway 216,The Dalles-California,,,,,,Rd,Hwy,,Hwy,no,,,,,,
"5193723",Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,,,US 97,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,,Sherman,United States Highway 97,,,,,,,,Hwy,,,,no,,,,,,
"5193748",East 3rd Street,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5193826",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,,,,,A21,,"United States Highway 197; The Dalles-California; United States Highway 197",United States Highway 197,,,,,,,,Hwy,,,,,,,,,,
"5193858",,,,,,yes,,,,,West The Dalles,US 30,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"5193885",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,,,,,,,,,,,,,,,,,,,,no,,,,,,
"5193964",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5194541",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5194668",,,,,,yes,,,,,The Dalles City Center,US 30 east,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,TIGER,,,asphalt,,,,,,,,,,,,,,,,,,,,,,
"5194713",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,tiger_import_dch_v0.6_20070825,175531270:175531271,,,
"5195006",,,,,,yes,,,,,Celilo Park,OR 206,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"5195055",,,,,,yes,,,,,"Celilo Park;Deschutes State Park",OR 206,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"5195156",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,tiger_import_dch_v0.6_20070825,"175544818",,,
"5195163",,,,,,yes,,,,,"Dufur;Bend",US 197,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5195234",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5195260",West 2nd Street,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5195517",Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,,,US 97,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"5195561",,,,,,yes,,,,,"Dufur;Bend","US 30;US 197",,,,motorway_link,,"1",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5195640",Warm Springs Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,no,,US 26,,,TIGER,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"5195688",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"5195784",The Dalles-California Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 97,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,,The Dalles-California,United States Highway 197,,,,,,,,Hwy,,,,no,,,,,,
"5195887",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5201550",,,,,,yes,,,,,Blalock Canyon,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"5201620",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,tiger_import_dch_v0.6_20070808,175391060:175390970,,,
"5201819",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"5201980",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"5202046",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,45 mph,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"5277799",,,caution_area,,,yes,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,no,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5284413",,,caution_area,,,yes,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,no,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5289476",Mount Hood Highway,yes,caution_area,,,yes,,,,,,,,designated,yes,primary,,,,,,,,,,,,Highway 35,,,,OR 35,,no,TIGER,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"5444534",Warm Springs Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,,,US 26,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,"Jefferson, OR",Warm Springs,United States Highway 26,,,,,,,,Hwy,,,,no,,,,,,
"5922398",,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"5924270",,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,no,,,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5926034",,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"5929783",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,"98620","US 97;WA 14",,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5930357",Lewis and Clark Trail Highway,,,,,,,,,,,,,,,primary,,,,,,,,,,65 mph,,,,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5930388",Lewis and Clark Trail Highway,yes,,,,,,,,,,,yes,,,primary,,"2",,,,,,,,60 mph,,,US 830,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5931022",Sam Hill Memorial Bridge,yes,,,,,yes,,,,,,,,,primary,,"2",,,"1",,,,,,,,,,,US 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5931048",United States Route 97,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,yes,,US 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6115880",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,55 mph,,,US 830,,,WA 14,,,,,,,A31,"Skamania, WA",State Route 14,State Highway 14,,,,,,,,,,,,no,,,,,,
"27440646",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"27440647",The Dalles-California Highway,,,,,,yes,,beam,,,,,designated,yes,primary,,"2",,,"1",,,,,,,,,,,US 197,,,Yahoo image,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c,,,,,,,,,,,,,,,,,,,,,,,,
"27460534",Sam Hill Memorial Bridge,yes,,,,,yes,,,,,,,designated,yes,primary,,"2",,,"1",,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,asphalt,,,,,,,,,,,,,,,,,,,,,,
"27460537",,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 97,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"34615923",Mosier-The Dalles Highway,,,,,yes,,,,,,,,,,motorway_link,,"2",,,,,,,,,,,,no,,US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34615924",Mosier-The Dalles Highway,,,,,yes,yes,,,,,,,,,motorway_link,,"2",,,"1",,,,,,,,,no,,US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35261819",The Dalles-California Highway,,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 197,,,Yahoo image,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"35261820",The Dalles-California Highway,,,,,,yes,,,,,,,,,primary,,"2",,,"1",,,,,,,,,,,"US 30;US 197",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"35567368",,,,,,yes,,,,,,,,,,motorway_link,,"2",,,,,,,,,,,,no,,US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
