osm_id,name,addr.postcode,alt_name,bicycle,bridge,bridge.name,cycleway,highway,lanes,layer,maxspeed,maxspeed.variable,name_1,name_2,name_3,old_ref,oneway,pc_left,pc_right,postal_code,ref,sidewalk,source,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_base_4,tiger.name_direction_prefix,tiger.name_direction_suffix,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.name_type_4,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,turn.lanes,wikidata
"5039276",National Forest Development Road 17,,Brooks Meadow Road,,,,,tertiary,,,,,,,,,,,,,NF 17,,,paved,,,,,,,,,,,,,,,,,,,,
"5039280",Kingsley Guard Station Road,,Kingsley Road,,,,,tertiary,,,,,,,,,,,,,,,,unpaved,A41,,Kingsley Guard Station,Kingsley,,,,,,Rd,Rd,,,,,,,,,
"5039287",Lost Lake Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5039317",Lost Lake Road,,National Forest Development Road 13,,,,,tertiary,,,,,,,,,,,,,NF 13,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5039385",Neal Creek Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5039400",Evans Creek Drive,,,,,,,tertiary,"2",,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5039412",Country Club Road,,,,,,,secondary,,,,,,,,,,,,,,,,,A41,,Country Club,,,,,,,Rd,,,,,,,,,,
"5039464",Country Club Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Country Club,,,,,,,Rd,,,,,no,,,,,
"5039466",Indian Creek Road,"97031",,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,
"5039490",May Drive,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,May,,,,,,,Dr,,,,,,,,,,
"5039495",Straight Hill Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
