,PROJECT_ID,ABSTRACT,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,PROJECT_START_DATE,PROJECT_END_DATE,FY,FY_TOTAL_COST
0,89996,"This is a project to explore Game-based, Metaphor Enhanced (GaME) design. GaME is a method for applying cognitive science metaphor theory toward the design of computer-mediated learning environments. The process uses structure mapping theory to design videogame worlds aligned with science concepts. This is a rigorous specification procedure for mapping relational structure from targeted concept to game world. GaME design translates a targeted concept into a game system, game play, and game goal. Because the relational structure of the game world is designed as an analog of the targeted conceptual domain, players begin to construct mental models of the targeted concept during interactive gameplay. This makes learning concrete and embodied. Gameplay experiences are designed to guide the learner to discover the relational structure of the targeted concept. This gameplay is a readiness activity for preparing the learner for subsequent instruction. The primary objective of the Cyber-Enabled Teaching and Learning through Game-based, Metaphor Enhanced Learning Objects (CyGaMEs) project is to empirically test this application of cognitive science theory. Aptly designed videogame worlds will provide common experience that prepares educators and their learners to achieve success. CyGaMEs employs cognitive science, informatic sciences, and analysis methodologies to enhance control over what games do: Engage learning through doing, discovery, and inquiry. While each player takes an idiosyncratic route, applied structure mapping theory ensures that gameplay exploration proceeds toward the learning goal.  Selene: A Lunar Creation GaME is the core of CyGaMEs research. This project will: (a) complete, refine and test existing Selene prototype, (b) collect GaME data representing perceptions and learning, (c) develop and refine new methods and metrics for assessing motivation, engagement, and achievement within instructional videogames, and (d) integrate GaME data collection and assessment within a cyber-enabled informatics infrastructure.",Achievement; analog; base; Cognitive Science; computer design; Conceptual Domain; Data; Data Collection; design; Educational process of instructing; Ensure; Environment; experience; Goals; Informatics; Instruction; Learning; Maps; Mediating; Metaphor; Methodology; Methods; Metric; Modeling; Motivation; Perception; Play; Procedures; Process; prototype; Psyche structure; Readiness; Research; Research Infrastructure; Route; Science; Structure; success; System; Testing; theories; Translating,"RUI: CYGAMES: CYBER-ENABLED TEACHING AND LEARNING THROUGH GAME-BASED, METAPHOR ENHANCED LEARNING OBJECTS",NSF,NSF,9/15/2008,8/31/2012,2008,1999467.0
1,89999,"In partnership with the American Chemical Society (ACS) and the National Academy of Sciences (NAS), the International Union of Pure and Applied Chemistry (IUPAC) will convene two roundtable meetings in conjunction with the ACS National Meetings in 2008 and 2009. The meetings will promote continued, multinational dialogue on establishing effective programs for funding international collaborative research projects in chemistry; and will also deepen the engagement between the U.S. chemical sciences community, the ACS, and the international Union.These meetings will stimulate the further development of productive collaborative activities between international research communities and help advance the development of more effective mechanisms for international collaborative research in chemistry. The meetings will be of widespread and enduring benefit to the community.",Advanced Development; American; Chemicals; Chemistry; Communities; Development; Fostering; Funding; International; meetings; programs; Research; Research Project Grants; Science; Societies,FOSTERING US-INTERNATIONAL COLLABORATIVE PARTNERSHIPS IN CHEMISTRY,NSF,NSF,8/1/2008,12/31/2010,2008,51000.0
2,90006,MAPPING / CHARACTERIZATION / AND ANALYSIS OF CHANNEL/VALLEY FEATURES ON TITAN- Elongate sinuous features interpreted as fluvial in origin have been identified on Titan in data from all three of Cassini''s imaging instruments - the Cassini Titan Radar Mapp,Data; Image; instrument; Maps; Radar; Titan,MAPPING / CHARACTERIZATION / AND ANALYSIS OF CHANNEL/VALLEY FEATURES ON TITAN- ELONGATE SINUOUS FEATURES INTERPRETED AS FLUVIAL IN ORIGIN HAVE BEEN IDENTIFIED ON TITAN IN DATA FROM ALL THREE OF CASSINI''''S IMAGING INSTRUMENTS - THE CASSINI TITAN RADAR MAPP,NASA,NASA,9/9/2008,9/8/2011,2008,197533.0
3,89993,"Amphibian populations around the world are experiencing declines and mass mortalities at an unprecedented rate. The fungal disease chytridiomycosis is a primary cause of this epidemic, and differential susceptibility among species occurring in similar environments suggests that genetics may determine how individuals respond to infection. Zamudio and Lips will combine field and laboratory studies to test whether variability in immunity genes of the major histocompatibility complex (MHC) confer differential survivorship to this emerging infectious disease, and how the disease itself alters the genetic and demographic composition of populations following an outbreak. The proposal focuses on frog populations in Central America where chytridiomycosis lethality is prevalent; however, their findings will be applicable to amphibian populations worldwide.This project will provide a better understanding of how emerging diseases shape adaptive molecular evolution, and how variability in immunity genes contribute to the response to novel disease threats. This research will quantify the molecular effects of this disease in ?real-time?, in addition to the genetic determinants of survivorship, resulting in useful epidemiological predictions for other populations or species that have yet to be exposed to the disease.",Amphibia; Central America; Communicable Diseases; Disease; Disease Outbreaks; Emerging Communicable Diseases; Environment; Epidemic; Epidemiology; Evolution; experience; Genes; Genetic; Genetic Determinism; Immunity; Individual; Infection; Laboratory Study; Lip structure; Major Histocompatibility Complex Gene; Molecular; Molecular Evolution; novel; Population; Predisposition; Research; response; Shapes; survivorship; Testing; Time,COLLABORATIVE RESEARCH: EVOLUTION OF AMPHIBIAN MHC GENES AFTER AN INFECTIOUS DISEASE OUTBREAK,NSF,NSF,10/1/2008,3/31/2009,2008,
4,90011,"The Ohio State University College of Education (OSU), the National Middle School Association (NMSA), and Education Development Center (EDC) are providing a stewardship role for middle level educators of mathematics and science by creating the Math and Science Middle School Pathways Portal, or MSP2. While continuing to create and offer contextualized, high-quality resources, MSP2 is also capitalizing on Web 2.0 tools to promote interactivity, collaboration, and knowledge sharing among its users. Additionally, MSP2 is expanding its scope of influence through a new section designed for middle school aged youth and new resources related to career development, 21st century skills, and STEM careers. The portal also provides a virtual professional learning community of middle level math and science teachers. Project partners are integrating resources, tools, and services across projects, and supporting multiple methods of resource discovery to meets the needs of this audience. Collaboration among these and other organizations is providing the longer-term sustainability and stewardship of MSP2. The project evaluation is determining the impact of the project on its target audiences and the educational uses of Web 2.0 tools and services.MSP2 enhances the infrastructure for research and education by continuing to develop a contextualized, high-quality resource collection, building and supporting networks of middle grades math and science teachers through a virtual professional learning community, and supporting the educational use of Web 2.0 tools and services. Dissemination of knowledge, experience, and research results is a significant aspect of the project. The project partners are reaching diverse audiences through conferences, meetings, online events, print publications, and Web communications.",career; career development; Collaborations; Collection; college; Communities; Continuing Education; design; Development; Education; Evaluation; Event; experience; Internet; junior high school; Knowledge; Learning; Mathematics; meetings; Methods; middle school; Ohio; Pathway interactions; Printing; Publications; Research; Research Infrastructure; Resources; Role; School-Age Population; Science; Services; skills; symposium; teacher; tool; Universities; virtual; Web communication; Youth,MATH AND SCIENCE MIDDLE SCHOOL PATHWAYS PORTAL (MSP2),NSF,NSF,9/1/2008,8/31/2011,2008,2369022.0
5,90012,"This empirical study examines the variety of materials used and the myriad of teaching strategies employed by U.S. high school mathematics teachers in their effort to prepare students for later success in college calculus, a requirement for most STEM majors. Designed as a retrospective cohort study, we use 12,000 college calculus students' histories to predict performance while controlling for demographic differences. This study has the capability to both reveal the most promising educational practices in mathematics, including technological innovations, and to assess the degree of match between high school math and college calculus courses, both traditional and reform based.",base; Calculi; Cohort Studies; college; design; Educational process of instructing; high school; Mathematics; Performance; Recording of previous events; Students; success; teacher; technological innovation,FICSMATH (FACTORS INFLUENCING COLLEGE SUCCESS IN MATHEMATICS),NSF,NSF,10/1/2008,9/30/2011,2008,1099620.0
6,90017,"The overall goal of this project is to investigate joint influences of genetic propensities and social-control on delinquent behavior. Previous sociological work has demonstrated the critical importance of social structural conditions, family processes, school structure, and peer networks.  These serve as informal social controls that bond individuals to social norms and ultimately may reduce delinquency.  The project draws data sources from the National Longitudinal Study of Adolescent Health (Add Health) to address the question of why some individuals become serious and violent delinquents while others do not, despite growing up in a similar social context and participating in similar social processes.  Dr. Guo and his research teams will investigate the role of genetic propensities, especially as they interact with social control factors, in delinquency.  Specifically, they will use genotype data focusing on the genes that are known to be involved in aggressive behavior in mice to explore how genetic factors might influence delinquency and how those influences may depend on social control processes measured at the levels of friends, peers, family, school, and neighborhood.  This research is based on the premise that genetic effects on delinquency are best understood within a social science theoretical framework, which provides the basis for understanding delinquent behavior as socially produced and socially organized human activity. The newly created molecular genotype data will be merged with the rich social and behavioral longitudinal data in Add Health for other researchers to use.  The results of this study would contribute to the understanding of aggression and delinquency across the life course and could inform intervention efforts.",Address; Adolescent; Aggressive behavior; base; Behavior; Behavioral; Crime; Data; Data Sources; Family; Family Process; Friends; Genes; Genetic; Genotype; Goals; Health; Human Activities; Individual; Informal Social Control; Intervention; Joints; Life Cycle Stages; Longitudinal Studies; Molecular; Mus; Neighborhoods; peer; Process; Process Measure; Research; Research Personnel; Role; Schools; social; Social Controls; Social Environment; Social Sciences; Structure; Violence; Work,GENE BY SOCIAL-CONTROL INTERACTIONS FOR DELINQUENCY AND CRIME,NSF,NSF,10/1/2008,9/30/2011,2008,749361.0
7,90018,"TERC is partnering with the Toxics Action Center to enhance the capacity of environmental organizations to teach mathematical literacy skills to low-income citizens, mostly women of color. Secondary collaborators include four environmental organizations around the country. The project is (1) developing math- and statistics-rich educational materials that help non-scientists interpret environmental test results, (2) developing training materials that help environmental organization personnel provide quantitative literacy training to citizens, (3) helping environmental organizations institutionalize project resources, and (4) evaluating the impact of project activities on environmental organizers, community members, and the general public. Project deliverables include bilingual, print- and web-based instructional materials (including videos) for environmental organizations to use with staff and community members; training sessions to create a cadre of environmental organization leaders who can conduct environment-focused, math training workshops; a communications toolkit for dissemination to journalists who cover environmental issues; and a resource-rich project web site.",Color; Communication; Communities; Country; Educational Materials; Educational process of instructing; Educational workshop; Environment; Environmental Monitoring; General Population; Human Resources; literacy; Low income; member; Online Systems; Printing; Resources; Scientist; skills; statistics; Test Result; Toxic Actions; Training; web site; Woman,STATISTICS FOR ACTION,NSF,NSF,9/15/2008,8/31/2012,2008,1965674.0
8,90029,"The Inland Northwest Community Access Network (TINCAN), the Puget Sound Center for Teaching, Learning and Technology (PSCTLT), and Reel Grrls (a community media center) are partnering to involve 6th and 7th grade middle school girls in science-focused after-school club activities in 10 schools in Seattle and Spokane, Washington. The Science Journalism Pathways to STEM Careers project is engaging girls in science journalism through information and communication technologies (ICT) to investigate and publish information about local science issues of interest to their communities. The ICT focus is video, multimedia, and the Internet. Girls are also conducting hands-on activities and interviewing STEM professionals to learn issue-related science content. The goals of the project are to (1) increase girls' ICT fluency, (2) increase girls' science literacy, (3) increase girls' interest in STEM careers, and (4) increase STEM content in non-science courses taught by social studies teachers who manage the after-school clubs.",career; Communication; Communities; Educational process of instructing; girls; Goals; Hand; interest; Internet; Interview; Journalism; junior high school; Learning; literacy; middle school; Multimedia; Pathway interactions; Publishing; Schools; Science; social; sound; teacher; Technology; Washington,SCIENCE JOURNALISM PATHWAYS TO STEM CAREERS,NSF,NSF,10/1/2008,9/30/2011,2008,1434571.0
9,90038,"ABSTRACT0736126 PI: BardeenThis award is for I2U2: Interactions in Understanding the Universe, an  educational virtual organization  (EDVO), which is designed to strengthen the education and outreach activities of scientific experiments at U.S. universities and laboratoriesby providing infrastructure support and a program framework for a portfolio of coherent, collaborative online science education laboratories. I2U2 maintains a growing online portfolio of educational laboratories for a diverse range of disciplines and provides tools and support services to assist developers in creating these educational resources. These laboratories break new ground by using the national Grid cyberinfrastructure for education in the same way that science increasingly uses the Grid.   I2U2 collaboratories take two similar but distinct shapes. ?e-Labs,? delivered as Web-based portals accessible in the classroom and at home, are implemented with the ever-expanding capabilities of Web-based media. ?i-Labs,? are delivered as interactive interfaces typically located within science museums and similar public venues.   I2U2 will deploy and maintain itself as a ?virtual organization? to provide support for participants across project boundaries and from many different home institutions who share a common interest in developing Grid-based education and outreach resources, and who seek to communicate, coordinate and reach their target audience through the Internet and the Grid.   I2U2 will also extensively evaluate and assess the effectiveness and use of the portfolio of science education laboratories.",Award; base; collaboratory; design; Discipline; Education; Education and Outreach; Home environment; Institution; interest; Internet; Laboratories; Museums; Online Systems; Participant; programs; Research Infrastructure; research study; Resources; Science; science education; Services; Shapes; tool; Universities; Use Effectiveness; virtual,INTERACTIONS IN UNDERSTANDING THE UNIVERSE (I2U2),NSF,NSF,10/1/2008,9/30/2012,2008,1950000.0
