,slug,page_rank,btw_cent,deg_cent,x,y,description,language,commits,prog_go,prog_ruby,prog_cpp,prog_csharp,prog_clang,prog_objc,prog_objcpp,prog_rust,prog_perl,prog_swift,prog_haskell,prog_groovy,prog_clojure,prog_ocaml,prog_dotnet,prog_vbdotnet,prog_fsharp,prog_fortran,prog_commonlisp,prog_coq,prog_gen_all,prog_python,prog_scala,prog_rlang,prog_matlab,prog_stata,prog_sas,prog_julia,prog_stat_all,prog_javascript,prog_java,prog_typescript,prog_php,prog_html,prog_css,prog_dart,prog_kotlin,prog_lua,prog_coffeescript,prog_dm,prog_erlang,prog_elixer,prog_jsonnet,prog_elm,prog_webassembly,prog_purescript,prog_web_all,sys_general,sys_os,sys_windows,sys_linux,sys_mac,sys_modern,sys_bsd,sys_android,sys_solaris,sys_virtual,sys_handheld,sys_emulapi,sys_grouping,sys_other,system_all,topics_ai,topics_dataviz,app_cryptocurrency,app_blockchain_all,app_business_all,app_database_all
0,elixir-lang/elixir,0.006307513802698356,0.002008839862179708,0.06987951807228916,-2.736091,-18.769253,"elixir is a dynamic, functional language designed for building scalable and maintainable applications",Elixir,16239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,phoenixframework/phoenix,0.007030917271336382,0.008008866363084679,0.07710843373493977,-2.6848068,-18.815609,peace of mind from prototype to production,Elixir,6163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Homebrew/brew,0.008249098993553984,0.02059868772016068,0.13253012048192772,-7.9597335,-8.804077,🍺 the missing package manager for macos (or linux),Ruby,19732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
3,Homebrew/homebrew-cask,0.025073147637770066,0.18680857256657277,0.3566265060240964,-8.0460615,-8.85792,🍻 a cli workflow for the administration of macos applications distributed as binaries,Ruby,98162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
4,angular/angular,0.006497080458450879,0.0035860987113670814,0.0891566265060241,16.479237,1.9135753,one framework. mobile & desktop.,TypeScript,16529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,angular/angular-cli,0.003930022475311396,0.0008687868155725099,0.06265060240963856,16.583885,2.1934469,cli tool for angular,TypeScript,5298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,angular/components,0.006029459663558374,0.0030229312619615,0.1879518072289157,15.797291,2.3812866,component infrastructure and material design components for angular,TypeScript,6371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Seldaek/monolog,0.003453135907376514,0.0015803386757954959,0.026506024096385545,-23.864311,6.0160203,"sends your logs to files, sockets, inboxes, databases and various web services",PHP,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,symfony/symfony,0.00479741883406969,0.0013574888392923177,0.04337349397590362,-23.485615,6.292099,the symfony php framework,PHP,46920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,composer/composer,0.0035668496879008816,0.0043319975006140595,0.033734939759036145,-23.392439,5.6627684,dependency manager for php,PHP,8853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
