,Code,Description,Count
0,AA,AA PLC,7.0
1,AAAADJ,"Emperial Americas, Inc.",8.0
2,AAAAIY,"American Academy of Allergy, Asthma and Immunology",1262.0
3,AAABBB,Bird Studies Canada,1.0
4,AAACK,Aesculap AG & Co. KG,600.0
5,AAACT,AAA Cooper Transportation,2.0
6,AAAEMG,ARA Asset Management Limited,2.0
7,AAAFES,Army and Air Force Exchange Service,4.0
8,AAAFTS,AAA Foundation for Traffic Safety,5.0
9,AAAHC,Accreditation Association for Ambulatory Health Care,50.0
10,AAALCL,Anhui Anli Material Technology Co Ltd,5.0
11,AAAMAI,AAA Mid-Atlantic Inc,1.0
12,AAANRG,"Cheniere Energy Partners, L.P.",216.0
13,AAAPIN,A&A Pharmachem Inc,2.0
14,AAAPP,Assa Abloy Australia Pacific Pty Ltd,1.0
15,AAAVTA,American Association of Advertising Agencies,4.0
16,AABAYU,Al al-Bayt University,2.0
17,AABBNK,AABB,161.0
18,AABDEN,AaB A/S,2.0
19,AABKRD,Kreditbanken A/S,2.0
20,AABLS,ABN Amro Bank (Luxembourg) S.A.,2.0
21,AABRAI,Allison Abrasives Inc,2.0
22,AABRIN,ARC Abrasives Inc.,2.0
23,AABSOI,A & B Sound Inc,2.0
24,AACAOR,American Association of Collegiate Registrars and Admissions Officers,2.0
25,AACATH,AAC Technologies Holdings Incorporated,34.0
26,AACCEA,Advanced Accelerator Applications SA,1547.0
27,AACCHE,American Association for Clinical Chemistry,535.0
28,AACCNU,American Association of Critical-Care Nurses,117.0
29,AACCO,Asset Acceptance Capital Corp,45.0
30,AACCTA,American Accounting Association,9.0
31,AACEND,American Association of Clinical Endocrinologists,697.0
32,AACFCU,Army Aviation Center Federal Credit Union,8.0
33,AACFSVN,Menlo College,20.0
34,AACHO,AAC Holdings Inc,447.0
35,AACMRR,AIDS Community Resources,2.0
36,AACMST,"AIDS Action Committee of Massachusetts, Inc.",20.0
37,AACNDI,Armstrong Air Conditioning Inc,1.0
38,AACNIU,A & A Consultants Inc,2.0
39,AACNTI,All American Containers Inc.,3.0
40,AACNUR,American Association of Colleges of Nursing,38.0
41,AACOCG,American Association of Community Colleges,2.0
42,AACON,Airedale International Air Conditioning Ltd,1.0
43,AACPHY,American Association of Colleges of Pharmacy,197.0
44,AACPRH,American Association of Cardiovascular and Pulmonary Rehabilitation,45.0
45,AACRIN,Arms Acres Inc,4.0
46,AACRSH,American Association for Cancer Research,10744.0
47,AACSBQ,The Association to Advance Collegiate Schools of Business,18.0
48,AADCMI,AADCO Medical Inc.,18.0
49,AADEDU,American Association of Diabetes Educators,184.0
50,AADENP,American Academy of Periodontology,125.0
51,AADER,American Academy of Dermatology,2572.0
52,AADGNI,Advanced Animal Diagnostics Inc.,11.0
53,AADPHS,A&D Pharma Holdings N.V.,4.0
54,AADQEUZ,The Spaulding Rehabilitation Hospital Corporation,2.0
55,AADQVNL,Maryland Technology Development Corporation,64.0
56,AADVIL,Altair Advisers LLC,2.0
57,AAEMCI,A & E Incorporated,2.0
58,AAENA,"ANA - Aeroportos de Portugal, S. A.",1.0
59,AAENDO,American Association of Endodontists,88.0
60,AAESG,Assa Abloy Entrance Systems AB,2.0
61,AAFDDR,American Association for Dental Research,31.0
62,AAFFPP,Americans for Prosperity,114.0
63,AAFFWW,Airforwarders Association,11.0
64,AAFGPS,American Association for Geriatric Psychiatry,21.0
65,AAFPTCY,Safeway Safety Step LLC,4.0
66,AAFSST,Animals Asia Foundation,1.0
67,AAFTIA,Auto Care Association,3.0
68,AAGINC,Asko Appliances Inc,2.0
69,AAGPHI,A&G Pharmaceutical Inc,64.0
70,AAHAS,American Animal Hospital Association,96.0
71,AAHCNM,Smithsonian National Museum of African American History and Culture,32.0
72,AAHHC,Party City Holdco Inc,299.0
73,AAHJWYG,The Roda Group,4.0
74,AAHOSE,All-American Hose LLC,4.0
75,AAHRPP,Association for the Accreditation of Human Research Protection Programs,31.0
76,AAHUACY,Wilks Broadcast Group Llc,1.0
77,AAHUNG,Action Against Hunger,3.0
78,AAICOR,AAI Corporation,8.0
79,AAIDUK,ActionAid UK,1.0
80,AAIFI,FGX International Inc.,35.0
81,AAIINV,American Association of Individual Investors,33.0
82,AAIMM,American Association of Immunologists,676.0
83,AAIRG,LaudaMotion GmbH,4.0
84,AAITOQ,iShares MSCI All Country Asia Information Technology ETF,1.0
85,AAIXHBF,Ucla Health System Auxiliary,253.0
86,AAJAYL,Dr. Datsons Labs Limited,3.0
87,AAKIP,American Association of Kidney Patients,73.0
88,AAKRMI,"A & K Railroad Materials, Inc.",1.0
89,AAKRSH,AAK AB (publ),52.0
90,AALABA,American Association for Laboratory Accreditation,53.0
91,AALDED,Asian American Legal Defense and Education Fund,1.0
92,AALIQI,"American Air Liquide Holdings, Inc",6.0
93,AALIV,Mezabay International Inc.,6.0
94,AALLOC,Arco Alloys Corporation,4.0
95,AALMPKB,Somnus Therapeutics Inc.,3.0
96,AALSSI,"Vivint, Inc.",49.0
97,AALTCN,American Association for Long-Term Care Insurance,9.0
98,AALTOS,Aalto Scientific Ltd.,10.0
99,AALTR,Jarden Corporation,915.0
100,AALWSC,The Association of American Law Schools,2.0
101,AAMAN,Dynatect Manufacturing Inc,7.0
102,AAMCEI,Anne Arundel Medical Center Inc.,11.0
103,AAMCGY,Association of American Medical Colleges,421.0
104,AAMCR,Anglo American PLC,880.0
105,AAMDBL,AAM do Brasil Ltda,1.0
106,AAME,Atlantic American Corp,14.0
107,AAMEC,Amec Foster Wheeler plc,189.0
108,AAMFT,American Association for Marriage and Family Therapy,4.0
109,AAMIN,AAMCO Transmissions Inc,10.0
110,AAMNFA,American Architectural Manufacturers Association,2.0
111,AAMUSM,American Alliance of Museums,8.0
112,AAMUV,Alabama A&M University,12.0
113,AAMVA,American Association of Motor Vehicle Administrators,4.0
114,AANBCL,Anhui Anke Biotechnology (Group) Co. Ltd.,12.0
115,AANDCO,A&D Co Ltd,25.0
116,AANDTC,A&T Corp,16.0
117,AANEUR,American Academy of Neurology,3182.0
118,AANGAI,Angus Foundation,3.0
119,AANKSI,Active Ankle Systems Inc,4.0
120,AANLTI,Advanced Analytical Technologies Inc,67.0
121,AANPH,The American Association of Naturopathic Physicians,38.0
122,AANPHI,Marlex Pharmaceuticals Inc.,10.0
123,AANRW,AstraZeneca AS,28.0
124,AANS,Aventis Animal Nutrition SA,8.0
125,AANSUR,American Association of Neurological Surgeons,424.0
126,AANTBD,Atlas Antibodies AB,15.0
127,AANURR,American Association for Nude Recreation,2.0
128,AANZB,Australia and New Zealand Banking Group Limited,341.0
129,AAOAOB,Area Agency On Aging 1-B,1.0
130,AAOARE,American Association of Airport Executives,8.0
131,AAOCAD,"Angel Oak Capital Advisors, LLC",7.0
132,AAOFDEW,Glasgow Savings Bank,2.0
133,AAOFPH,American Academy of Family Physicians,810.0
134,AAOHN,American Gastroenterological Association,519.0
