,clean company name,original company names,original row number,company matches,fuzz ratio
0,aaipharma,AAIPHARMA LLC,3,['aaipharma'],[100]
1,abbott,ABBOTT LABS,4,['abbott'],[100]
2,abbvie,"ABBVIE, ABBVIE INC","5, 8","['abbvie', 'abbvie'], ['abbvie', 'abbvie']","[100, 100], [100, 100]"
3,abbvie endocrine,"ABBVIE ENDOCRINE, ABBVIE ENDOCRINE INC","6, 7","['abbvie endocrine', 'abbvie endocrine'], ['abbvie endocrine', 'abbvie endocrine']","[100, 100], [100, 100]"
4,abhai,"ABHAI INC, ABHAI LLC","9, 10","['abhai', 'abhai'], ['abhai', 'abhai']","[100, 100], [100, 100]"
5,abraxis bioscience,ABRAXIS BIOSCIENCE,11,['abraxis bioscience'],[100]
6,accord,"ACCORD HLTHCARE, ACCORD HLTHCARE INC","12, 13","['accord', 'accord'], ['accord', 'accord']","[100, 100], [100, 100]"
7,acetylene oxygene,ACETYLENE OXYGENE CO,14,['acetylene oxygene'],[100]
8,aci,ACI HEALTHCARE LTD,15,['aci'],[100]
9,acic,ACIC PHARMS,17,['acic'],[100]
10,acic fine chems,ACIC FINE CHEMS,16,['acic fine chems'],[100]
11,acme,ACME LABS,18,['acme'],[100]
12,acorda,ACORDA,19,['acorda'],[100]
13,acs dobfar,"ACS DOBFAR, ACS DOBFAR SPA","20, 22","['acs dobfar', 'acs dobfar'], ['acs dobfar', 'acs dobfar']","[100, 100], [100, 100]"
14,acs dobfar info,ACS DOBFAR INFO SA,21,['acs dobfar info'],[100]
15,actavis,"ACTAVIS INC, ACTAVIS LLC, ACTAVIS PHARMA","25, 30, 32","['actavis', 'actavis', 'actavis'], ['actavis', 'actavis', 'actavis'], ['actavis', 'actavis', 'actavis']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
16,actavis elizabeth,ACTAVIS ELIZABETH,23,['actavis elizabeth'],[100]
17,actavis fl,"ACTAVIS LABS FL, ACTAVIS LABS FL INC","26, 27","['actavis fl', 'actavis fl'], ['actavis fl', 'actavis fl']","[100, 100], [100, 100]"
18,actavis grp,ACTAVIS GRP PTC,24,['actavis grp'],[100]
19,actavis mid atlantic,ACTAVIS MID ATLANTIC,31,['actavis mid atlantic'],[100]
