,clean company name,original company names,original row number,company matches,fuzz ratio
0,& welding supply&welding,"B & J Welding Supply, LTD. dba B & J Welding Supply",877,['& welding supply&welding'],[100]
1,-,65364-110,54,['-'],[100]
2,-eleven,"7-Eleven, 7-Eleven Inc, 7-Eleven Inc., 7-Eleven, Inc.","56, 57, 58, 59","['-eleven', '-eleven', '-eleven', '-eleven'], ['-eleven', '-eleven', '-eleven', '-eleven'], ['-eleven', '-eleven', '-eleven', '-eleven'], ['-eleven', '-eleven', '-eleven', '-eleven']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
3,-loreal,-L'Oreal USA Products Inc,26,['-loreal'],[100]
4,a,"A19, LLC",79,['a'],[100]
5,a ox welding,A OX Welding Supply Company Inc.,68,['a ox welding'],[100]
6,a oxygen&dme,A + OXYGEN & D.M.E.,67,['a oxygen&dme'],[100]
7,a plus,A Plus Home Medical,69,['a plus'],[100]
8,a&healthcare equipment repair,A & D Healthcare Equipment Repair,65,['a&healthcare equipment repair'],[100]
9,a&mill&welding,A & E Mill & Welding Supply Company,66,['a&mill&welding'],[100]
10,a&welding,A & B Welding Supply Co.,64,['a&welding'],[100]
11,a&z,"A&Z Pharmaceutical Inc., A&Z Pharmaceutical, Inc.","77, 78","['a&z', 'a&z'], ['a&z', 'a&z']","[100, 100], [100, 100]"
12,a&z holistic,"A&Z Holistic Products, Inc.",76,['a&z holistic'],[100]
13,a-cute derm,"A-Cute Derm, Incorporated",70,['a-cute derm'],[100]
14,a-ox welding,"A-OX WELDING SUPPLY CO., INC.",71,['a-ox welding'],[100]
15,a-s medication solutions,A-S Medication Solutions,72,['a-s medication solutions'],[100]
16,a-welders,"A-Welders and Medical Supply, Inc",73,['a-welders'],[100]
17,aa integrated,"A2A Integrated Pharmaceuticals, LLC",80,['aa integrated'],[100]
18,aaa,"AAA Pharmaceutical, Inc.",82,['aaa'],[100]
19,aace,"AACE PHARMACEUTICALS, INC.",83,['aace'],[100]
20,aafes,AAFES,84,['aafes'],[100]
21,aavishkar oral strips,"Aavishkar Oral Strips Pvt Ltd, Aavishkar Oral Strips Pvt. Ltd.","85, 86","['aavishkar oral strips', 'aavishkar oral strips'], ['aavishkar oral strips', 'aavishkar oral strips']","[100, 100], [100, 100]"
22,aaxis aaxis pacific,Aaxis Pharmaceuticals Inc Dba Aaxis Pacific,88,['aaxis aaxis pacific'],[100]
23,aaxis pacific aaxis,Aaxis Pacific dba Aaxis Pharmaceuticals,87,['aaxis pacific aaxis'],[100]
24,abaco surefil,Abaco Partners LLC DBA Surefil,89,['abaco surefil'],[100]
25,abbe,"ABBE Laboratories, Inc.",90,['abbe'],[100]
26,abbvie,AbbVie Inc.,91,['abbvie'],[100]
27,abc compounding,"ABC Compounding Co., Inc.",92,['abc compounding'],[100]
28,abena north america,"Abena North America, Inc.",93,['abena north america'],[100]
29,abilene oxygen,Abilene Oxygen Inc.,94,['abilene oxygen'],[100]
30,able c&c,"Able C&C Co., Ltd.",95,['able c&c'],[100]
31,abraxis bioscience,"Abraxis BioScience, LLC",96,['abraxis bioscience'],[100]
32,abt belli-materna,ABT Belli-Materna Inc,97,['abt belli-materna'],[100]
33,ac marca personal,AC Marca Personal Care,98,['ac marca personal'],[100]
34,academy,"ACADEMY, LTD",99,['academy'],[100]
35,acadia,ACADIA Pharmaceuticals Inc,100,['acadia'],[100]
36,accelis,Accelis Pharma,101,['accelis'],[100]
37,access business,"ACCESS BUSINESS GROUP INTERNATIONAL LLC, Access Business Group LLC, Access Business Group, LLC","102, 103, 104","['access business', 'access business', 'access business'], ['access business', 'access business', 'access business'], ['access business', 'access business', 'access business']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
38,accord,"Accord Healthcare, Accord Healthcare Inc, Accord Healthcare Inc., Accord Healthcare, Inc, Accord Healthcare, Inc.","106, 107, 108, 109, 110","['accord', 'accord', 'accord', 'accord', 'accord'], ['accord', 'accord', 'accord', 'accord', 'accord'], ['accord', 'accord', 'accord', 'accord', 'accord'], ['accord', 'accord', 'accord', 'accord', 'accord'], ['accord', 'accord', 'accord', 'accord', 'accord']","[100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100]"
39,accord biopharma,Accord BioPharma Inc.,105,['accord biopharma'],[100]
40,accurate,"Accurate Healthcare, Inc.",111,['accurate'],[100]
41,accuria,"Accuria, LLC",112,['accuria'],[100]
42,ace b&c,"Ace B&C Co.,Ltd",113,['ace b&c'],[100]
43,ace drug hollywood,"Ace Drug, Inc. dba Hollywood Medical Supply",114,['ace drug hollywood'],[100]
44,acella,"ACELLA PHARMACEUTICALS, Acella Pharmaceuticals LLC, Acella Pharmaceuticals, LLC","115, 116, 117","['acella', 'acella', 'acella'], ['acella', 'acella', 'acella'], ['acella', 'acella', 'acella']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
45,acelrx,"AcelRx Pharmaceuticals, Inc",118,['acelrx'],[100]
46,acessory myxx,Acessory Myxx LLC,119,['acessory myxx'],[100]
47,acetris,"ACETRIS HEALTH, LLC",120,['acetris'],[100]
48,achaogen,"Achaogen, Inc.",121,['achaogen'],[100]
49,achlis,Achlis Laboratories,122,['achlis'],[100]
50,aci,"ACI Healthcare USA, Inc.",123,['aci'],[100]
51,acino liability,ACINO PRODUCTS LIMITED LIABILITY COMPANY,124,['acino liability'],[100]
52,aclaris therapeutics,"Aclaris Therapeutics, Inc.",125,['aclaris therapeutics'],[100]
53,acme united,"Acme United, Acme United Corp, Acme United Corp., Acme United Corporation","126, 127, 128, 129","['acme united', 'acme united', 'acme united', 'acme united'], ['acme united', 'acme united', 'acme united', 'acme united'], ['acme united', 'acme united', 'acme united', 'acme united'], ['acme united', 'acme united', 'acme united', 'acme united']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
54,acorda therapeutics,"Acorda Therapeutics, Inc.",130,['acorda therapeutics'],[100]
55,acp nimble buyer,"ACP Nimble Buyer, Inc.",131,['acp nimble buyer'],[100]
56,acrotech biopharma,Acrotech Biopharma LLC,132,['acrotech biopharma'],[100]
57,actavis,"Actavis Pharma, Inc, Actavis Pharma, Inc.","133, 134","['actavis', 'actavis'], ['actavis', 'actavis']","[100, 100], [100, 100]"
58,actelion,"Actelion Pharmaceuticals US, Inc.",135,['actelion'],[100]
59,actipharma,"Actipharma, Inc, ACTIPHARMA, INC.","136, 137","['actipharma', 'actipharma'], ['actipharma', 'actipharma']","[100, 100], [100, 100]"
60,activ ozone,Activ Ozone (pty) Ltd,138,['activ ozone'],[100]
61,active innovative,Active and Innovative Inc.,139,['active innovative'],[100]
62,active intelligence,"Active Intelligence, Llc",141,['active intelligence'],[100]
63,active solutions,Active Health Solutions,140,['active solutions'],[100]
64,activebeuty,"ACTIVEBEUTY CO.,LTD, ACTIVEBEUTY CO.,LTD.","142, 143","['activebeuty', 'activebeuty'], ['activebeuty', 'activebeuty']","[100, 100], [100, 100]"
65,activmedical denton activmedical,ActivMedical Denton Inc. dba ActivMedical,144,['activmedical denton activmedical'],[100]
66,activpower,ActivPower Inc.,145,['activpower'],[100]
67,acute gases,"Acute Care Gases II, LLC",146,['acute gases'],[100]
68,adamas,"Adamas Pharma, LLC",147,['adamas'],[100]
69,adamis,Adamis Pharmaceuticals Corporation,148,['adamis'],[100]
70,adapt,Adapt Pharma Inc,149,['adapt'],[100]
71,adaptive,"Adaptive Health, LLC",150,['adaptive'],[100]
72,adare,Adare Pharmaceuticals Inc,151,['adare'],[100]
73,adbiotech,"ADBIOTECH CO., LTD.",152,['adbiotech'],[100]
74,adf welding&medical,"ADF Welding & Medical, Inc.",153,['adf welding&medical'],[100]
75,adhera therapeutics,"Adhera Therapeutics, Inc.",154,['adhera therapeutics'],[100]
76,adirondack compressed gases,"Adirondack Compressed Gases, Inc",155,['adirondack compressed gases'],[100]
77,adlon therapeutics,Adlon Therapeutics L.P.,156,['adlon therapeutics'],[100]
78,adma biologics,"ADMA Biologics, Inc, ADMA Biologics, Inc.","157, 158","['adma biologics', 'adma biologics'], ['adma biologics', 'adma biologics']","[100, 100], [100, 100]"
79,advacare,Advacare Home Services,159,['advacare'],[100]
80,advagen,Advagen Pharma Limited,160,['advagen'],[100]
81,advance,Advance Pharmaceutical Inc.,162,['advance'],[100]
82,advance petersen,"Advance Medical Services, Inc. dba Petersen Medical",161,['advance petersen'],[100]
83,advanced,"Advanced Health Services, Inc.",166,['advanced'],[100]
84,advanced accelerator applications,"Advanced Accelerator Applications USA, Inc",163,['advanced accelerator applications'],[100]
