,Completeness,Uniqueness,Duplicates
copyright,100.0,0.7014934207648024,99.29850657923521
subject_codes,100.0,17.32465881396193,82.67534118603808
art,100.0,1.0406849713437183,98.95931502865628
modification_datetime,100.0,64.68182134024413,35.31817865975587
body,97.57717379835346,82.07384494955382,19.91461019993772
company_codes_occur,100.0,18.137071474711185,81.86292852528881
company_codes_about,100.0,9.813290235246583,90.18670976475342
company_codes_lineage,100.0,0.4418754873626699,99.55812451263732
snippet,98.80840309750342,90.37721440388727,10.699666212867147
publication_date,100.0,21.162773341294127,78.83722665870587
market_index_codes,100.0,0.6304124600137426,99.36958753998626
credit,100.0,0.09578687035316584,99.90421312964683
currency_codes,100.0,0.0135882502811584,99.98641174971884
region_of_origin,99.9788455649032,0.010296307126486014,99.98965440035413
ingestion_datetime,100.0,62.95662826098706,37.04337173901295
modification_date,100.0,88.69020076125084,11.30979923874916
source_name,100.0,0.21967671287872742,99.78032328712128
language_code,100.0,5.147064500438788e-05,99.999948529355
region_codes,100.0,2.9232752830242092,97.07672471697579
company_codes_association,100.0,5.147064500438788e-05,99.999948529355
person_codes,100.0,8.579899169006437,91.42010083099356
byline,100.0,3.056429841650561,96.94357015834943
company_codes_relevance,100.0,25.85252116086893,74.14747883913108
source_code,100.0,0.21051493806794638,99.78948506193206
an,100.0,100.0,0.0
word_count,100.0,0.7242949165017462,99.27570508349825
company_codes,100.0,36.217885534432575,63.78211446556743
industry_codes,100.0,6.8672134564854295,93.13278654351457
title,100.0,78.35669671694491,21.64330328305509
publication_datetime,100.0,21.162773341294127,78.83722665870587
publisher_name,100.0,0.07339713977625711,99.92660286022374
action,100.0,0.00010294129000877576,99.99989705870999
document_type,100.0,5.147064500438788e-05,99.999948529355
section,44.82604208754642,0.6175185582813281,99.7231394005214
dateline,1.385126527713082,19.21519081416521,99.7337938240373
