"","Certification.Name","Certifying.Organization","Type","SOC"
"1","Certified Healthcare Environmental Services Professional","American Hospital Association","Advanced","11-9111.00"
"2","Certified Provider Credentialing Specialist","National Association Medical Staff Services","Specialty","11-9111.00"
"3","Certified Medical Office Manager","Practice Management Institute","Advanced","11-9111.00"
"4","Certified Sterile Processing Management","Certification Board for Sterile Processing and Distribution","Specialty","11-9111.00"
"5","Registered Health Information Administrator","American Health Information Management Association","Core","11-9111.00"
"6","Certified in Public Health","National Board of Public Health Examiners","Specialty","11-9111.00"
"7","Certified Physician Executive","Certifying Commission in Medical Management","Specialty","11-9111.00"
"8","Andrology Laboratory Scientist","American Association of Bioanalysts","Specialty","11-9111.00"
"9","Certified Healthcare Interpreter","Certification Commission for Healthcare Interpreters","Advanced","11-9111.00"
"10","Health Care Collection Management","Association of Credit and Collection Professionals","Advanced","11-9111.00"
"11","Certified Healthcare Simulation Operations Specialists","Society for Simulation in Healthcare","Advanced","11-9111.00"
"12","Andrology Laboratory Director","American Board of Bioanalysis","Advanced","11-9111.00"
"13","Fellow of the Healthcare Financial Management Association","Healthcare Financial Management Association","Advanced","11-9111.00"
"14","Certified Healthcare Technology Specialist - Implementation Manager","American Health Information Management Association","Advanced","11-9111.00"
"15","Certified Healthcare Simulation Educator-Advanced","Society for Simulation in Healthcare","Advanced","11-9111.00"
"16","Certified Health Service Administrator","American Correctional Association","Advanced","11-9111.00"
"17","Healthcare Information Security and Privacy Practitioner","International Information Systems Security Certification Consortium, Inc.","Specialty","11-9111.00"
"18","Certified Specialist Physician Practice Management","Healthcare Financial Management Association","Advanced","11-9111.00"
"19","Certified Specialist Managed Care","Healthcare Financial Management Association","Unclassified","11-9111.00"
"20","Certified Healthcare Financial Professional","Healthcare Financial Management Association","Advanced","11-9111.00"
"21","High-complexity Clinical Laboratory Director","American Board of Bioanalysis","Advanced","11-9111.00"
"22","Certified Clinical Supervisor","International Certification & Reciprocity Consortium","Advanced","11-9111.00"
"23","Certified Radiology Administrator","Association for Medical Imaging Management","Advanced","11-9111.00"
"24","Embryology Laboratory Director","American Board of Bioanalysis","Specialty","11-9111.00"
"25","Diplomate in Laboratory Management","American Society for Clinical Pathology","Core","11-9111.00"
"26","Certification in Healthcare Leadership","International Association of Healthcare Central Service Materiel Management","Specialty","11-9111.00"
"27","Certified Revenue Integrity Professional","American Association of Healthcare Administrative Management","Specialty","11-9111.00"
"28","High Complexity Clinical Laboratory Director","American Association of Bioanalysts","Specialty","11-9111.00"
"29","Public Health Laboratory Director","American Association of Bioanalysts","Specialty","11-9111.00"
"30","Certified Correctional Health Professional - Advanced","National Commission on Correctional Health Care","Advanced","11-9111.00"
"31","Certified Correctional Health Professional - Physician","National Commission on Correctional Health Care","Advanced","11-9111.00"
"32","Certified Healthcare Simulation Educator","Society for Simulation in Healthcare","Advanced","11-9111.00"
"33","Public Health Laboratory Director","American Board of Bioanalysis","Specialty","11-9111.00"
"34","Certified Drug and Alcohol Program Administrator","Certification Commission for Drug and Alcohol Program Professionals","Unclassified","11-9111.00"
"35","Certified Healthcare Executive","College of Healthcare Information Management Executives","Advanced","11-9111.00"
"36","Certified Medical Manager","Professional Association of Health Care Office Management","Advanced","11-9111.00"
"37","Certified Healthcare Access Manager","National Association of Healthcare Access Management","Specialty","11-9111.00"
"38","Molecular Diagnostics Technologist","AAB - Board of Registry","Specialty","11-9111.00"
"39","Certified Specialist Accounting and Finance","Healthcare Financial Management Association","Advanced","11-9111.00"
"40","Certified Laboratory Consultant","American Medical Technologists","Core","11-9111.00"
"41","Certified Healthcare Facility Manager","American Hospital Association","Core","11-9111.00"
"42","Certified Corrections Nurse Manager","American Correctional Association","Specialty","11-9111.00"
"43","Certified in Volunteer Administration","Council for Certification in Volunteer Administration","Core","11-9111.00"
"44","Certified Professional Medical Services Management","National Association Medical Staff Services","Advanced","11-9111.00"
"45","Approved Clinical Supervisor","Center for Credentialing & Education, Inc.","Core","11-9111.00"
"46","Core Certification Healthcare Interpreter","Certification Commission for Healthcare Interpreters","Advanced","11-9111.00"
"47","Certified Medical Practice Executive","Medical Group Management Association","Advanced","11-9111.00"
"48","Certified Healthcare Technology Manager","Association for the Advancement of Medical Instrumentation","Advanced","11-9111.00"
"49","Embryology Laboratory Director","American Association of Bioanalysts","Specialty","11-9111.00"
"50","Certified Ophthalmic Executive","American Society of Ophthalmic Administrators","Advanced","11-9111.00"
"51","Certified Revenue Cycle Representative","Healthcare Financial Management Association","Advanced","11-9111.00"
"52","Certified Specialist Business Intelligence","Healthcare Financial Management Association","Advanced","11-9111.00"
"53","Certified Emergency Power Systems Specialist for Health Care Facility Managers","National Fire Protection Association","Core","11-9111.00"
"54","Certified Life Safety Specialist for Health Care Facility Managers","National Fire Protection Association","Core","11-9111.00"
"55","Certified Physician Practice Manager","American Academy of Professional Coders","Specialty","11-9111.00"
"56","Certified Administrator in Physician Practice Management","American Academy of Medical Management","Advanced","11-9111.00"
"57","Certified Healthcare Technology Specialist - Process Workflow & Information Management Redesign","American Health Information Management Association","Core","11-9111.00"
"58","Certified Healthcare Technology Specialist - Clinician/Practitioner Consultant","American Health Information Management Association","Core","11-9111.00"
"59","Bioanalyst Clinical Laboratory Director","American Association of Bioanalysts","Advanced","11-9111.00"
"60","Certified Professional in Operating Rules Administration","Health IT Certification","Core","11-9111.00"
