,Certification.Name,Certifying.Organization,Type,SOC
1,Certified Mail and Distribution Systems Manager,Mail Systems Management Association,Advanced,11-9131
2,Certified Mail Manager,In-Plant Printing and Mailing Association,Advanced,11-9131
3,Certified Fraud Examiner,Association of Certified Fraud Examiners,Core,13-2081
4,Certified IRA Services Professional,American Bankers Association,Core,13-2081
5,Certified International Tax Analyst,American Academy of Financial Management,Advanced,13-2081
6,Certified Income Specialist,Institute of Business & Finance,Specialty,13-2081
7,Linux Server Professional Certification - Level 1,Linux Professional Institute,Product/Equipment,15-1232
8,HDI Certified Customer Service Representative,HDI,Core,15-1232
9,Avid Certified System Administrator: iNEWS,"Avid Technology, Inc.",Product/Equipment,15-1232
10,Avid Certified Support Representative: Elite,"Avid Technology, Inc.",Product/Equipment,15-1232
11,Citrix ShareFile Certified,Citrix Systems Incorporated,Product/Equipment,15-1232
12,HDI Desktop Advanced Support Technician,HDI,Advanced,15-1232
13,CCNP Service Provider,"Cisco Systems, Inc.",Core,15-1232
14,HDI Desktop Advanced Support Technician,HDI,Core,15-1232
15,KCS Principles,HDI,Advanced,15-1232
16,HDI Certified Instructor,HDI,Advanced,15-1232
17,HDI Problem Management Professional,HDI,Core,15-1232
18,Apple Certified Support Professional (ACSP) 10.15,"Apple Computer, Inc.",Product/Equipment,15-1232
19,SMAX Certified Specialist,Micro Focus,Product/Equipment,15-1232
20,HDI Certified Support Center Team Lead,HDI,Core,15-1232
21,CompTIA CTT+,Computing Technology Industry Association (CompTIA),Core,15-1232
22,HDI Support Center Analyst,HDI,Core,15-1232
23,Certified Healthcare Technology Specialist -  Technical/Software Support Staff,American Health Information Management Association,Core,15-1232
24,Associate in Information Technology,The Institutes,Core,15-1232
25,Avid Certified Support Representative: Pro Tools,"Avid Technology, Inc.",Product/Equipment,15-1232
26,Avid Certified Support Representative: ISIS,"Avid Technology, Inc.",Product/Equipment,15-1232
27,Avid Certified Support Representative: MediaCentral | Asset Management,"Avid Technology, Inc.",Product/Equipment,15-1232
28,Avid Certified Support Representative: Media Composer,"Avid Technology, Inc.",Product/Equipment,15-1232
29,Citrix Endpoint Management Certified,Citrix Systems Incorporated,Product/Equipment,15-1232
30,Citrix Virtual Apps and Desktops Service on Citrix Cloud Certified,Citrix Systems Incorporated,Product/Equipment,15-1232
31,Citrix Virtual Apps and Desktops Service Integration with Microsoft Azure Certified,Citrix Systems Incorporated,Product/Equipment,15-1232
32,Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate,Microsoft Corporation,Product/Equipment,15-1232
33,SAP Certified Application Associate - SAP Sales Cloud 1911,"SAP America, Inc.",Product/Equipment,15-1232
34,SAP Certified Application Associate - SAP CPQ Implementation,"SAP America, Inc.",Product/Equipment,15-1232
35,Computer Service Technician,ETA International,Core,15-1232
36,KCS Foundation,HDI,Advanced,15-1232
37,Juniper Networks Certified Certified Data Center Design Professional,Juniper Networks,Product/Equipment,15-1232
38,Certified Wireless Design Professional,Certified Wireless Network Professional,Core,15-1232
39,Certified Wireless Technology Specialist,Certified Wireless Network Professional,Advanced,15-1232
40,Apple Certified iOS Technician (ACiT) Certification (2019),"Apple Computer, Inc.",Product/Equipment,15-1232
41,Avid Certified User: iNEWS,"Avid Technology, Inc.",Unclassified,15-1232
42,Avid Certified Support Representative: Avid NEXIS,"Avid Technology, Inc.",Product/Equipment,15-1232
43,HDI Support Center Team Lead,HDI,Core,15-1232
44,Certified Cyber Security Professional - Associate/Practitioner,Institute for the Certification of Computing Professionals,Core,15-1232
45,Certified Cyber Security Professional - Foundation,Institute for the Certification of Computing Professionals,Core,15-1232
46,Microsoft Certified: Dynamics 365 Fundamentals,Microsoft Corporation,Product/Equipment,15-1232
47,CompTIA IT Fundamentals,Computing Technology Industry Association (CompTIA),Core,15-1232
48,Network Systems Technician,ETA International,Core,15-1232
49,"Specialist - Implementation Engineer, Campus Networking Version 1.0",Dell Corporation,Product/Equipment,15-1232
50,Web Foundations Associate,Certified Internet Web Professionals,Core,15-1254
51,WOW Certified Professional Web Designer,World Organization of Webmasters,Core,15-1254
