"","Var1","Freq"
"1","100 Ton Master Captain's License",2
"2","200 Ton Masters",2
"3","2M Certified Technician",8
"4","3-Star Certification",1
"5","3A License",2
"6","3M Certified",8
"7","45 Words Per Minute",131
"8","4Th Class Engineer",7
"9","5 Star",12
"10","5-S",55
"11","6-G Certified",29
"12","653 Aboveground Storage Tank Inspector",8
"13","8 Discipline",10
"14","Aaadm",112
"15","AAALAC Certification",3
"16","AAMA Certified Medical Assistant",131
"17","Ab Operator",2
"18","Abatement License",4
"19","Abatement Worker License",1
"20","Abc Certified",11
"21","Abuse and Neglect",4
"22","Access Management",5
"23","Accident Health and Life (Insurance)",79
"24","Accredited ACH Professional",6
"25","Accredited Airport Executive",1
"26","Accredited Records Technician",13
"27","Accredited Resident Manager",1
"28","Accredited Residential Manager",1
"29","Accredited Veterinarian",2
"30","Acf Certified Chef",1
"31","ACHC Accreditation",5
"32","Aci Field Testing Technician",155
"33","Acquired Immune Deficiency Syndrome (AIDS) Certification",59
"34","Act",1
"35","Action",3
"36","Activity Coordinator Certification",1
"37","Activity Director Certified (ADC)",3
"38","Acute Care Nurse Practitioner",36
"39","Addiction Treatment Counselor",46
"40","Adjuster License",145
"41","Administrative Assistant Certification",144
"42","Administrative Office Certificate",46
"43","Administrative Services Credential",8
"44","Administrative Support Certification",329
"45","Administrator Cert",1
"46","Adobe Illustrator Certification",20
"47","Adobe InDesign (Certified)",1
"48","Adobe Photoshop Certificate",70
"49","Adp Payroll Certification",1
"50","Adult Education Certificate",28
"51","Adult Learning Certificate",4
"52","Advanced Cardiac Life Support (ACLS) Certification",14932
"53","Advanced Engine Performance Certified",669
"54","Advanced Engineering Certificate",1
"55","Advanced PLC Certification",1
"56","Advanced Practice Nurse",89
"57","Advanced Programming",1
"58","Advanced Programming in C++ Certificate",11
"59","Advanced Registered Nurse Practitioner",49
"60","Aerial Bucket Certification",2
"61","Aerial License",1
"62","Aerial Lift Certification",427
"63","Aerial Lift Operator",8
"64","Aerial Platform Certification",74
"65","Aerial Rescue and Fire Fighting (ARFF)",344
"66","Aerial Work Platform",46
"67","Aes Certified",1
"68","Aesthetics License",7
"69","AFAA Certification",10
"70","Aggregate Technician Certification",31
"71","Agile Certification",34
"72","Ahip Certified",5
"73","Air Brake Certified",5794
"74","Air Conditioning (AC) Certification",2848
"75","Air Distribution (AD) Certification",46
"76","Air Frame and Power Plant License",5
"77","Air Traffic Control",58
"78","Aircraft and Powerplant License",10
"79","Aircraft Maintenance Technician Certification",30
"80","Aircraft Mechanic Certification",100
"81","Airframe and Powerplant (A and P) Certification",4225
"82","Airline Transport Pilot License",8
"83","Airman's Certificate",12
"84","Airport Firefighter",507
"85","Airway Management Certification",9
"86","Alabama Bar",1
"87","Alcohol Awareness Certification",171
"88","Alcohol Management Certification",6
"89","Alcohol Safety",1
"90","Alcohol Server Certification",23
"91","All Data Certification",9
"92","All Lines Adjuster License",3
"93","Allen Bradley Certificate",63
"94","Allen Bradley PLC",31
"95","Alliance of Information and Referral Systems (AIRS) Certification",3
"96","Amateur Extra Class License",1
"97","Amateur Radio License",9
"98","Amateur Radio Operators License",2
"99","Ambulance Attendant License",2
"100","American Academy of Dermatology (AAD)",4
"101","American Association For Laboratory Animal Science (AALAS)",133
"102","American Board for Engineering and Technology (ABET) Accredited",1774
"103","American Board of Bionalysts Certification (ABB)",8
"104","American Board of Psychiatry",10
"105","American Board of Psychiatry and Neurology (ABPN)",9
"106","American Board of Radiology (ABR)",18
"107","American Board of Surgery Certification (ABS)",148
"108","American Bureau of Shipping Certification (ABS)",8
"109","American Concrete Institute (ACI)",1029
"110","American Council of Pharmaceutical Education (ACPE)",19
"111","American Heart Association Certification",4312
"112","American Institute of Architects",34
"113","American Institute of Baking (AIB) Certification",82
"114","American Institute of Certified Planners",136
"115","American Institute of Steel Construction (AISC)",38
"116","American Management Association Certification",3
"117","American Medical Technologist Certification",38
"118","American Occupational Therapy Association (AOTA)",38
"119","American Physical Therapy Association (APTA) Certification",61
"120","American Power Conversion",4
"121","American Production and Inventory Control Society (APICS) Certification",40
"122","American Red Cross Certified Lifeguard",5
"123","American Registry For Diagnostic Medical Sonography (ARDMS)",340
"124","American Registry of Radiologic Technologists (ARRT) Certification",462
"125","American Society For Clinical Pathology (ASCP) Certification",1540
"126","American Society For Quality (ASQ) Certification",366
"127","American Society for Testing and Materials (ASTM)",107
"128","American Society of Mechanical Engineers (ASME) Certified",194
"129","American Speech - Language Hearing Association (ASHA) Certification",12
"130","AMSE Pressure Piping",1
"131","Anatomy and Physiology Certificate",42
"132","Anesthesiologist",306
"133","Animal Control Certification",21
"134","Animal Science",69
"135","Annuity License",3
"136","Apartment Management Certification",7
"137","Api 1104",27
"138","Apmp Foundation Level Certification",1
"139","Apple Certified Desktop Technician",2
"140","Apple Certified Help Desk",4
"141","Apple Certified Macintosh Technician",323
"142","Apple Certified Support Professional",16
"143","Apple Certified System Administrator (ACSA)",6
"144","Apple Certified Technical Coordinator",7
"145","Apple Certified Technician",4
"146","Appliance Repair Certificate",1519
"147","Applicators License",333
"148","Applied Measurement Professional",4
"149","Applied Science",103
"150","Appraisal License",9
"151","Aquatic Facility Operator",88
"152","Architecting Microsoft Azure Solutions",19
"153","Architectural Technology",3
"154","Architecture License",66
"155","Ariel Lift Operator",4
"156","Arizona Bar",1
"157","Armed Security License",12
"158","Armorer Certification",2
"159","Arson Investigation Certification",3
"160","Aruba Certified ClearPass Associate (ACCA)",15
"161","Aruba Certified ClearPass Professional (ACCP)",3
"162","Aruba Certified Mobility Associate (ACMA)",4
"163","Aruba Certified Mobility Expert (ACMX)",15
"164","Aruba Certified Mobility Professional (ACMP)",17
"165","Asa Certified",3
"166","Asap Certified",1
"167","Asbestos Contractor/Supervisor",46
"168","Asbestos Inspector",15
"169","Asbestos Management Planner",5
"170","Asbestos Project Designer",2
"171","Asbestos Worker",111
"172","Asc Certified",84
"173","Asc Certified Mechanic",6
"174","ASCP Board Certification",4
"175","ASCP Histotechnician",1
"176","ASCP Histotechnologist",2
"177","ASCP Medical Laboratory Scientist",2
"178","ASME Pressure Vessel Section VIII",26
"179","Asme Section 9",7
"180","Asset Management Certified",1
"181","Assistive Technology Professional",7
"182","Associate Business Continuity Professional",37
"183","Associate in Risk Management",13
"184","Associate of the Casualty Actuarial Society (ACAS)",1
"185","Associate Professional in Human Resources (aPHR)",1
"186","Associate Safety Professional Certification",2
"187","Association of Energy Engineers (AEE)",6
"188","Athletic Trainer Certification",48
"189","Atp License",1
"190","Atssa Certified",2
"191","Atv Certified",1
"192","Audi Certified",27
"193","Audiovisual (AV) Certification",190
"194","Auditor Certification",22
"195","Auto Detailing Certificate",19
"196","Auto Repair Certification",1099
"197","Auto Sales",43
"198","Auto Technology",12
"199","AutoCAD Certification",524
"200","Autodesk Certified User (ADCU)",13
"201","Automatic Transmission Certification",60
"202","Automation Certification",542
"203","Automotive Service Excellence (ASE) Certification",48756
"204","Automotive Service Excellence Brakes",13
"205","Automotive Service Excellence Engine Performance",3
"206","Automotive Service Excellence Engine Repair",3
"207","Automotive Service Excellence Front End",3
"208","Automotive Service Excellence Heating and Air Conditioning",4
"209","Automotive Technology Certificate",45
"210","Automotive Youth Educational Systems",25
"211","Aviation Electronics Certificate",7
"212","Aviation License",2
"213","Avionics License",3
"214","Awareness and Operations",29
"215","Awci Certified",1
"216","AWS Certified Associate Welding Inspector",61
"217","AWS Certified DevOps Engineer",17
"218","AWS Certified Radiographic Interpreter",2
"219","AWS Certified Robotic Arc Welding",1
"220","AWS Certified Solutions Architect (AWS-CSA)",5
"221","AWS Certified SysOps Administrator",3
"222","AWS Certified Welder",9
"223","AWS Certified Welding Educator",2
"224","AWS D1.1",114
"225","AWS D1.5",12
"226","AWS D15.1",3
"227","Back-Flow Certification",1730
"228","Back-Flow Prevention Certificate",367
"229","Backflow Certified",25
"230","Backflow License",192
"231","Backflow Prevention Certification",346
"232","Backflow Tester Certification",67
"233","Bail Bonds License",1
"234","Baking and Pastry",8
"235","Banker License",3
"236","Bar Code Certification",5
"237","Basic Cardiac Life Support Certification",14930
"238","Basic Computers Certificate",1
"239","Basic Education Certificate",11
"240","Basic Electricity Certificate",41
"241","Basic Electronics",42
"242","Basic Life Saving (BLS)",20838
"243","Basic Post Certificate",1
"244","Basic Safety Training (BST)",66
"245","Basic Security Training (BST)",2
"246","Basic Wiring Certificate",1
"247","Baton Permit",2
"248","Bea Certified",5
"249","Beauty License",4
"250","Belay",102
"251","Bels Certification",1
"252","BICSI Certification",1619
"253","BICSI Installer",369
"254","BICSI Installer I",102
"255","Bicsi Installer II",15
"256","BICSI Technician",68
"257","Bilingual Certification",29
"258","Biomedical Electronics Certificate",232
"259","Biomedical Electronics Technician (BMD)",206
"260","Biomedical Equipment Technician (BMET)",849
"261","Biotechnology Certificate",21
"262","Black Seal License",287
"263","Blasters Certification",38
"264","Bloodborne Pathogens Certification",253
"265","Blue Oval Certified",15
"266","Blue Print Reading",19
"267","Blue Seal License",73
"268","BMW Certified",54
"269","Board Certified Assistant Behavior Analyst (BCaBA)",17
"270","Board Certified Behavior Analyst (BCBA)",86
"271","Board Certified in Emergency Medicine",31
"272","Board Certified in Family Medicine",25
"273","Board Certified/Board Eligible",437
"274","Boater's License",7
"275","Boater's Safety Course",1
"276","Boating License",15
"277","Body Shop",98
"278","Boiler Engineer's License",57
"279","Boiler Installers License",19
"280","Boiler Mechanic License",7
"281","Boiler Operation Certificate",129
"282","Boiler Operator License",3502
"283","Bomi Systems Maintenance Technician",1
"284","Booking Agent",1
"285","Bookkeeping Certification",12
"286","Boom Lift License",1
"287","Boom Lift Operator",3
"288","Boom Pump Operator",2
"289","Boom Truck Certification",63
"290","Boom Truck Operator",7
"291","Boot Camp Certificate",4
"292","Boys Town Certification",7
"293","Bp License",2
"294","Bpi Building Analyst",33
"295","Brake Certified",19
"296","Brake Inspector Certification",713
"297","Brake System Certification",11
"298","Branch Manager Certificate",25
"299","Brazing License",13
"300","Breath Alcohol Technician",17
"301","Breath Alcohol Test",1
"302","Brick Mason Certificate",7
"303","Broadband Communications Technician",1
"304","Broadband Distribution Specialist",24
"305","Broadband Premises Expert",6
"306","Broadband Premises Installer",1
"307","Broadband Premises Technician",42
"308","Broadband Transport Specialist",13
"309","Broker's Certification",1
"310","Bronze Level Certification",150
"311","Bucket Truck Certification",133
"312","Bucket Truck Operator",2
"313","Budgeting Certification",2
"314","Building Energy Modeling Professional",11
"315","Building Maintenance",1271
"316","Building Operator Certification",61
"317","Building Performance Institute (BPI)",205
"318","Building Services",31
"319","Building Trade Certificate",453
"320","Burglar Alarm License",24
"321","Burglar and Fire",33
"322","Business Administration Certification",15
"323","Business Analysis Certificate",8
"324","Business Application",5
"325","Business Applications Certificate",12
"326","Business Assistant Certificate",2
"327","Business Associates Certificate",10
"328","Business Education",12
"329","Business License",640
"330","Business Math",2
"331","Business Objects Certification",2
"332","Business Registration Certificate",27
"333","Business Services Certificate",6
"334","Business Technology",7
"335","Business Writing Certificate",2
"336","Ca License",312
"337","Cabinet Making Certificate",2
"338","Cable Systems Certificate",11
"339","California Bar",15
"340","California Contractors License",24
"341","Cam Programming Certificate",1
"342","Cap Certified",2
"343","Capability Model Maturity Integration (CMMI) Certification",213
"344","Captains License",6
"345","Cardiac Medicine",44
"346","Care License",499
"347","Care Provider License",1
"348","Care+ Certification",1
"349","Caregiver",17
"350","Carf Certified",1
"351","Carpentry Certification",320
"352","Carpet Cleaning Certification",1
"353","Cart License",3
"354","Cash Handling Certification",107
"355","Casino Gaming License",1389
"356","cdia+ Certification",2
"357","CDL Class A",15869
"358","Cdl Class B",6978
"359","Cdl Class C",4083
"360","CDL Class D",1930
"361","Certificate in Accounting",29
"362","Certificate in HTML/CSS",1
"363","Certificate in School Administration",222
"364","Certification in An Allied Health Field",1
"365","Certification in Long Term Monitoring",2
"366","Certification in Neurophysiologic Intraoperative Monitoring",41
"367","Certification in Risk Management Assurance (CRMA)",13
"368","Certification of Capability in Business Analysis (CCBA)",1
"369","Certified A+ Technician",5561
"370","Certified Accounts Payable Associate",4
"371","Certified Accounts Payable Professional",8
"372","Certified Administrative Professional",273
"373","Certified Administrator",72
"374","Certified Agent",9
"375","Certified Alarm Technician",102
"376","Certified Alcohol and Drug Abuse Counselor",21
"377","Certified Animal Euthanasia Technician",1
"378","Certified Anti Money Laundering",45
"379","Certified Anti-Money Laundering and Fraud Professional (CAFP)",1
"380","Certified Application Developer",64
"381","Certified Applicator",87
"382","Certified Appraiser",2
"383","Certified Arborist",439
"384","Certified Assistant Service Manager",2
"385","Certified Associate Business Analyst",7
"386","Certified Association Executive",1
