"","ONET Certification","Confidence of Match","Burning Glass Certification"
"4985","comptia ctt+",1,"comptia ctt+"
"387","comptia it fundamentals",0.990099172873206,"comptia it fundamentals"
"3596","broadband premises expert",0.970787630127376,"broadband premises expert"
"220","passive intermodulation testing",0.957198857572241,"passive intermodulation testing"
"4565","mobile crane operator",0.951570907949629,"mobile crane operator"
"10758","broadband premises installer",0.947732481048303,"broadband premises installer"
"1061","laboratory animal technologist",0.942107979446349,"laboratory animal technologist"
"2729","fiber optics installer",0.937979179948216,"certified fiber optics installer"
"8537","building plans examiner",0.93302876638482,"certified building plans examiner"
"8743","data cabling installer",0.93302876638482,"data cabling installer certification"
"1800","industrial electronics",0.920154247204117,"industrial electronics"
"5844","industrial electronics",0.920154247204117,"industrial electronics technician"
"6805","leed ap building design + construction",0.912316760791473,"leed ap building design and construction"
"1298","leed green associate",0.883462730570475,"leed green associate"
"3398","residential building inspector",0.837283759334233,"certified residential building inspector"
"4870","broadband transport specialist",0.829848308025477,"broadband transport specialist"
"287","fundamental payroll certification",0.808732342183376,"fundamental payroll certification"
"1410","broadband premises technician",0.789462791403411,"broadband premises technician"
"853","fiber optics technician",0.779709490303324,"certified fiber optics technician"
"429","electric vehicle technician",0.779611221714583,"electric vehicle technician"
"420","laboratory animal technician",0.774759076739928,"laboratory animal technician"
"8189","certified landscape irrigation auditor",0.758373702882336,"certified landscape irrigation auditor"
"325","line and antenna sweeping",0.75,"line & antenna sweeping"
"4593","certified broadcast television engineer",0.747419248895494,"certified broadcast television engineer"
"5340","microsoft office specialist: microsoft powerpoint 2016",0.745782280564374,"microsoft office specialist: powerpoint"
"10305","microsoft office specialist: microsoft word 2016",0.745782280564374,"microsoft office specialist: word"
"1382","certified broadcast radio engineer",0.736391462897881,"certified broadcast radio engineer"
"4462","certified broadcast networking engineer",0.736391462897881,"certified broadcast networking engineer"
"502","certified surgical first assistant",0.732935591836121,"certified surgical first assistant"
"4701","computer service technician",0.724549779833619,"computer service technician"
"338","certified broadcast networking technologist",0.722343364733719,"certified broadcast networking technologist"
"350","advanced engine performance specialist",0.720847970488884,"advanced engine performance certified"
"111","bicsi technician",0.691619807450212,"bicsi technician"
"2566","certified associate in project management",0.689478845223402,"pmi certified associate in project management"
"63","certified respiratory therapist",0.687683173531943,"certified respiratory therapist"
"563","certified sous chef",0.682732759968546,"certified sous chef"
"1526","certified executive chef",0.677782346405149,"certified executive chef"
"1915","certified fraud examiner",0.672979458868459,"certified fraud examiner"
"59","certified respiratory therapist",0.666666666666667,"registered respiratory therapist"
"89","airport master firefighter",0.66171625310327,"airport firefighter"
"1678","certified registered locksmith",0.658714627977248,"certified registered locksmith"
"8696","associate in information technology",0.654694892656344,"giac legal issues in information technology & security"
"7113","certified video engineer",0.653472364093906,"certified video engineer"
"2918","fiber optics designer",0.651962952003183,"certified fiber optics specialist"
"8244","fiber optics designer",0.651962952003183,"fiber optics certification"
"3050","microsoft office specialist: microsoft excel expert (excel and excel 2019)",0.647469368338624,"microsoft office specialist: excel"
"2","life support technician",0.647159571892113,"advanced cardiac life support certification"
"44","life support technician",0.647159571892113,"basic cardiac life support certification"
"301","life support technician",0.647159571892113,"pediatric advanced life support certification"
"5976","chief engineer (unlimited)",0.647159571892113,"chief engineer license"
"2786","electrical plans examiner",0.647012538439786,"certified plans examiner"
"3389","open water diver",0.64240471035744,"open water scuba certificate"
