"","soc","certificate","confidence_entry","confidence_cert","confidence","College","Raw","Awarding.Entity","Cluster","Credit.NonCredit","Email.Contact"
"1","hdi","kcs foundation",0.120943114304442,0.485222645466758,0.071294618843657,"Northern Virginia","astqb certified tester foundation level "," American Software Testing Qualifications Board ","Information Technology","Non Credit","mkarimi@nvcc.edu"
"2","association of boards of certification","water distribution operator class iii",0.21372374073872,0.365266560935576,0.0948412403712121,"Mountain Empire","water works operator"," Board for Waterworks and Wastewaterworks Operators and On-Site Sewage System Professionals ","Agriculture, Food and Natural Resources","Non Credit","rcooke@mecc.edu"
"3","american bankers association","certified ira services professional",0.0631460869235902,0.134900514136823,0.0103489095359752,"Virginia Western","certified professional biller (cpb)","AAPC","Health Science","Credit","sshelton@virginiawestern.edu"
"4","accreditation commission for traffic accident reconstruction","accredited traffic accident reconstructionist",0.113564842743526,0.242611322733379,0.033472604968062,"Tidewater","accredited business accountant (aba)","Accreditation Council for Accountancy and Taxation","Business, Management and Administration","Credit","smeslang@tcc.edu"
"5","adobe systems incorporated","adobe photoshop cc 2015",0.351070309077237,0.75,0.319882077311874,"Blue Ridge","adobe certified associate - photoshop cc","Adobe Systems Incorporated ","Information Technology","Non Credit","fairchildm@brcc.edu"
"6","adobe systems incorporated","adobe analytics developer",0.117023436359079,0.333333333333333,0.0473899373795368,"Blue Ridge","adobe certified associate - indesign","Adobe Systems Incorporated ","Information Technology","Non Credit","fairchildm@brcc.edu"
"7","adobe systems incorporated","adobe illustrator cc 2015",0.232308929498396,0.496287189827452,0.140066253260001,"Blue Ridge","adobe certified associate - illustrator","Adobe Systems Incorporated ","Information Technology","Non Credit","fairchildm@brcc.edu"
"8","certified internet web professionals","ciw web design specialist",0.243431428894804,0.3306612404673,0.0977900079936395,"Rappahannock","adobe certified associate - visual design specialist","Adobe Systems Incorporated ","Information Technology","Non Credit","jperry@rappahannock.edu"
"9","adobe systems incorporated","adobe photoshop cc 2015",0.351070309077237,0.75,0.319882077311874,"Rappahannock","adobe certified associate - photoshop cc","Adobe Systems Incorporated ","Information Technology","Non Credit","jperry@rappahannock.edu"
"10","adobe systems incorporated","adobe illustrator cc 2015",0.232308929498396,0.496287189827452,0.140066253260001,"Rappahannock","adobe certified associate - illustrator","Adobe Systems Incorporated ","Information Technology","Non Credit","jperry@rappahannock.edu"
"11","adobe systems incorporated","adobe analytics developer",0.117023436359079,0.333333333333333,0.0473899373795368,"Rappahannock","adobe certified associate - indesign","Adobe Systems Incorporated ","Information Technology","Non Credit","jperry@rappahannock.edu"
"12","adobe systems incorporated","adobe photoshop cc 2015",0.234046872718158,0.5,0.142169812138611,"Virginia Western","visual design using adobe photoshop","Adobe Systems Incorporated ","Information Technology","Credit","sshelton@virginiawestern.edu"
"13","adobe systems incorporated","adobe illustrator cc 2015",0.234046872718158,0.5,0.142169812138611,"New River","adobe certified associate in multiplatform animation using adobe animate cc","Adobe Systems Incorporated ","Information Technology","Credit","ltaylor@nr.edu"
"14","adobe systems incorporated","adobe photoshop cc 2015",0.234046872718158,0.5,0.142169812138611,"New River","visual design using adobe photoshop","Adobe Systems Incorporated ","Information Technology","Credit","ltaylor@nr.edu"
"15","adobe systems incorporated","adobe analytics developer",0.117023436359079,0.333333333333333,0.0473899373795368,"Virginia Western","adobe certified associate - dreamweaver cs6","Adobe Systems Incorporated ","Information Technology","Credit","rkoudelikjones@virginiawestern.edu"
