"","soc","certificate","confidence_entry","confidence_cert","confidence","SOC","Raw"
"1","American Heart Association","basic life support (cpr) instructor",0.317224399432098,0.369689852180099,0.139984820036354,"29-2055","basic life saving"
"2","American Heart Association","pediatric advanced life support (pals)",0.639752901155832,0.548685990311818,0.418998979620577,"29-2055","advanced cardiac life support certification"
"4","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"47-2152","master plumber license"
"5","American Association of Medical Assistants (AAMA)","certified medical assistant (cma)",0.193502840443646,0.281882622396425,0.0651077185609027,"29-2055","certified nursing assistant"
"7","Environmental Protection Agency (EPA)","hvac 608 certification",0.551728383580036,0.107545571189057,0.0708263216114809,"49-9021","environmental protection agency certification"
"9"," Board for Waterworks and Wastewaterworks Operators and On-Site Sewage System Professionals ","water works operator",0.155945961868708,0.302896202680369,0.0563825601750029,"49-9071","certified pool/spa operator"
"11","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"49-3023","adjuster license"
"12","National Institute for Automotive Service Excellence (ASE)","automotive service excellence (ase) - a5 brakes",0.509192391474935,0.440733259843645,0.267876466274053,"49-3023","automotive service excellence certification"
"13","American Heart Association","basic life support (cpr) instructor",0.317224399432098,0.369689852180099,0.139984820036354,"49-9062","basic life saving"
"20","Mainstream Engineering Corporation","hvac epa 608 type ii certification",0.168935044709291,0.164062547464881,0.0330830873585138,"49-2098","nicet ii"
"22","American Institute of CPAs","certified public accountant",0.37777681284125,0.733761622930926,0.330877413246144,"13-2081","certified public accountant"
"30","Environmental Protection Agency (EPA)","hvac 608 certification",0.551728383580036,0.107545571189057,0.0708263216114809,"49-1011","environmental protection agency certification"
"31","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"43-6014","social work license"
"38","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"47-2061","bicsi certification"
"40","National Center for Construction Education and Research (NCCER)","plumbing - level 1",0.171616503705143,0.333333333333333,0.0682833194319712,"49-9071","plumbing certification"
"42","National Institute for Automotive Service Excellence (ASE)","automotive service excellence (ase) - a5 brakes",0.509192391474935,0.440733259843645,0.267876466274053,"49-9071","automotive service excellence certification"
"44","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"49-9071","occupational safety and health administration certification"
"48","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"49-3023","occupational safety and health administration certification"
"56","American Welding Society (AWS)","certified welding supervisor (cws)",0.166281663560206,0.242228544414786,0.0480780129494997,"49-9071","welding certification"
"66","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"17-3013","security clearance"
"67","Certified Internet Web (CIW)","certified internet web (ciw) site development associate",0.201048613983891,0.167357042877844,0.0401626080389336,"49-9052","certified career development facilitator"
"68","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"49-9052","bicsi certification"
"75","Environmental Protection Agency (EPA)","hvac 608 certification",0.551728383580036,0.107545571189057,0.0708263216114809,"49-9071","environmental protection agency certification"
"82","National Center for Construction Education and Research (NCCER)","carpentry - level 2",0.171616503705143,0.333333333333333,0.0682833194319712,"49-9071","carpentry certification"
"83","National Restaurant Association","servsafe alcohol",0.168935044709291,0.492187642394643,0.0992492620755414,"35-1011","servsafe"
"86","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"47-2011","occupational safety and health administration certification"
"122","American Culinary Federation","certified fundamentals cook (cfc)",0.2402631051872,0.25,0.0716974854035698,"49-9071","epa cfc/hcfc certification"
"131","American Culinary Federation","certified fundamentals cook (cfc)",0.2402631051872,0.25,0.0716974854035698,"49-9021","epa cfc/hcfc certification"
"133","National Center for Construction Education and Research (NCCER)","plumbing - level 1",0.171616503705143,0.333333333333333,0.0682833194319712,"47-2152","plumbing license"
"134","National Center for Construction Education and Research (NCCER)","plumbing - level 1",0.171616503705143,0.333333333333333,0.0682833194319712,"47-2152","plumbing certification"
"135","FANUC America Corporation","fanuc cert handling tool operations and programming",0.171616503705143,0.142857142857143,0.0292642797565591,"27-4021","cash handling certification"
"136","AXELOS Ltd. ","itil v.3 foundation",0.226986288454458,0.333333333333333,0.0903140252049597,"49-1011","itil certification"
"137","CompTIA","comptia it fundamentals",0.224304829458607,0.328125094929762,0.0878526569864222,"49-1011","it infrastructure library certification"
"141","American Institute of CPAs","certified public accountant",0.37777681284125,0.733761622930926,0.330877413246144,"43-6014","certified public accountant"
"145"," American Software Testing Qualifications Board ","astqb certified tester foundation level ",0.179137475147411,0.0495990812688696,0.0106056407198684,"33-2011","board certified/board eligible"
"147","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"47-2221","occupational safety and health administration certification"
"148","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"49-1011","boiler operator license"
"153","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"47-1011","competent person certification"
"155","American Heart Association","heartsaver first aid/cpr/aed",0.628868942561691,0.732877000736667,0.550133472142197,"47-1011","first aid cpr aed"
"172","National Institute for Automotive Service Excellence (ASE)","automotive service excellence (ase) - a5 brakes",0.509192391474935,0.440733259843645,0.267876466274053,"49-1011","automotive service excellence certification"
"175","American Heart Association","heartsaver first aid/cpr/aed",0.628868942561691,0.732877000736667,0.550133472142197,"29-2055","first aid cpr aed"
"179","IPC-Association Connecting Electronics Industries","certified ipc application specialist (cis)",0.226986288454458,0.2,0.0541884151229759,"17-3024","ipc certification"
"184","National Board of Surgical Technology and Surgical Assisting (NBSTSA)","certified surgical technologist",0.214176608276896,0.415998468781449,0.106350760229553,"29-2055","certified surgical technician"
