,clean NDC company,original NDC company,NDC row,corporate family,clean DNA row,clean DNA company,original DNA company,fuzz ratio
0,-,65364-110,29,-,[58215],['-'],['20-20 Technologies Inc'],[100]
1,-eleven,"7-Eleven, 7-Eleven Inc, 7-Eleven Inc., 7-Eleven, Inc.","31, 32, 33, 34",-eleven,[54110],['-eleven'],['7-Eleven Inc'],[100]
2,a,"A19, LLC",54,a,"[1547, 53663]","['a', 'a']","['A4 Health Systems Inc', 'a21 Group Inc']","[100, 100]"
3,abbvie,AbbVie Inc.,66,abbvie,[488],['abbvie'],['AbbVie Inc.'],[100]
4,able c&c,"Able C&C Co., Ltd.",70,able c&c,[367],['able c&c'],['Able C&C Inc'],[100]
5,abraxis bioscience,"Abraxis BioScience, LLC",71,abraxis bioscience,[3198],['abraxis bioscience'],"['Abraxis BioScience, Inc.']",[100]
6,academy,"ACADEMY, LTD",74,academy,[533],['academy'],['Academy Ltd.'],[100]
7,access business,"ACCESS BUSINESS GROUP INTERNATIONAL LLC, Access Business Group LLC, Access Business Group, LLC","77, 78, 79",access business,[544],['access business'],"['Access Business Group, LLC']",[100]
8,achaogen,"Achaogen, Inc.",96,achaogen,[684],['achaogen'],"['Achaogen, Inc.']",[100]
9,aci,"ACI Healthcare USA, Inc.",98,aci,"[699, 700]","['aci', 'aci']","['ACI International', 'ACI Limited']","[100, 100]"
10,aclaris therapeutics,"Aclaris Therapeutics, Inc.",100,aclaris therapeutics,[730],['aclaris therapeutics'],"['Aclaris Therapeutics, Inc']",[100]
11,acme united,"Acme United, Acme United Corp, Acme United Corp., Acme United Corporation","101, 102, 103, 104",acme united,[946],['acme united'],['Acme United Corporation'],[100]
12,acorda therapeutics,"Acorda Therapeutics, Inc.",105,acorda therapeutics,[893],['acorda therapeutics'],['Acorda Therapeutics Inc'],[100]
13,actelion,"Actelion Pharmaceuticals US, Inc.",110,actelion,[931],['actelion'],['Actelion Ltd'],[100]
14,adhera therapeutics,"Adhera Therapeutics, Inc.",129,adhera therapeutics,[39197],['adhera therapeutics'],['Adhera Therapeutics Inc'],[100]
15,adma biologics,"ADMA Biologics, Inc, ADMA Biologics, Inc.","132, 133",adma biologics,[1123],['adma biologics'],['ADMA Biologics Inc.'],[100]
16,advance,Advance Pharmaceutical Inc.,137,advance,"[1096, 1201, 1235, 1271, 34930]","['advance', 'advance', 'advance', 'advance', 'advance']","['Advance International Inc', 'Advance Services Inc', 'Advance Corp', 'Advance Inc', 'Health Advance, Inc.']","[100, 100, 100, 100, 100]"
17,advanced,"Advanced Health Services, Inc.",141,advanced,"[1224, 1244, 5632]","['advanced', 'advanced', 'advanced']","['ADVANCED TECHNOLOGIES GROUP', 'Advanced Holdings Ltd', 'Advanced Health Limited']","[100, 100, 100]"
18,advanced accelerator applications,"Advanced Accelerator Applications USA, Inc",138,advanced accelerator applications,[26],['advanced accelerator applications'],['Advanced Accelerator Applications SA'],[100]
19,advanced solutions,Advanced Healthcare Solutions,142,advanced solutions,[30163],['advanced solutions'],['Advanced Medical Solutions Group PLC'],[100]
20,advanced vision research,"Advanced Vision Research (Subsidiary of Akorn, Inc.)",150,advanced vision research,[1273],['advanced vision research'],['Advanced Vision Research Inc'],[100]
21,advocate,Advocate Home Care Products,155,advocate,[25315],['advocate'],['Health Advocate Inc.'],[100]
22,aetna felt,Aetna Felt Corp,162,aetna felt,[1443],['aetna felt'],['Aetna Felt Corp.'],[100]
23,agp,AGP LLC,185,agp,[1739],['agp'],['AGP Ltd.'],[100]
24,aidance skincare&topical solutions,"Aidance Skincare & Topical Solutions, LLC",191,aidance skincare&topical solutions,[9886],['aidance skincare&topical solutions'],['Aidance Skincare & Topical Solutions LLC'],[100]
25,air liquide america,Air Liquide America L.P.,199,air liquide america,[1967],['air liquide america'],['Air Liquide America Corp'],[100]
26,air techniques,Air Techniques,205,air techniques,[1983],['air techniques'],['Air Techniques Inc'],[100]
27,airgas,"AIRGAS USA, LLC, Airgas, Inc.","208, 209",airgas,[1958],['airgas'],['Airgas Inc.'],[100]
28,airlines,"American Airlines, Inc.",361,airlines,"[2813, 2814]","['airlines', 'airlines']","['American Airlines Group Inc.', 'American Airlines Inc']","[100, 100]"
29,airways,"US Airways, Inc",6553,airways,[1951],['airways'],['Airways Corp'],[100]
30,akcea therapeutics,"Akcea Therapeutics, Inc.",223,akcea therapeutics,[2150],['akcea therapeutics'],['Akcea Therapeutics Inc.'],[100]
31,akorn,"Akorn, Akorn Inc., Akorn, Inc.","225, 226, 227",akorn,[2116],['akorn'],['Akorn Inc'],[100]
32,alcon,"Alcon Laboratories, Inc., Alcon, Inc.","240, 241",alcon,[2248],['alcon'],['Alcon Inc'],[100]
33,alegent,Alegent Health,249,alegent,[2295],['alegent'],['Alegent Health'],[100]
34,alembic,"Alembic Pharmaceuticals Inc., Alembic Pharmaceuticals Limited, Alembic Pharmaceuticals, Inc.","250, 251, 252",alembic,[2298],['alembic'],['Alembic Ltd'],[100]
35,alfasigma,"Alfasigma USA, Inc.",264,alfasigma,[51304],['alfasigma'],['Alfasigma SpA'],[100]
36,alimera sciences,"Alimera Sciences, Inc.",270,alimera sciences,"[2560, 62012]","['alimera sciences', 'alimera sciences']","['Alimera Sciences Inc', 'Alimera Sciences Ltd']","[100, 100]"
37,alk-abello,"ALK-Abello, Inc.",272,alk-abello,[25440],['alk-abello'],['ALK-Abello A/S'],[100]
38,alkermes,"Alkermes, Inc.",274,alkermes,[2422],['alkermes'],['Alkermes PLC'],[100]
39,allegis,"Allegis Holdings LLC, Allegis Holdings, LLC, Allegis Pharmaceuticals, LLC","287, 288, 289",allegis,[2354],['allegis'],['Allegis Group Inc'],[100]
40,allergan,"Allergan, Allergan, Inc.","290, 291",allergan,"[2460, 2471, 62719]","['allergan', 'allergan', 'allergan']","['Allergan Limited', 'Allergan Inc', 'Allergan PLC']","[100, 100, 100]"
41,alliance,Alliance Pharma Inc.,294,alliance,"[2474, 2489]","['alliance', 'alliance']","['Alliance Holdings GP, L.P.', 'Alliance Medical Holdings Ltd']","[100, 100]"
42,allos therapeutics,Allos Therapeutics,296,allos therapeutics,[2703],['allos therapeutics'],['Allos Therapeutics Inc'],[100]
43,alpine,"Alpine Medical, LLC",316,alpine,[2629],['alpine'],['Alpine Bank'],[100]
44,altitude,Altitude Medical,326,altitude,[5592],['altitude'],['Altitude International Inc.'],[100]
45,alvogen,"Alvogen, Alvogen Inc., Alvogen, Inc.","332, 333, 334",alvogen,[30371],['alvogen'],['Alvogen Group Inc.'],[100]
46,amarin,Amarin Pharma Inc.,338,amarin,[20034],['amarin'],['Amarin Corp PLC'],[100]
47,amazoncom,"Amazon.com Services Inc., Amazon.com Services, Inc, Amazon.com Services., Inc, Amazon.Com., Inc","343, 344, 345, 346",amazoncom,[3409],['amazoncom'],"['Amazon.com, Inc.']",[100]
48,amd medicom,"AMD Medicom, AMD Medicom Inc, AMD Medicom Inc.","350, 351, 352",amd medicom,[2943],['amd medicom'],['Amd Medicom Inc'],[100]
49,amerisourcebergen,"AmerisourceBergen, AmerisourceBergen (Good Neighbor Pharmacy) 46122","389, 390",amerisourcebergen,[2242],['amerisourcebergen'],['AmerisourceBergen Corp'],[100]
50,amerisourcebergen drug,"AmerisourceBergen Drug Corp, Amerisourcebergen Drug Corporation, AmerisourceBergen Drug Corporation (Good Neighbor Pharmacy) 24385","391, 392, 393",amerisourcebergen drug,[1192],['amerisourcebergen drug'],['AmerisourceBergen Drug Corporation'],[100]
51,amgen,"Amgen Inc, Amgen USA Inc.","397, 398",amgen,"[3042, 3047, 3048, 3049, 3055]","['amgen', 'amgen', 'amgen', 'amgen', 'amgen']","['Amgen Inc', 'Amgen AB', 'Amgen GmbH', 'Amgen Ltd', 'Amgen SAS']","[100, 100, 100, 100, 100]"
52,amicus therapeutics,"Amicus Therapeutics U.S., Inc.",401,amicus therapeutics,[3363],['amicus therapeutics'],['Amicus Therapeutics Inc'],[100]
53,amorepacific,"AMOREPACIFIC, AMOREPACIFIC Corporation","419, 420",amorepacific,"[3174, 44135]","['amorepacific', 'amorepacific']","['AMOREPACIFIC Corp', 'AMOREPACIFIC Group']","[100, 100]"
54,amsino,"amsino healthcare (USA) inc, amsino healthcare (usa) inc.","428, 429",amsino,[3311],['amsino'],"['Amsino International, Inc.']",[100]
55,amway,Amway Corp,432,amway,[3387],['amway'],['Amway Corporation'],[100]
56,ani,"ANI Pharmaceuticals, Inc.",641,ani,[5074],['ani'],['ANI Technologies Pvt. Ltd.'],[100]
57,apollo,Apollo Pharmaceuticals Inc.,676,apollo,"[3947, 8177, 51751]","['apollo', 'apollo', 'apollo']","['Apollo Capital Group Inc.', 'Apollo Capital S.A.', 'Apollo Medical Holdings Inc.']","[100, 100, 100]"
58,apotex,"Apotex Corp, Apotex Corp.","678, 679",apotex,"[4088, 5294]","['apotex', 'apotex']","['Apotex Holdings Inc.', 'Apotex Inc']","[100, 100]"
59,apple,"Apple Products, Inc.",688,apple,"[780, 3982]","['apple', 'apple']","['Apple Pty Ltd', 'Apple Inc.']","[100, 100]"
60,aquestive therapeutics,Aquestive Therapeutics,697,aquestive therapeutics,[37731],['aquestive therapeutics'],['Aquestive Therapeutics Inc.'],[100]
61,arbonne,"Arbonne International, LLC",700,arbonne,[4209],['arbonne'],['Arbonne International Inc'],[100]
62,ardelyx,"Ardelyx, Inc.",706,ardelyx,[4281],['ardelyx'],['Ardelyx Inc'],[100]
63,arise,"Arise Medical LLC, ARISE PHARMACEUTICALS LLC","722, 723",arise,[4727],['arise'],['Arise AB'],[100]
64,armstrong,"Armstrong Pharmaceuticals, Inc.",730,armstrong,"[4440, 4446]","['armstrong', 'armstrong']","['Armstrong Holdings Inc', 'Armstrong Medical Ltd']","[100, 100]"
65,army air force exchange service,"Army + Air Force Exchange Service, ARMY AND AIR FORCE EXCHANGE SERVICE","733, 734",army air force exchange service,[7],['army air force exchange service'],['Army and Air Force Exchange Service'],[100]
66,array biopharma,Array BioPharma Inc.,737,array biopharma,[4498],['array biopharma'],['Array BioPharma Inc'],[100]
67,arteriocyte,"Arteriocyte Medical Systems, Inc.",742,arteriocyte,[4580],['arteriocyte'],['Arteriocyte Medical Systems Inc.'],[100]
68,ascend,"Ascend Laboratories LLC, Ascend Laboratories, LLC","750, 751",ascend,[4659],['ascend'],['Ascend Health Corporation'],[100]
69,ascend therapeutics,"ASCEND Therapeutics, ASCEND Therapeutics US, LLC","752, 753",ascend therapeutics,[4981],['ascend therapeutics'],['Ascend Therapeutics Inc.'],[100]
70,assertio therapeutics,"Assertio Therapeutics, Inc.",774,assertio therapeutics,[17490],['assertio therapeutics'],['Assertio Therapeutics Inc'],[100]
71,astrazeneca,AstraZeneca Pharmaceuticals LP,778,astrazeneca,"[123, 4978, 5000, 5002, 5013, 38676, 63617]","['astrazeneca', 'astrazeneca', 'astrazeneca', 'astrazeneca', 'astrazeneca', 'astrazeneca', 'astrazeneca']","['AstraZeneca AS', 'AstraZeneca GmbH', 'AstraZeneca Pty Ltd', 'AstraZeneca AB', 'AstraZeneca LP', 'AstraZeneca AG', 'AstraZeneca PLC']","[100, 100, 100, 100, 100, 100, 100]"
72,atco,Atco International,781,atco,[5072],['atco'],['Atco Ltd'],[100]
73,atec,"ATEC CO., LTD.",782,atec,[5088],['atec'],['Atec Inc'],[100]
74,aton,"Aton Pharma, Inc, Aton Pharma, Inc.","799, 800",aton,[5214],['aton'],['ATON GmbH'],[100]
75,austin,"AUSTIN PHARMACEUTICALS, LLC",811,austin,"[5468, 5498]","['austin', 'austin']","['Austin Energy', 'Austin Health']","[100, 100]"
76,autumn harp,"Autumn Harp Inc, Autumn Harp Inc., Autumn Harp, Inc.","812, 813, 814",autumn harp,[5541],['autumn harp'],['Autumn Harp Inc.'],[100]
77,avedro,"Avedro, Inc.",828,avedro,[5604],['avedro'],['Avedro Inc'],[100]
78,avent,"Avent, Inc.",829,avent,[5633],['avent'],['Avent Holdings Ltd'],[100]
79,avexis,"AveXis, Inc.",832,avexis,[5625],['avexis'],['AveXis Inc.'],[100]
80,avon,"Avon Products, Inc, Avon Products, Inc.","839, 840",avon,[60748],['avon'],['Avon Corporation Limited'],[100]
81,avondale,"Avondale Pharmaceuticals, LLC",841,avondale,[5675],['avondale'],['Avondale Partners LLC'],[100]
82,aytu bioscience,"Aytu BioScience, Inc.",848,aytu bioscience,[49319],['aytu bioscience'],['Aytu BioScience Inc.'],[100]
83,barr,Barr Laboratories Inc.,878,barr,[6257],['barr'],['Barr Ltd'],[100]
84,bausch&lomb,Bausch & Lomb Incorporated,889,bausch&lomb,"[6140, 9240]","['bausch&lomb', 'bausch&lomb']","['Bausch & Lomb GmbH', 'Bausch & Lomb Inc']","[100, 100]"
85,baxalta,"Baxalta Incorporated, Baxalta U.S. Inc., Baxalta US Inc, Baxalta US Inc., Baxalta USA Inc.","896, 897, 898, 899, 900",baxalta,[28238],['baxalta'],['Baxalta Inc'],[100]
86,baxter,"Baxter Healthcare Company, Baxter Healthcare CORP, Baxter Healthcare Corporation, Baxter Laboratories, Baxter Laboratories Pty. Ltd.","901, 902, 903, 905, 906",baxter,"[6342, 6352, 6353, 6354, 6355, 9459, 9792, 9793]","['baxter', 'baxter', 'baxter', 'baxter', 'baxter', 'baxter', 'baxter', 'baxter']","['Baxter A/S', 'Baxter B.V.', 'Baxter Corporation', 'Baxter Oy', 'Baxter SpA', 'Baxter International Inc', 'Baxter Medical AB', 'Baxter S.A.S']","[100, 100, 100, 100, 100, 100, 100, 100]"
87,bayer,"Bayer Health Care LLC, Bayer Health Care LLC., Bayer HealthCare LLC, Bayer HealthCare LLC., Bayer HealthCare Pharmaceuticals Inc., Bayer HealthCare, LLC","911, 912, 914, 915, 916, 917",bayer,"[6372, 6376, 6379, 6395, 9808, 9809, 9836, 9838, 9844, 50329]","['bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer']","['Bayer AB', 'Bayer SpA', 'Bayer A/S', 'Bayer SAS', 'Bayer AG', 'Bayer Corporation', 'Bayer B.V.', 'Bayer Inc', 'Bayer plc', 'Bayer Oy']","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
88,bayer bitterfeld,Bayer Bitterfeld GMBH,910,bayer bitterfeld,[9837],['bayer bitterfeld'],['Bayer Bitterfeld GmbH'],[100]
89,bcm,BCM Ltd,925,bcm,"[6646, 40397]","['bcm', 'bcm']","['BCM Technologies Inc', 'BCM Energy Partners, Inc.']","[100, 100]"
90,beach,"Beach Products, Inc.",930,beach,[6595],['beach'],['Beach Energy Limited'],[100]
91,beaumont,Beaumont Products,935,beaumont,[42586],['beaumont'],['Beaumont Health'],[100]
92,beaver research,Beaver Research Company,944,beaver research,[6824],['beaver research'],['Beaver Research Company'],[100]
93,becton dickinson,"Becton Dickinson and Company, Becton, Dickinson and Company","945, 946",becton dickinson,"[6714, 6834, 6835, 6853]","['becton dickinson', 'becton dickinson', 'becton dickinson', 'becton dickinson']","['Becton Dickinson A/S', 'Becton Dickinson AG', 'Becton Dickinson Pty Ltd', 'Becton Dickinson GmbH']","[100, 100, 100, 100]"
94,bed bath&beyond,Bed Bath & Beyond,947,bed bath&beyond,[6850],['bed bath&beyond'],['Bed Bath & Beyond Inc'],[100]
95,beiersdorf,Beiersdorf Inc,951,beiersdorf,"[9127, 9128]","['beiersdorf', 'beiersdorf']","['Beiersdorf Inc', 'Beiersdorf AG']","[100, 100]"
96,bell,"Bell International Laboratories, Bell International Laboratories, Inc, Bell International Laboratories, Inc., Bell Pharmaceuticals, Inc, Bell Pharmaceuticals, Inc.","966, 967, 968, 969, 970",bell,[50628],['bell'],['Bell Partners Inc'],[100]
97,bellus,"Bellus Medical, LLC",975,bellus,[39880],['bellus'],['Bellus Health Inc.'],[100]
98,bentley,"Bentley Laboratories LLC, Bentley Laboratories, LLC","984, 985",bentley,"[8357, 9442]","['bentley', 'bentley']","['Bentley Systems Inc', 'Bentley Capital Limited']","[100, 100]"
99,bestco,"BestCo, BestCo Inc, Bestco Inc., Bestco, Inc.","997, 998, 999, 1000",bestco,[9392],['bestco'],['BestCo Inc'],[100]
100,betco,"Betco Corporation, Ltd, Betco Corporation, Ltd.","1001, 1002",betco,[7037],['betco'],['Betco Corporation'],[100]
101,beyond,"Beyond Health P.A., Beyond International Inc.","1014, 1015",beyond,[7069],['beyond'],['Beyond International Ltd'],[100]
102,bhp,"Bhp Holdings, Inc.",1018,bhp,"[7690, 8000]","['bhp', 'bhp']","['BHP Group Ltd', 'BHP Group PLC']","[100, 100]"
