"","ONET Certification","VA Certification"
"614","certtec","certtec basic electricity and electronics"
"615","certtec","certtec basic composites"
"2961","solidworks","certified solidworks associate (cswa)"
"2962","solidworks","certified solidworks professional (cswp)"
"2966","spacetec","spacetec certified aerospace technician core"
"1549","recognized graduate","dental laboratory technology, recognized graduate (rg)"
"720","comptia it fundamentals","comptia it fundamentals"
"146","architectural apprentice drafter","architectural apprentice drafter"
"879","telecommunications","telecommunications electronics technician certification"
"2849","mechatronics: fluid power 1","mechatronics - fluid power 1"
"147","mechanical apprentice drafter","mechanical apprentice drafter"
"1593","construction site safety orientation","construction site safety orientation"
"865","fiber optics installer","fiber optics installer certification"
"863","data cabling installer","data cabling installer certification"
"2475","stamping level iii - setup with deep draw dies iii","stamping level iii: setup with deep draw dies iii"
"2384","machining level i - cnc milling: programming setup & operations","machining level i: cnc milling: programming setup & operations"
"2471","stamping level iii - setup with compound dies iii","stamping level iii: setup with compound dies iii"
"2472","stamping level iii - setup with progressive dies iii","stamping level iii: setup with progressive dies iii"
"2473","level iii - setup with single hit tooling iii","stamping level iii: setup with single hit tooling iii"
"2468","stamping level ii - operate with single hit tooling ii","stamping level ii: operate with single hit tooling ii"
"1247","microsoft office specialist: microsoft word 2016 expert","microsoft office specialist (mos) - word expert 2016"
"1256","microsoft office specialist: microsoft excel 2016 expert","microsoft office specialist (mos) - excel expert 2016"
"585","air leakage control installer","air leakage control installer"
"1232","microsoft office specialist: microsoft word 2016","microsoft office specialist (mos) - word 2016"
"1253","microsoft office specialist: microsoft powerpoint 2016","microsoft office specialist (mos) - powerpoint 2016"
"1257","microsoft office specialist: microsoft outlook 2016","microsoft office specialist (mos) - outlook 2016"
"2974","leed ap building design + construction","leed ap building design and construction bd+c"
"2467","stamping level ii - operate with progressive dies ii","stamping level ii: operate with progressive dies ii"
"2465","stamping level ii - compound dies","stamping level ii: operate with compound dies ii"
"621","site development associate","certified internet web (ciw) site development associate"
"2971","leed green associate","leed green associate certification"
"619","web foundations associate","certified internet web (ciw) web foundations associate"
"2461","screw machining level ii - operate with single spindles ii","screw machining level ii: operate with single spindle ii"
"2476","machine maintenance, service and repair level iii - machine repair/rebuilding","machine maintenance, service and repair level iii: machine repair and rebuilding iii"
"638","ciw web development professional","certified internet web (ciw) web development professional"
"2460","screw machining level ii - operate with multiple spindles ii","screw machining level ii: operate with multipe spindles ii"
"2180","advanced engine performance specialist","automotive service excellence (ase) - l1 advanced engine performance specialist"
"1288","microsoft office specialist: microsoft office 2016 master specialist","microsoft office specialist (mos) - master 2016"
"1234","microsoft office specialist: microsoft word expert (word and word 2019)","microsoft office specialist (mos) - word expert 2019"
"635","ciw web security professional","certified internet web (ciw) web security professional"
"649","ciw javascript specialist","certified internet web (ciw) javascript specialist certification"
"2481","diemaking level ii","diemaking level ii: diemaking level ii"
"2480","machine maintenance, service and repair level ii - preventative maintenance","machine maintenance, service and repair level ii: preventative maintenance ii"
"2848","pmmi mechatronics: programmable logic controllers 1","mechatronics - programmable logic controllers (plcs) 1"
"617","ciw web design specialist","certified internet web (ciw) database design specialist"
"620","ciw web design specialist","certified internet web (ciw) web design specialist"
"314","fundamental payroll certification","fundamental payroll certification (fpc)"
