summary_type,main_type,sub_type,sourceforge_count,count_asof,terms,terms_asof,links
Application,Blockchain,,155,6/17/21 12:20,etherium|vechain|blockchain|wallet|ethereum-contract|blockchain-wallet|ethereum-dapp|hardware-wallet|bitcoin-wallet|bitcoinj|ethereum-wallet|ethereum-blockchain|hd-wallet|ethereum-network|myetherwallet|bitcoin-core|crypto-trading|crypto-wallet|cryptocoins|ethereum-client|wallet-generator|bitcoin-abc|bitcoin-address|bitcoin-cash-pool|bitcoin-payment|bitcoin-script|bitcoind|bitcoinjs|bitcoins|ethereum-address|solidity-dapps|bitcoin-api|bitcoin-bot|bitcoin-golang-library|bitcoin-green|bitcoin-mining|bitcoin-node|bitcoin-proof|bitcoin-trading-bot|bitcoin-trading-bots|bitcoin-trading|bitcoinjs-lib|bitcoinplus|bitcoinrpc|bitcoinsv|blockchain-charity|blockchain-dapp|blockchain-demo|blockchain-development|blockchain-framework|blockchain-network|blockchain-protocols|blockchain-service|blockchain-tecnology|ethereum-alarm-clock|ethereum-charity|ethereum-clone|ethereum-contracts|ethereum-debug|ethereum-debugger|ethereum-debugging|ethereum-etl|ethereum-events|ethereum-graph-debugger|ethereum-lists|ethereum-protocol|ethereum-studio|ethereum-swarm|ethereum-virtual-machine|go-ethereum|nbitcoin|private-ethereum-blockchain|python-bitcoin-library,,
Application,Blockchain,Crytocurrency,130,6/17/21 12:20,bitcoin|blockchain|cryptocurrency|dogecoin|cryptocurrencies|bitcoin-cash|cryptocurrency-exchanges|ethereum-classic|cryptocommodity|cryptocurrency-portfolio|cryptocurrency-trading-bot|cryptocurrency-wallet|cryptocurrency-website|cryptocurrency-explorer|cryptocurrency-portfolio-tracking|cryptocurrency-price-ticker|cryptocurrency-prices|cryptocurrency-trading-bots|cryptocurrency-wallets|friendly-cryptocurrency,,
Application,Communications,,23948,6/17/21 12:20,blog|wordpress|wordpress-theme|blog-engine|blogging|personal-blog|jekyll-blog|blogs|blog-platform,,
Application,Communications,Chat,6288,6/17/21 12:20,discord|discord-bot|chat|chatbot|messaging|wechat|discord-js|discord-api|discord-py|chatbots|chat-application|chatbot-framework|chatapp|chat-bot|rocketchat|wechat-mini-program|chatbot-application|livechat|webchat|chat-sdk,,
Application,Communications,Email,4376,6/17/21 12:20,,,
Application,Communications,File Sharing,3284,6/17/21 12:20,,,
Application,Communications,Telephony,1818,6/17/21 12:20,,,
Application,Communications,Bulletin Board System (BBS),1386,6/17/21 12:20,,,https://en.wikipedia.org/wiki/List_of_BBS_software
Application,Communications,Conferencing,1126,6/17/21 12:20,,,
Application,Communications,Streaming,1001,6/17/21 12:20,,,
Application,Communications,Internet Phone,575,6/17/21 12:20,,,
Application,Communications,Ham Radio,427,6/17/21 12:20,,,
Application,Communications,Usenet News,384,6/17/21 12:20,,,
Application,Communications,RSS Feed Readers,302,6/17/21 12:20,,,
Application,Communications,Sychronization,276,6/17/21 12:20,,,
Application,Communications,Fax,151,6/17/21 12:20,,,
Application,Communications,Fast ID Online (FIDO),82,6/17/21 12:20,,,
Application,Database,,10483,6/17/21 12:20,database management|database|databases|sql-query|sql-queries|t-sql|tsql,,
Application,Database,Front-Ends,4508,6/17/21 12:20,pgadmin,,
Application,Database,Database Engines/Servers,1929,6/17/21 12:20,solarwinds database|dbvisualizer|manageengine|oracle rdbms|ibm db2|microsoft sql|sap sybase ase|teradata|adabas|mysql|filemaker|microsoft access|informix|sqlite|postgresql|amazonrds|mongodb|rdeis|couchdb|neo4j|couchbase|orientdb|phpmyadmin|sql developer|seqel pro|robomongo|hadoop hdfs|cloudera|mariadb|informix dynamic server|altibase|mysql|mongodb|postgresql|sql|sqlite|postgres|nosql|sqlite3|mongo|distributed-database|sqlserver|sql-server|mssql|firebase-database|mongodb-driver|mysql-database|mysql-server|nosql-database|pgsql|postgresql-database|spark-sql|sql-builder|sql-editor|sql-engine|mysql-client|nosql-databases|psql|sparksql|mongodb-atlas|mongodb-database|nosql-data-storage|pl-sql|plpgsql|sql-database|sqlite-database|mongoclient|spring-data-mongodb|flask-mongoengine,,https://www.softwaretestinghelp.com/database-management-software/
Application,Desktop Environments,,6391,6/17/21 12:20,desktop,,
Application,Desktop Environments,Gnome,1371,6/17/21 12:20,,,
Application,Desktop Environments,K Desktop Environments,873,6/17/21 12:20,,,
Application,Desktop Environments,Window Managers,697,6/17/21 12:20,,,
Application,Desktop Environments,Screen Savers,239,6/17/21 12:20,,,
Application,Desktop Environments,Fonts,97,6/17/21 12:20,,,
Application,Education,,11128,6/17/21 12:20,,,
Application,Education,Computer Aided Instruction,1809,6/17/21 12:20,,,
Application,Education,Testing,1738,6/17/21 12:20,,,
Application,Education,Library,1659,6/17/21 12:20,,,
Application,Education,Languages,561,6/17/21 12:20,,,
Application,Education,Administration,534,6/17/21 12:20,,,
Application,Formats/Protocols,,6500,6/17/21 12:20,,,
Application,Formats/Protocols,Data Formats,5268,6/17/21 12:20,,,
Application,Formats/Protocols,Protocols,1635,6/17/21 12:20,protocol,,
Application,Games/Entertainment,,29097,6/17/21 12:20,game-development|games,,
Application,Games/Entertainment,Role-Playing,4813,6/17/21 12:20,,,
Application,Games/Entertainment,Similation,3030,6/17/21 12:20,,,
Application,Games/Entertainment,Board Games,2635,6/17/21 12:20,,,
Application,Games/Entertainment,Side-Scrolling/Arcade Games,2251,6/17/21 12:20,,,
Application,Games/Entertainment,Puzzle Games,2078,6/17/21 12:20,,,
Application,Games/Entertainment,Turn-Based Strategy,1948,6/17/21 12:20,,,
Application,Games/Entertainment,First-Person Shooters,1856,6/17/21 12:20,,,
Application,Games/Entertainment,Multiuser Dungeons,1661,6/17/21 12:20,,,
Application,Games/Entertainment,Real Time Strategy,1642,6/17/21 12:20,,,
Application,Games/Entertainment,Multiplayer,1027,6/17/21 12:20,,,
Application,Games/Entertainment,Game Development Frameworks,960,6/17/21 12:20,android-game,,
Application,Games/Entertainment,Card Games,938,6/17/21 12:20,,,
Application,Games/Entertainment,Console-based Games,862,6/17/21 12:20,,,
Application,Games/Entertainment,MMORPG,822,6/17/21 12:20,,,
Application,Games/Entertainment,Hobbies,618,6/17/21 12:20,,,
Application,Games/Entertainment,Sports,345,6/17/21 12:20,,,
Application,Games/Entertainment,Flight Similators,195,6/17/21 12:20,,,
Application,Games/Entertainment,Real Time Tactical,102,6/17/21 12:20,,,
Application,Games/Entertainment,Sandbox Games,34,6/17/21 12:20,,,
Application,Internet,,36604,6/17/21 12:20,,,
Application,Internet,WWW/HTTP,28646,6/17/21 12:20,,,
Application,Internet,File Transfer Protocol,1069,6/17/21 12:20,,,
Application,Internet,Log Analysis,848,6/17/21 12:20,,,
Application,Internet,Name Service,510,6/17/21 12:20,,,
Application,Internet,Wireless Application Protocol (WAP),245,6/17/21 12:20,,,
Application,Internet,Other File Transfer Protocols,184,6/17/21 12:20,,,
Application,Internet,Secure Shell Protocol (SSH),179,6/17/21 12:20,ssh,,
Application,Internet,Finger,55,6/17/21 12:20,,,
Application,Internet,Cloud Services,53,6/17/21 12:20,,,
Application,Internet,Cloud Storage,28,6/17/21 12:20,,,
Application,Mobile,,1616,6/17/21 12:20,ios|firebase|mobile,,
Application,Multimedia,,23145,6/17/21 12:20,,,
Application,Multimedia,Graphics,10513,6/17/21 12:20,,,
Application,Multimedia,Sound/Audio,8241,6/17/21 12:20,,,
Application,Multimedia,Video,3949,6/17/21 12:20,,,
Application,Multimedia,Home Theater PC,430,6/17/21 12:20,,,
Application,Multimedia,Cataloguing,418,6/17/21 12:20,,,
Application,Multimedia,DVD,167,6/17/21 12:20,,,
Application,Office/Business,,17535,6/17/21 12:20,,,
Application,Office/Business,Enterprise,5084,6/17/21 12:20,,,
Application,Office/Business,Financial,4142,6/17/21 12:20,,,
Application,Office/Business,Scheduling,2170,6/17/21 12:20,,,
Application,Office/Business,Project Management,1493,6/17/21 12:20,,,
Application,Office/Business,Time Tracking,949,6/17/21 12:20,,,
Application,Office/Business,To-Do Lists,933,6/17/21 12:20,,,
Application,Office/Business,Office Suites,906,6/17/21 12:20,,,
Application,Office/Business,E-Commerce/Shopping,837,6/17/21 12:20,,,
Application,Office/Business,Knowledge Management,326,6/17/21 12:20,,,
Application,Office/Business,Desktop Publishing,206,6/17/21 12:20,,,
