summary_type,main_type,sub_type,sourceforge_count,count_asof,terms,terms_asof,links
Application,Blockchain,,155,6/17/21 12:20,etherium|vechain,,
Application,Blockchain,Crytocurrency,130,6/17/21 12:20,bitcoin|blockchain|cryptocurrency|dogecoin,,
Application,Communications,,23948,6/17/21 12:20,,,
Application,Communications,Chat,6288,6/17/21 12:20,,,
Application,Communications,Email,4376,6/17/21 12:20,,,
Application,Communications,File Sharing,3284,6/17/21 12:20,,,
Application,Communications,Telephony,1818,6/17/21 12:20,,,
Application,Communications,Bulletin Board System (BBS),1386,6/17/21 12:20,,,https://en.wikipedia.org/wiki/List_of_BBS_software
Application,Communications,Conferencing,1126,6/17/21 12:20,,,
Application,Communications,Streaming,1001,6/17/21 12:20,,,
Application,Communications,Internet Phone,575,6/17/21 12:20,,,
Application,Communications,Ham Radio,427,6/17/21 12:20,,,
Application,Communications,Usenet News,384,6/17/21 12:20,,,
Application,Communications,RSS Feed Readers,302,6/17/21 12:20,,,
Application,Communications,Sychronization,276,6/17/21 12:20,,,
Application,Communications,Fax,151,6/17/21 12:20,,,
Application,Communications,Fast ID Online (FIDO),82,6/17/21 12:20,,,
Application,Database,,10483,6/17/21 12:20,database management|database|databases,,
Application,Database,Front-Ends,4508,6/17/21 12:20,,,
Application,Database,Database Engines/Servers,1929,6/17/21 12:20,solarwinds database|dbvisualizer|manageengine|oracle rdbms|ibm db2|microsoft sql|sap sybase ase|teradata|adabas|mysql|filemaker|microsoft access|informix|sqlite|postgresql|amazonrds|mongodb|rdeis|couchdb|neo4j|couchbase|orientdb|phpmyadmin|sql developer|seqel pro|robomongo|hadoop hdfs|cloudera|mariadb|informix dynamic server|altibase,,https://www.softwaretestinghelp.com/database-management-software/
Application,Desktop Environments,,6391,6/17/21 12:20,,,
Application,Desktop Environments,Gnome,1371,6/17/21 12:20,,,
Application,Desktop Environments,K Desktop Environments,873,6/17/21 12:20,,,
Application,Desktop Environments,Window Managers,697,6/17/21 12:20,,,
Application,Desktop Environments,Screen Savers,239,6/17/21 12:20,,,
Application,Desktop Environments,Fonts,97,6/17/21 12:20,,,
Application,Education,,11128,6/17/21 12:20,,,
Application,Education,Computer Aided Instruction,1809,6/17/21 12:20,,,
Application,Education,Testing,1738,6/17/21 12:20,,,
Application,Education,Library,1659,6/17/21 12:20,,,
