fleming_primary,fleming_secondary,summary_type,main_type,sub_type,sourceforge_count,count_asof,terms,terms_asof,links
Applications,Cross-Industry/Vertical Market,Applications,Blockchain,,155,6/17/21 12:20,etherium|vechain|blockchain|wallet|ethereum contract|blockchain wallet|ethereum dapp|hardware wallet|bitcoin wallet|bitcoinj|ethereum wallet|ethereum blockchain|hd wallet|ethereum-network|myetherwallet|bitcoin-core|crypto-trading|crypto-wallet|cryptocoins|ethereum-client|wallet-generator|bitcoin-abc|bitcoin-address|bitcoin-cash-pool|bitcoin-payment|bitcoin-script|bitcoind|bitcoinjs|bitcoins|ethereum-address|solidity-dapps|bitcoin-api|bitcoin-bot|bitcoin-golang-library|bitcoin-green|bitcoin-mining|bitcoin-node|bitcoin-proof|bitcoin-trading-bot|bitcoin-trading-bots|bitcoin-trading|bitcoinjs-lib|bitcoinplus|bitcoinrpc|bitcoinsv|blockchain-charity|blockchain-dapp|blockchain-demo|blockchain-development|blockchain-framework|blockchain-network|blockchain-protocols|blockchain-service|blockchain-tecnology|ethereum-alarm-clock|ethereum-charity|ethereum-clone|ethereum-contracts|ethereum-debug|ethereum-debugger|ethereum-debugging|ethereum-etl|ethereum-events|ethereum-graph-debugger|ethereum-lists|ethereum-protocol|ethereum-studio|ethereum-swarm|ethereum-virtual-machine|go-ethereum|nbitcoin|private-ethereum-blockchain|python-bitcoin-library|decentralized autonomous organization|decentralized autonomous organizations|dao|daos|decentralized finance|defi|coinmarketcap|binance|coinbase|etherium|cardano|vechain|binance|polkadot|uniswap|solana|chainlink|polygon|monero|aave|decentraland,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Blockchain,Crytocurrency,130,6/17/21 12:20,cryptocurrency|bitcoin|dogecoin|litecoin|tether|ripple|binance coin|usd coin|binance usd|bitcoin cash|litecoin|wrapped bitcoin|dai|filecoin|shiba inu|shibacoin|cryptocurrencies|bitcoin-cash|cryptocurrency-exchanges|ethereum-classic|cryptocommodity|cryptocurrency-portfolio|cryptocurrency-trading-bot|cryptocurrency-wallet|cryptocurrency-website|cryptocurrency-explorer|cryptocurrency-portfolio-tracking|cryptocurrency-price-ticker|cryptocurrency-prices|cryptocurrency-trading-bots|cryptocurrency-wallets|friendly-cryptocurrency,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Communications,,23948,6/17/21 12:20,mycroft|voice assistant|blog|wordpress|wordpress-theme|blog-engine|blogging|personal-blog|jekyll-blog|blogs|blog-platform,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Chat,6288,6/17/21 12:20,chatbot|chatbots|conversational-agents|discord|discord-bot|chat|messaging|wechat|discord-js|discord-api|discord-py|chatbots|chat-application|chatbot-framework|chatapp|chat-bot|rocketchat|wechat-mini-program|chatbot-application|livechat|webchat|chat-sdk,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Email,4376,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,File Sharing,3284,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Telephony,1818,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Bulletin Board System (BBS),1386,6/17/21 12:20,,,https://en.wikipedia.org/wiki/List_of_BBS_software
Applications,Cross-Industry/Vertical Market,Applications,Communications,Conferencing,1126,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Streaming,1001,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Internet Phone,575,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Ham Radio,427,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Usenet News,384,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,RSS Feed Readers,302,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Sychronization,276,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Fax,151,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Communications,Fast ID Online (FIDO),82,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Education,,11128,6/17/21 12:20,moodle,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Education,Computer Aided Instruction,1809,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Education,Testing,1738,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Education,Library,1659,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Education,Languages,561,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Education,Administration,534,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Formats/Protocols,,6500,6/17/21 12:20,protocol,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Formats/Protocols,Data Formats,5268,6/17/21 12:20,game-development|games,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Formats/Protocols,Protocols,1635,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Mobile,,1616,6/17/21 12:20,ios|firebase|mobile,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,,17535,6/17/21 12:20,odoo|erpnext|dolibarr|cubrid|mariadb|business|billing|accounting|suitecrm|helpdeskz|chromis|vtigercrm|crm,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Enterprise,5084,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Financial,4142,6/17/21 12:20,gnucash|ledgersmb|adempiere|apache ofbiz,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Scheduling,2170,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Project Management,1493,6/17/21 12:20,taskjuggler|freedcamp,7/16/21,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Time Tracking,949,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,To-Do Lists,933,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Office Suites,906,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,E-Commerce/Shopping,837,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Knowledge Management,326,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Desktop Publishing,206,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Report Generators,186,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Modelling,48,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Insurance,21,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Office/Business,Marketing Automation,8,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Applications,Printing,,907,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Topics,Religion/Philosophy,,659,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Topics,Religion/Philosophy,New Age,92,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Topics,Religion/Philosophy,Humanitarianism,30,6/17/21 12:20,,,
Applications,Cross-Industry/Vertical Market,Topics,Scientific/Engineering,,27097,6/17/21 12:20,,,
