"","source","target"
"1","Certified Mail and Distribution Systems Manager","Certified Mail Manager"
"2","Certified Fraud Examiner","Certified IRA Services Professional"
"3","Certified Fraud Examiner","Certified International Tax Analyst"
"4","Certified Fraud Examiner","Certified Income Specialist"
"5","Certified IRA Services Professional","Certified International Tax Analyst"
"6","Certified IRA Services Professional","Certified Income Specialist"
"7","Certified International Tax Analyst","Certified Income Specialist"
"8","Linux Server Professional Certification - Level 1","HDI Certified Customer Service Representative"
"9","Linux Server Professional Certification - Level 1","Avid Certified System Administrator: iNEWS"
"10","Linux Server Professional Certification - Level 1","Avid Certified Support Representative: Elite"
"11","Linux Server Professional Certification - Level 1","Citrix ShareFile Certified"
"12","Linux Server Professional Certification - Level 1","HDI Desktop Advanced Support Technician"
"13","Linux Server Professional Certification - Level 1","CCNP Service Provider"
"14","Linux Server Professional Certification - Level 1","KCS Principles"
"15","Linux Server Professional Certification - Level 1","HDI Certified Instructor"
"16","Linux Server Professional Certification - Level 1","HDI Problem Management Professional"
"17","Linux Server Professional Certification - Level 1","Apple Certified Support Professional (ACSP) 10.15"
"18","Linux Server Professional Certification - Level 1","SMAX Certified Specialist"
"19","Linux Server Professional Certification - Level 1","HDI Certified Support Center Team Lead"
"20","Linux Server Professional Certification - Level 1","CompTIA CTT+"
"21","Linux Server Professional Certification - Level 1","HDI Support Center Analyst"
"22","Linux Server Professional Certification - Level 1","Certified Healthcare Technology Specialist -  Technical/Software Support Staff"
"23","Linux Server Professional Certification - Level 1","Associate in Information Technology"
"24","Linux Server Professional Certification - Level 1","Avid Certified Support Representative: Pro Tools"
"25","Linux Server Professional Certification - Level 1","Avid Certified Support Representative: ISIS"
"26","Linux Server Professional Certification - Level 1","Avid Certified Support Representative: MediaCentral | Asset Management"
"27","Linux Server Professional Certification - Level 1","Avid Certified Support Representative: Media Composer"
"28","Linux Server Professional Certification - Level 1","Citrix Endpoint Management Certified"
"29","Linux Server Professional Certification - Level 1","Citrix Virtual Apps and Desktops Service on Citrix Cloud Certified"
"30","Linux Server Professional Certification - Level 1","Citrix Virtual Apps and Desktops Service Integration with Microsoft Azure Certified"
"31","Linux Server Professional Certification - Level 1","Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate"
"32","Linux Server Professional Certification - Level 1","SAP Certified Application Associate - SAP Sales Cloud 1911"
"33","Linux Server Professional Certification - Level 1","SAP Certified Application Associate - SAP CPQ Implementation"
"34","Linux Server Professional Certification - Level 1","Computer Service Technician"
"35","Linux Server Professional Certification - Level 1","KCS Foundation"
"36","Linux Server Professional Certification - Level 1","Juniper Networks Certified Certified Data Center Design Professional"
"37","Linux Server Professional Certification - Level 1","Certified Wireless Design Professional"
"38","Linux Server Professional Certification - Level 1","Certified Wireless Technology Specialist"
"39","Linux Server Professional Certification - Level 1","Apple Certified iOS Technician (ACiT) Certification (2019)"
"40","Linux Server Professional Certification - Level 1","Avid Certified User: iNEWS"
"41","Linux Server Professional Certification - Level 1","Avid Certified Support Representative: Avid NEXIS"
"42","Linux Server Professional Certification - Level 1","HDI Support Center Team Lead"
"43","Linux Server Professional Certification - Level 1","Certified Cyber Security Professional - Associate/Practitioner"
"44","Linux Server Professional Certification - Level 1","Certified Cyber Security Professional - Foundation"
"45","Linux Server Professional Certification - Level 1","Microsoft Certified: Dynamics 365 Fundamentals"
"46","Linux Server Professional Certification - Level 1","CompTIA IT Fundamentals"
"47","Linux Server Professional Certification - Level 1","Network Systems Technician"
"48","Linux Server Professional Certification - Level 1","Specialist - Implementation Engineer, Campus Networking Version 1.0"
"49","HDI Certified Customer Service Representative","Avid Certified System Administrator: iNEWS"
"50","HDI Certified Customer Service Representative","Avid Certified Support Representative: Elite"
"51","HDI Certified Customer Service Representative","Citrix ShareFile Certified"
"52","HDI Certified Customer Service Representative","HDI Desktop Advanced Support Technician"
"53","HDI Certified Customer Service Representative","CCNP Service Provider"
"54","HDI Certified Customer Service Representative","KCS Principles"
"55","HDI Certified Customer Service Representative","HDI Certified Instructor"
"56","HDI Certified Customer Service Representative","HDI Problem Management Professional"
"57","HDI Certified Customer Service Representative","Apple Certified Support Professional (ACSP) 10.15"
"58","HDI Certified Customer Service Representative","SMAX Certified Specialist"
"59","HDI Certified Customer Service Representative","HDI Certified Support Center Team Lead"
"60","HDI Certified Customer Service Representative","CompTIA CTT+"
"61","HDI Certified Customer Service Representative","HDI Support Center Analyst"
"62","HDI Certified Customer Service Representative","Certified Healthcare Technology Specialist -  Technical/Software Support Staff"
"63","HDI Certified Customer Service Representative","Associate in Information Technology"
"64","HDI Certified Customer Service Representative","Avid Certified Support Representative: Pro Tools"
