ONETSOC,Certification,Occupation,Type
17-3012,Certified Interconnect Designer,Electrical and Electronics Drafters,STW
17-3012,Advanced Certified Interconnect Designer,Electrical and Electronics Drafters,STW
17-3012,Autodesk Certified Professional in Revit for Electrical Design,Electrical and Electronics Drafters,STW
17-3013,Mechanical Certified Drafter,Mechanical Drafters,STW
17-3013,Certified PDM Administrator Professional,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Associate - Simulation,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Expert - Simulation,Mechanical Drafters,STW
17-3013,Autodesk Certified Professional in Inventor for Mechanical Design,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Associate - Electrical,Mechanical Drafters,STW
17-3013,Autodesk Certified Professional in Revit for Mechanical Design,Mechanical Drafters,STW
17-3013,Autodesk Certified Professional in Design for Manufacturing,Mechanical Drafters,STW
17-3013,Certified Additive Manufacturing Associate,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Advanced Professional Drawing Tools,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Professional API,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Professional - Academic,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Professional Model Based Design,Mechanical Drafters,STW
17-3013,Autodesk Certified Expert in Generative Design for Manufacturing,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Professional - Simulation,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Professional - Flow Simulation,Mechanical Drafters,STW
17-3013,Autodesk Certified Associate in CAD for Mechanical Design,Mechanical Drafters,STW
17-3013,Mechanical Apprentice Drafter,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Advanced Professional Surfacing,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Associate - Academic,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Associate Sustainability,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Expert- Mechanical Design,Mechanical Drafters,STW
17-3013,Autodesk Certified Professional in AutoCAD for Design and Drafting,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Advanced Professional Sheet Metal,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Advanced Professional Weldments,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Professional CAM,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Advanced Professional Mold Making,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Professional - Mechanical Design,Mechanical Drafters,STW
17-3013,Certified SOLIDWORKS Associate,Mechanical Drafters,STW
17-3021,SpaceTEC Certified Aerospace Technician,Aerospace Engineering and Operations Technologists and Technicians,STW
17-3021,SpaceTEC Vehicle Processing Certification,Aerospace Engineering and Operations Technologists and Technicians,STW
17-3021,SpaceTEC Composites Certification,Aerospace Engineering and Operations Technologists and Technicians,STW
17-3021,Certification in Aerospace Physiology,Aerospace Engineering and Operations Technologists and Technicians,STW
17-3021,SpaceTEC Aerospace Manufacturing,Aerospace Engineering and Operations Technologists and Technicians,STW
17-3023,Master Certified Electronics Technician,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Certified Electronic Systems Technician,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,CEDIA Electronic Systems Certified Networking Specialist,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Certified Engineering Technologist,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,General Communications Technician - Level 2,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,General Communications Technician - Level 1,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Certified Portable Power Distribution Technician,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Autodesk Certified Professional in Revit for Electrical Design,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,ISA Certified Control Systems Technician - Level I,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Student Electronics Technician,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Commercial Electrical Inspector,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Industrial Electronics,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Radio Frequency Identification Technical Specialist,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,PMMI Mechatronics: Programmable Logic Controllers 1,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,SACA Certified Industry 4.0 Automation Systems Specialist II,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,SACA C-102 Certified Industry 4.0 Associate - Advanced Operations,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Electrical Generator Systems Technician Certification,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Certification in Electrical Power Testing - Level III,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Associate Electronics Technician - Comprehensive,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Certified Satellite Installer - C and KU Band,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Radio Frequency Interference Mitigation,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Wireless Communications,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,CEDIA Electronic Systems Certified Designer,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,CEDIA Electronic Systems Certified Technician,Electrical and Electronic Engineering Technologists and Technicians,STW
17-3023,Senior Certified Electronics Technician,Electrical and Electronic Engineering Technologists and Technicians,STW
