"","id","login","deg_cent","wtd_deg_cent","eigen_cent","page_rank","auth_score","hub_score","k_core","component","louvain_comm","fstgrdy_comm"
"1","1","Certified Mail and Distribution Systems Manager",1,1,0,0.00107204116638147,9.02960637677475e-18,9.02960637677475e-18,1,1,1,38
"2","2","Certified Mail Manager",1,1,0,0.00107204116638065,9.02960637677475e-18,9.02960637677475e-18,1,1,1,38
"3","3","Certified Fraud Examiner",3,3,0,0.00107204116638161,2.60855295329048e-17,2.60855295329048e-17,3,2,2,26
"4","4","Certified IRA Services Professional",3,3,0,0.00107204116638123,2.60855295329048e-17,2.60855295329048e-17,3,2,2,26
"5","5","Certified International Tax Analyst",3,3,0,0.00107204116638083,2.60855295329048e-17,2.60855295329048e-17,3,2,2,26
"6","6","Certified Income Specialist",3,3,0,0.00107204116638039,2.60855295329048e-17,2.60855295329048e-17,3,2,2,26
"7","7","Linux Server Professional Certification - Level 1",41,42,2.34368449957174e-15,0.00106874557149252,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"8","8","HDI Certified Customer Service Representative",41,42,2.31157923245432e-15,0.00106874557149248,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"9","9","Avid Certified System Administrator: iNEWS",41,42,2.31157923245432e-15,0.00106874557149245,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"10","10","Avid Certified Support Representative: Elite",41,42,2.29552659889561e-15,0.00106874557149242,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"11","11","Citrix ShareFile Certified",41,42,2.31157923245432e-15,0.00106874557149239,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"12","12","HDI Desktop Advanced Support Technician",41,82,6.56552712551263e-15,0.00193952441244294,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"13","13","CCNP Service Provider",41,42,2.31157923245432e-15,0.00106874557149229,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"14","14","KCS Principles",41,42,2.32763186601303e-15,0.00106874557149226,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"15","15","HDI Certified Instructor",41,42,2.31157923245432e-15,0.00106874557149223,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"16","16","HDI Problem Management Professional",41,42,2.31157923245432e-15,0.00106874557149219,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"17","17","Apple Certified Support Professional (ACSP) 10.15",41,42,2.31157923245432e-15,0.00106874557149216,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"18","18","SMAX Certified Specialist",41,42,2.34368449957174e-15,0.00106874557149213,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"19","19","HDI Certified Support Center Team Lead",41,42,2.29552659889561e-15,0.00106874557149209,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"20","20","CompTIA CTT+",41,42,2.2794739653369e-15,0.00106874557149206,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
"21","21","HDI Support Center Analyst",41,42,2.31157923245432e-15,0.00106874557149202,4.01315838967767e-16,4.01315838967767e-16,41,3,3,2
