Raw,Freq,entity,certificate,confidence_entry,confidence_cert,confidence
LEED AP Building Design and Construction (AP BD+C),2,United States Green Building Council (USGBC),LEED AP Building Design and Construction BD+C,1.0000,0.8871,1.0000
Check Point Certified Managed Security Expert,1,Check Point Software Technologies LTD.,Check Point Managed Security Expert,0.6966,0.9633,0.7564
Pediatric Advanced Life Support (PALS) Certification,1585,American Heart Association,Pediatric Advanced Life Support (PALS),0.6647,0.9434,0.7069
CompTIA Advanced Security Practitioner (CASP),154,CompTIA,CompTIA Advanced Security Practitioner (CASP),0.6616,0.9391,0.7004
PMI Certified Associate in Project Management (CAPM),54,Project Management Institute (PMI),Certified Associate in Project Management (CAPM),0.7640,0.7422,0.6392
Six Sigma Black Belt Certification,211,American Society for Quality (ASQ),Six Sigma Black Belt,0.5603,0.9941,0.6279
Six Sigma Master Black Belt,34,American Society for Quality (ASQ),Six Sigma Black Belt,0.5603,0.9941,0.6279
Six Sigma Yellow Belt,18,American Society of Quality (ASQ),Six Sigma Yellow Belt,0.5603,0.9941,0.6279
Six Sigma Green Belt Certification,245,American Society for Quality (ASQ),Six Sigma Green Belt,0.5548,0.9844,0.6156
Chartered Financial Analyst (CFA),211,CFA Institute,Chartered Financial Analyst (CFA),0.5474,0.9713,0.5994
Financial Risk Manager (FRM),49,Global Association of Risk Professionals (GARP),Financial Risk Manager (FRM),0.5400,0.9581,0.5833
Advanced Cardiac Life Support (ACLS) Certification,14932,American Heart Association,Advanced Cardiovascular Life Support (ACLS),0.6712,0.7543,0.5707
HDI Support Center Analyst (SCA),12,HDI,HDI Support Center Analyst,0.5280,0.9368,0.5575
Microsoft Office Specialist (MOS): Excel,17,Microsoft,Microsoft Office Specialist (MOS) - Excel 2016,0.6424,0.7599,0.5503
Microsoft Office Specialist (MOS): PowerPoint,2,Microsoft,Microsoft Office Specialist (MOS) - Powerpoint 2019,0.6424,0.7599,0.5503
Microsoft Office Specialist (MOS): Word,1,Microsoft,Microsoft Office Specialist (MOS) - Word 2016,0.6424,0.7599,0.5503
Registered Diagnostic Medical Sonographer,48,American Registry for Diagnostic Medical Sonography (ARDMS),Registered Diagnostic Medical Sonographer ,0.5220,0.9262,0.5450
Manufacturing Technician Level 1 (MT1) Certification,1,Manufacturing Skills Institute,Manufacturing Technician Level 1,0.6267,0.7682,0.5428
