,clean fda company name,original fda company,fda row,corporate family,clean ndc row,clean ndc company,original ndc company,fuzz ratio
0,abbvie,"ABBVIE, ABBVIE INC","5, 8",abbvie,[66],['abbvie'],['AbbVie Inc.'],[100]
1,abraxis bioscience,ABRAXIS BIOSCIENCE,11,abraxis bioscience,[71],['abraxis bioscience'],"['Abraxis BioScience, LLC']",[100]
2,accord,"ACCORD HLTHCARE, ACCORD HLTHCARE INC","12, 13",accord,"[81, 82, 83, 84, 85]","['accord', 'accord', 'accord', 'accord', 'accord']","['Accord Healthcare', 'Accord Healthcare Inc', 'Accord Healthcare Inc.', 'Accord Healthcare, Inc', 'Accord Healthcare, Inc.']","[100, 100, 100, 100, 100]"
3,aci,ACI HEALTHCARE LTD,15,aci,[98],['aci'],"['ACI Healthcare USA, Inc.']",[100]
4,actavis,"ACTAVIS INC, ACTAVIS LLC, ACTAVIS PHARMA","25, 30, 32",actavis,"[108, 109]","['actavis', 'actavis']","['Actavis Pharma, Inc', 'Actavis Pharma, Inc.']","[100, 100]"
5,actelion,ACTELION PHARMS LTD,35,actelion,[110],['actelion'],"['Actelion Pharmaceuticals US, Inc.']",[100]
6,adapt,ADAPT,36,adapt,[124],['adapt'],['Adapt Pharma Inc'],[100]
7,aegerion,AEGERION,37,aegerion,[157],['aegerion'],"['Aegerion Pharmaceuticals, Inc.']",[100]
8,agouron,AGOURON PHARMS,39,agouron,[184],['agouron'],['AGOURON'],[100]
9,ailex,AILEX PHARMS LLC,40,ailex,[194],['ailex'],"['Ailex Pharmaceuticals, LLC']",[100]
10,aiping,AIPING PHARM INC,41,aiping,"[197, 198]","['aiping', 'aiping']","['AiPing Pharmaceutical Inc.', 'AiPing Pharmaceutical, Inc.']","[100, 100]"
11,air chemicals,AIR PRODUCTS AND CHEMICALS INC,47,air chemicals,[201],['air chemicals'],"['Air Products and Chemicals, Inc.']",[100]
12,air liquide america,"AIR LIQUIDE AMERICA LP, AIR LIQUIDE HEALTHCARE AMERICA CORP","43, 45",air liquide america,[199],['air liquide america'],['Air Liquide America L.P.'],[100]
13,air liquide large industries,AIR LIQUIDE LARGE INDUSTRIES US LP,46,air liquide large industries,[200],['air liquide large industries'],['Air Liquide Large Industries U.S. LP'],[100]
14,airgas,AIRGAS USA LLC,50,airgas,"[208, 209]","['airgas', 'airgas']","['AIRGAS USA, LLC', 'Airgas, Inc.']","[100, 100]"
15,ajanta,AJANTA PHARMA LTD,51,ajanta,[218],['ajanta'],['Ajanta Pharma Limited'],[100]
16,akorn,"AKORN, AKORN INC","52, 53",akorn,"[225, 226, 227]","['akorn', 'akorn', 'akorn']","['Akorn', 'Akorn Inc.', 'Akorn, Inc.']","[100, 100, 100]"
17,alcon,"ALCON, ALCON PHARMS LTD","54, 55",alcon,"[240, 241]","['alcon', 'alcon']","['Alcon Laboratories, Inc.', 'Alcon, Inc.']","[100, 100]"
18,alembic,"ALEMBIC LTD, ALEMBIC PHARMS LTD","56, 57",alembic,"[250, 251, 252]","['alembic', 'alembic', 'alembic']","['Alembic Pharmaceuticals Inc.', 'Alembic Pharmaceuticals Limited', 'Alembic Pharmaceuticals, Inc.']","[100, 100, 100]"
19,alexion,ALEXION PHARM,58,alexion,"[256, 257]","['alexion', 'alexion']","['Alexion Pharmaceuticals Inc.', 'Alexion Pharmaceuticals, Inc.']","[100, 100]"
20,alimera sciences,ALIMERA SCIENCES INC,59,alimera sciences,[270],['alimera sciences'],"['Alimera Sciences, Inc.']",[100]
