"","fam","certification","number","x1","x2","name_cert"
"1","11","Addiction Treatment Counselor",1,"Addiction Treatment Counselor","Addiction Treatment Counselor","Addiction Treatment Counselor"
"2","11","Advanced Practice Nurse",1,"Advanced Practice Nurse","Advanced Practice Nurse","Advanced Practice Nurse"
"3","11","AFAA Certification",2,"AFAA ","AFAA ","AFAA "
"4","11","American Physical Therapy Association (APTA) Certification",2,"American Physical Therapy Association (APTA) ","American Physical Therapy Association (APTA) ","American Physical Therapy Association (APTA) "
"5","11","Basic Life Saving (BLS)",3,"Basic Life Saving (BLS)","Basic Life Saving (BLS)","Basic Life Saving (BLS)"
"6","11","Board Certified/Board Eligible",21,"Board Certified/Board Eligible","Board /Board Eligible","Board /Board Eligible"
"7","11","CDL Class A",3,"CDL Class A","CDL Class A","CDL Class A"
"8","11","Cdl Class C",4,"Cdl Class C","Cdl Class C","Cdl Class C"
"9","11","Certified Financial Planner (CFP)",1,"Certified Financial Planner (CFP)"," Financial Planner (CFP)"," Financial Planner (CFP)"
"10","11","Certified Occupational Therapy Assistant (COTA)",2,"Certified Occupational Therapy Assistant (COTA)"," Occupational Therapy Assistant (COTA)"," Occupational Therapy Assistant (COTA)"
"11","11","Certified Outpatient Coding (COC)",1,"Certified Outpatient Coding (COC)"," Outpatient Coding (COC)"," Outpatient Coding (COC)"
"12","11","Contractors License",1,"Contractors License","Contractors License","Contractors License"
"13","11","Driver's License",115,"Driver's License","Driver's License","Driver's License"
"14","11","Financial Accounting Standards Board (FASB)",1,"Financial Accounting Standards Board (FASB)","Financial Accounting Standards Board (FASB)","Financial Accounting Standards Board (FASB)"
"15","11","First Aid Cpr Aed",20,"First Aid Cpr Aed","First Aid Cpr Aed","First Aid Cpr Aed"
"16","11","Food Handler Certification",17,"Food Handler ","Food Handler ","Food Handler "
"17","11","Food Service Certification",1,"Food Service ","Food Service ","Food Service "
"18","11","Forklift Operator Certification",1,"Forklift Operator ","Forklift Operator ","Forklift Operator "
"19","11","Group Exercise Instructor",2,"Group Exercise Instructor","Group Exercise Instructor","Group Exercise Instructor"
"20","11","Map Certified",1,"Map Certified","Map ","Map "
"21","11","Personal Fitness Trainer Certification",1,"Personal Fitness Trainer ","Personal Fitness Trainer ","Personal Fitness Trainer "
"22","11","Project Management Certification",1,"Project Management ","Project Management ","Project Management "
"23","11","Psychologist License",1,"Psychologist License","Psychologist License","Psychologist License"
"24","11","Real Estate Certification",1,"Real Estate ","Real Estate ","Real Estate "
"25","11","Registered Dietitian",2,"Registered Dietitian","Registered Dietitian","Registered Dietitian"
"26","11","ServSafe",7,"ServSafe","ServSafe","ServSafe"
"27","13","Accident Health and Life (Insurance)",1,"Accident Health and Life (Insurance)","Accident Health and Life (Insurance)","Accident Health and Life (Insurance)"
"28","13","Acquired Immune Deficiency Syndrome (AIDS) Certification",6,"Acquired Immune Deficiency Syndrome (AIDS) ","Acquired Immune Deficiency Syndrome (AIDS) ","Acquired Immune Deficiency Syndrome (AIDS) "
