"","ONET.Certification","Burning.Glass.Certification"
"1","comptia ctt+","comptia ctt+"
"2","comptia it fundamentals","comptia it fundamentals"
"3","broadband premises expert","broadband premises expert"
"4","passive intermodulation testing","passive intermodulation testing"
"5","mobile crane operator","mobile crane operator"
"6","broadband premises installer","broadband premises installer"
"7","laboratory animal technologist","laboratory animal technologist"
"8","fiber optics installer","certified fiber optics installer"
"9","building plans examiner","certified building plans examiner"
"10","data cabling installer","data cabling installer certification"
"11","industrial electronics","industrial electronics"
"12","industrial electronics","industrial electronics technician"
"13","leed ap building design + construction","leed ap building design and construction"
"14","leed green associate","leed green associate"
"15","residential building inspector","certified residential building inspector"
"16","broadband transport specialist","broadband transport specialist"
"17","fundamental payroll certification","fundamental payroll certification"
"18","broadband premises technician","broadband premises technician"
"19","fiber optics technician","certified fiber optics technician"
"20","electric vehicle technician","electric vehicle technician"
"21","laboratory animal technician","laboratory animal technician"
"22","certified landscape irrigation auditor","certified landscape irrigation auditor"
"23","line and antenna sweeping","line & antenna sweeping"
"24","certified broadcast television engineer","certified broadcast television engineer"
"25","microsoft office specialist: microsoft powerpoint 2016","microsoft office specialist: powerpoint"
"26","microsoft office specialist: microsoft word 2016","microsoft office specialist: word"
"27","certified broadcast radio engineer","certified broadcast radio engineer"
"28","certified broadcast networking engineer","certified broadcast networking engineer"
"29","certified surgical first assistant","certified surgical first assistant"
"30","computer service technician","computer service technician"
"31","certified broadcast networking technologist","certified broadcast networking technologist"
"32","advanced engine performance specialist","advanced engine performance certified"
"33","bicsi technician","bicsi technician"
"34","certified associate in project management","pmi certified associate in project management"
"35","certified respiratory therapist","certified respiratory therapist"
"36","certified sous chef","certified sous chef"
"37","certified executive chef","certified executive chef"
"38","certified fraud examiner","certified fraud examiner"
"39","certified respiratory therapist","registered respiratory therapist"
"40","airport master firefighter","airport firefighter"
"41","certified registered locksmith","certified registered locksmith"
"42","associate in information technology","giac legal issues in information technology & security"
"43","certified video engineer","certified video engineer"
"44","fiber optics designer","certified fiber optics specialist"
"45","fiber optics designer","fiber optics certification"
"46","microsoft office specialist: microsoft excel expert (excel and excel 2019)","microsoft office specialist: excel"
"47","life support technician","advanced cardiac life support certification"
"48","life support technician","basic cardiac life support certification"
"49","life support technician","pediatric advanced life support certification"
"50","chief engineer (unlimited)","chief engineer license"
"51","electrical plans examiner","certified plans examiner"
"52","open water diver","open water scuba certificate"
"53","professional broadcast engineer","certified broadcast engineer"
"54","certified satellite installer","certified satellite installer"
"55","certified energy auditor","certified energy auditor"
"56","traffic control supervisor","air traffic control"
"57","certified surgical technologist","certified surgical technologist"
"58","clinical chemistry technologist","clinical laboratory technologist"
"59","mobile crane operator","certified overhead crane operator"
"60","mobile crane operator","certified crane operator"
"61","certified engineering technologist","certified engineering technologist"
"62","certified ira services professional","certified ira services professional"
"63","airport fire officer","fire officer"
"64","airport fire officer","fire officer i"
"65","airport fire officer","fire officer iii"
"66","airport fire officer","fire officer ii"
"67","airport fire officer","fire officer iv"
