index,DEPARTMENT,PREDICTIONS,ABSTRACT
14,HHS,HHS,"DESCRIPTION (provided by applicant):   Primary FSGS is a serious renal disease, accounting for nearly 10-15% of all pediatric and adult patients requiring chronic dialysis or transplantation. Not only is the incidence of this disease rising, especially in select ethnic groups such as Blacks and Hispanics, the etiology of FSGS remains obscure and there is no proven therapy that is safe and well tolerated. In response to this urgent situation, a national multicenter NIDDK-funded randomized clinical trial is underway to compare the efficacy of cyclosporine, the current standard of care, with a combination of MMF and oral dexamethasone pulses in patients with steroid-resistant FSGS. It is anticipated that a significant number of patients will be ineligible for this trial because of prior treatment with one of the test therapies or will fail to respond to the experimental treatment. Children and young adults with FSGS who fail to respond to therapy have a high risk of developing end stage renal disease. The disease progression is always accompanied by increasing scarring and fibrosis within the kidney parenchyma. There is a critical need to develop novel therapies to treat these refractory patients. This proposal will evaluate the safety and efficacy of three novel agents that may have the capacity to reduce renal fibrosis and slow the rate of deterioration of disease in patients with resistant FSGS. This Phased Innovation Award application is composed of two distinct sections. During the initial stage, the R21 Phase, the safety, tolerance, and pharmacokinetic profile of two novel therapies - a tumor necrosis factor-alpha (TNF-alpha antagonist) and a peroxisome proliferator activator receptor-gamma, (PPARgamma) agonist will be tested. In the second stage, the R33 phase, a randomized Phase II clinical trial will be performed to assess the efficacy of the TNF-alpha antagonist adalumimab, the PPAR-gamma agonist rosiglitazone, an anti-TGF-beta antibody GC1008, and optimal conservative medical therapy. The outcome of this study will guide the design of a formal Phase III randomized clinical trial. The infrastructure that is established for the performance of this R21/R33 project should prove useful for the efficient assessment of additional novel therapies that will be developed in the future for patients with primary FSGS."
32,HHS,NSF,"DESCRIPTION (provided by applicant): The need for effective analgesic agents with minimal respiratory depressant effects and low addiction potential is profound. Approximately 34 million Americans suffer from chronic pain; 40 percent of those pain patients have found their treatment to be inadequate. Many cannot tolerate morphine, or the escalated doses of other mu agonists required to maintain a pain-free state over time. This problem is even more pronounced in neuropathic pain patients that require much higher doses of mu opioid agonists. By understanding the mechanisms of action of the endogenous neurotransmitters that modulate nociceptive sensitivity, we can develop more effective analgesic agents for the treatment of pain. Orphanin FQ/nociceptin (OFQ/N) is an endogenous neurotransmitter that produces both anti-analgesic and analgesic effects and has no addiction potential. OFQ/N is also anti-allodynic - making the receptor for OFQ/N, ORL1, a therapeutic target for treatment of neuropathic pain. OFQ/N is implicated in the development of morphine tolerance as chronic morphine treatment increases levels of OFQ/N and ORLI. Moreover, blockade of OFQ/N binding to ORL1 attenuates the development of morphine tolerance. ORL1 receptors are colocalized with mu receptors on many cell populations in the descending analgesic pathway, and cross talk between ORL1 and mu opioid receptors would explain many of the anti-analgesic actions of OFQ/N. Unfortunately, understanding of the cellular regulation of the ORL1 receptor is very limited. Our studies indicate that ORL1 desensitization requires activation of PKC and G protein-coupled receptor kinase (GRK). We hypothesize that ORL1 desensitization is dependent on ORL1 phosphorylation, and that this phosphorylation induces ORL1 internalization. We will determine the role, mechanism and site of phosphorylation responsible for ORL1 desensitization (aim 1) and internalization (aim 2). OFQ/N desensizition of mu receptor responses in neuronal cell lines, natively expressing both ORL1 and mu opioid receptors, involves PKC and GRK, while mu agonist-mediated desensitization of ORL1 requires only GRK. Therefore, this proposal will also study the mechanism(s) by which OFQ/N desensitizes the mu opioid receptor (aim 3), and by which mu agonists desensitize ORL1 (aim 4).By providing new information on the actions and interactions of OFQ/N and the mu opioid system, we can develop new drugs for the treatment of pain and improve the lives of millions."
131,HHS,HHS,"T cell activation and differentiation is dependent on TCR engagement of antigen and cooperating signalsprovided by several distinct receptor-ligand systems. The herpesvirus entry mediator (HVEM), a TNFsuperfamily member, engages LIGHT initiating costimulatory signals to T cells, yet HVEM also engages Band T lymphocyte attenuator (BTLA), an Ig superfamily member that provides an inhibitory signal to T cells.Substantial progress indicates that HVEM acts as a molecular switch between positive and inhibitorycosignaling in T cells. Moreover, the HVEM-BTLA system counter acts the closely related LTa(3-LT|3Rsystem, which together regulates the homeostasis and expansion of specific subsets of dendritic cells inlymphoid organs. Thus understanding the regulatory mechanisms of this cytokine network should providenew insight into controlling immune responses. We found that LIGHT in either its membrane or solubleposition modifies the binding of HVEM to BTLA, thus the mechanisms controlling the cellularcompartmentalization of LIGHT may influence inhibitory signaling by BTLA. We propose to examine howvarious forms of LIGHT modulate the HVEM-BTLA interaction. Specifically how soluble ligands andpolymorphic variants of LIGHT modify activation of BTLA. In addition, polymorphic variants of human LIGHTwill be examined for their influence on LIGHT shedding and the enzyme involved in cleavage of membraneLIGHT will be identified using an expression cloning strategy. We will explore whether analogous pathwaysto HVEM-BTLA exist for other TNFR containing the conserved BTLA binding domain. HVEM-BTLA acts at apostmitotic step to limit dendritic cell expansion. The attenuation of death receptor signaling will be examinedas one mechanism mediating the inhibitory affect of HVEM-BTLA on dendritic cell homeostasis using mouseand human models. These plans will provide a mechanistic understanding of how LTap and LIGHT signalsare integrated to orchestrate intercellular communication between T lymphocytes and dendritic cells duringimmune responses.Lay summary: Our research identified an important set of molecules, termed cytokines, that control howimmune cells communicate with each other. We demonstrated that altering the activity of these moleculeschanges the responses of cells. This research provides a new opportunity to modify the function of theimmune system in autoimmune and infectious diseases"
133,HHS,NSF,"DESCRIPTION (provided by applicant): The goal of this proposal is to understand the neural mechanisms underlying communication and social behavior and related emotional and motivational states, particularly individual and kin recognition. A related goal of is to understand the neural mechanisms underlying these processes, especially the discovery of areas of the brain involved in social recognition and memory, emotional and motivational mechanisms related to recognition of familiar individuals and the consequent social behavior, and the sensory processes related to these abilities. The results will be relevant to understanding many types of mental and behavioral disorders that involve social interactions, such as autism and depression, personality disorders (e.g., antisocial, avoidant, paranoid or schizoid), social anxiety, social phobias and the effects of socially induced stress and post-traumatic stress. In addition, the findings will be relevant to disabilities due to stroke, head injury, or degenerative diseases, including Alzheimer's disease.  The specific aims of the study are to use our extensive knowledge about social behavior and communication in hamsters as a model system to investigate the neural mechanisms of recognition of individuals, kin, and sex by odors. There are three specific goals. (1) Using immunohistochemistry to identify cells expressing immediate early genes, we will identify brain areas activated during response to familiar individuals and appropriate emotional responses to them. (2) Using micro-infusion of lidocaine, we will determine which brain regions are necessary for individual and sex recognition and appropriate responses to such individuals. Brain areas of particular interest include the olfactory projection pathways, basolateral and medial amygdala, entorhinal cortex, peri-rhinal cortex, the hippocampus, and the subiculum. (3) The role of the main and accessory olfactory bulbs in processing information about individuals and kin and the role of social experiences in altering the patterns of activity in the bulb. These experiments will provide new and unique knowledge about the neural basis of social recognition, social memory, and the emotional and motivational responses caused by interactions with known individuals. These mechanisms are essential building blocks in the social behavior of non-human animals and humans."
144,HHS,HHS,"DESCRIPTION:  Smoking is an important public health problem costing over 430,000 lives a year in this county alone. The first line-treatments, Nicotine Replacement Treatments (NRT) or bupropion, compared to placebo, approximately double the long-term success rate for smoking cessation. Given that there remains 46 million smokers in this country and over 70 percent of them interested in quitting smoking, development of new treatments for smoking cessation will have great public health implications. The primary aim of this proposal is to determine the utility of the gamma-aminobutyric acid (GABA) system as a target for the treatment of tobacco dependence. This proposal is based on the findings of our pilot study, which examined the interactions between a selective GABA transporter inhibitor, tiagabine, and nicotine in overnight abstinent smokers.In our pilot study, tiagabine, compared to placebo, attenuated the ratings of  good effects  and  drug liking  from IV nicotine in overnight abstinent smokers. Tiagabine treatment also decreased craving for cigarettes and improved performance on a reaction time test in abstinent smokers. These findings suggest that enhancing the GABA system may attenuate the reinforcing effects of nicotine and craving for cigarettes. In addition, our findings raise an interesting possibility that enhancing the GABA system with tiagabine may improve cognitive performance in abstinent smokers. Thus, medications increasing synaptic GABA levels may have utility for the pharmacotherapy of tobacco dependence. In this proposal, we will examine dosedependent effects of a GABA enhancing medication, tiagabine, (0, 8 or 16 mg), on smoking behavior and reactivity to smoking cues using human laboratory models. We hypothesize that in abstinent male and female smokers, tiagabine at 16 mg, will be most effective in decreasing smoking behavior and attenuating reactivity to smoking cues. This proposal will use validated human laboratory models to systematically investigate the potential utility of a GABA enhancing agent, tiagabine, as a pharmacological treatment for smoking cessation. Our proposed study will also provide critical information relevant for further clinical studies: the optimum dose and possible mechanism of action of tiagabine for tobacco dependence. The findings of this study will provide valuable information to develop new pharmacotherapies for smoking cessation."
145,HHS,NSF,"DESCRIPTION (provided by applicant): Solar ultraviolet B (UVB) radiation is the major risk factor for the induction and development of non-melanoma skin cancer (NMSC) including squamous cell carcinoma (SCCs) and basal cell carcinoma (BCCs) which account for more than one million newly diagnosed human cancers annually in the USA. UVB causes structural alterations in DNA leading to hot spot mutations in tumor suppressor genes such as p53 and ptch in BCCs and in the perilesional skin surrounding these lesions. The pathogenesis of these tumors is thought to be driven by mutational activation of sonic hedgehog (shh) signaling and inactivation of p53 resulting in blockade of apoptosis and augmentation of cell proliferation and clonal expansion of initiated cells prompting the growth of BCCs. In this proposal we will test the hypothesis that the combination of shh activation and p53 inhibition drives the neoplastic process in BCCs and that finding chemical agents targeted to blocking the effects of UVB on these signaling pathways will abrogate the development of these lesions. For this study we will employ genetically engineered cancer-susceptible murine models that mimic the phenotype of tumor-susceptible human skin. These include: ptc1+ hairless mice carrying p53+/+p53+/- or p53-/-; in prior studies we have shown that ptc1+/SKH1 hairless mice carrying p53+/+ spontaneously develop multiple human BCCs-like lesions in addition to rhabdomyosarcomas. Chronic UVB irradiation of the skin of these mice readily induces multiple tumors including papillomas, SCCs and BCCs, providing a uniquely relevant murine model of human skin cancer induction. In this murine model we will investigate effects of targeted anti-cancer agents including cyclopamine and CP-31398, which block shh activation and convert mutant p53 into a functionally active protein respectively. We will also assess the role of nuclear factor kappa B (NFkB), which is also induced by UVB irradiation of the skin, by using sulfasalazine that blocks NFkB activation by directly inhibiting IkB kinases. Employing LC-MS, we have shown that co-administration of cyclopamine and CP-31398 or sulfasalazine does not alter individual agent's bioavailability. It is our belief that these studies will form the basis for translational clinical trials whereby a suitable combination of these test agents could prove highly effective in abrogating BCCs and may provide a mechanism-based uniquely effective approach for the chemoprevention of NMSCs in susceptible human populations."
160,HHS,HHS,"DESCRIPTION (provided by applicant): Cannabis is the most prevalent illicit substance used by adolescents in the U.S. Although available treatments can help adolescent cannabis users achieve abstinence, longer term outcome studies have demonstrated high rates of relapse to cannabis use in this population. Preclinical and clinical studies have shown that cannabis use exerts sustained disruptive effects on learning and memory, which appear to be more pronounced with earlier age at onset of cannabis use. Preclinical work has also provided evidence of neuroadaptive changes in reward circuitry, including reduced dopaminergic neurotransmission, following chronic exposure to ?9-tetrahydrocannabinol (THC), the active component of cannabis. Many treatments for adolescent cannabis abuse and dependence, such as cognitive behavioral therapy, motivational enhancement therapy, and contingency management therapy, involve processing of rewards, learning new information, and retaining this new information over time. Understanding how exposure to cannabis during adolescent development alters the function of neurocircuitry that supports reward processing, learning and memory, and the integration of neurocircuits that support these cognitive functions is thus an important problem in addiction neuroscience. The goal of this proposal is to develop and refine a paradigm for the assessment of reward-motivated learning, and the function of neurocircuitry that supports reward-motivated learning, in adolescent cannabis users. Thirty-five adolescent cannabis users and 35 matched non-cannabis using comparison subjects will undergo behavioral assessment using four versions of a reward- motivated learning task that will test two levels of reward (high and low) and two stimuli types (verbal and nonverbal stimuli). Data collected from these assessments will be used to test the hypothesis that response to positive and negative rewards in the context of learning are blunted in adolescent cannabis users. The reward level and stimuli type found to be most sensitive to the effects of cannabis on reward-motivated learning in adolescents will be used to develop a functional magnetic resonance imaging (fMRI) activation paradigm. Fifteen adolescent cannabis users and 15 matched comparison subjects will undergo fMRI imaging with this paradigm to explore the effect of cannabis exposure on neurocircuitry that supports reward motivated learning and to estimate the size of this effect. All subjects will undergo four weeks of monitored abstinence from substances of abuse, other than nicotine, prior to behavioral and fMRI assessments. Cannabis use among adolescents is common. Although treatment can often help adolescents stop using cannabis in the short term, longer term follow-up studies have shown high rates of relapse to cannabis use among these teenagers. Studies of animals and of humans have shown that cannabis use disrupts learning and memory. Studies of animals have also shown that reward circuitry undergoes neuroadaptive changes in response to chronic exposure to the active component of cannabis,tetrahydrocannabinol (THC). Many treatments for adolescent cannabis abuse and dependence involve processing of rewards, learning new information, and retaining this new information over time. The goal of this proposal is to develop and refine a paradigm for the assessment of reward-motivated learning, and the function of neurocircuitry that supports reward- motivated learning, in adolescent cannabis users. This work will form the foundation for future planned projects that will examine the relationship between the function of neurocircuitry supporting reward motivated learning and treatment outcome in adolescent cannabis users. Findings from these studies will provide a rational basis for tailoring treatment interventions to the ability of adolescents to respond to interventions that involve rewards (eg: contingency management) and/or learning (eg: cognitive-behavioral therapy), and to provide methods for monitoring changes in the function of neurocircuitry supporting reward-motivated learning associated with treatment and with sustained abstinence from cannabis use."
192,HHS,HHS,"DESCRIPTION (provided by applicant): The broad, long-term objective of this proposal is to define in molecular terms the linkage between the oxidative modifications of proteins in the outer retina, their recognition by the immune system and the vulnerability of the outer retina to attack, leading to the disease processes underlying age-related macular degeneration (AMD). Work completed during the last grant period revealed that AMD eye tissues contain high levels of proteins modified by the adduction of oxidation fragments of the long chain polyunsaturated fatty acid, docosahexaenoic acid (DHA). Many of the proteins modified by this and other adducts are found in drusen and Bruch's membrane. Furthermore, autoantibodies against these unique carboxyethylpyrrole adducts (CEP) are more abundant in the circulation (plasma) of individuals with AMD than are found in age-matched individuals without AMD. From these results the following hypothesis has emerged regarding an initiating stimulus for AMD: (a). Because of the high concentration of DHA in the photoreceptors-RPE complex coupled with the vulnerability of DHA to oxidative damage, CEP-adducts are slowly generated over time in the outer retina, (b). These CEP-adducts represent new epitopes foreign to the immune system resulting in the generation of autoantibodies against CEP. (c). Anti-CEP-antibodies in turn are involved in activation of the complement attack pathway at the Bruch's membrane-RPE interface in response to the continued generation of CEP epitopes in tissues of the outer retina. To test this hypothesis we immunized normal mice with CEP-adducted mouse serum albumin. Our prediction was that systemic immunization with CEP would sensitize mice to endogenous CEP-adducted proteins generated in the outer retina during the normal course of aging. In turn the immune system would respond by attacking the cells where CEP epitopes are most readily generated. Analysis of these mice demonstrated focal lesions in the RPE and photoreceptors that mimic geographic atrophy, the blinding end-stage atrophy associated with dry AMD. This new mouse model for AMD will be further characterized in normal mice and the CEP-immunizations will be extended to mice with genetic defects in complement pathway molecules and their regulators. A new model for AMD in the mouse will be an important a new resource for use in the preclinical testing of therapeutics designed to prevent or limit the progression of AMD."
231,HHS,NSF,"DESCRIPTION (provided by applicant): This research will highlight two central factors inadequately addressed in our understanding of the pathway from political violence, specifically torture, to differential mental health outcomes. First, the affirmative appraisal of control, such as through religious and political meaning, is hypothesized to reduce posttraumatic psychiatric morbidity. Second, neuroendocrine activity, specifically low cortisol levels, is hypothesized to associate inversely with posttraumatic stress disorder (PTSD) symptoms among trauma survivors. This study is a prospective longitudinal investigation of torture survivors in Nepal followed over an eighteen month period. One hundred torture survivors and fifty control participants will be assessed for PTSD symptoms, appraisal of controllability, physical health, and salivary cortisol levels. Ultimately, this research has relevance to prevention and intervention for mental health sequelae for Americans affected by poltical violence, foreign-born Americans who have fled political violence, and populations with endemic political violence."
251,HHS,NSF,"DESCRIPTION (provided by applicant) The NS3 helicase is an essential constituent of the replication machinery from Hepatitis C Virus (HCV), which is a positive-strand RNA virus that represents a major threat to public health. NS3 is a multifunctional molecular motor that hydrolyzes nucleotide triphosphates during the unwinding of both DNA and RNA duplexes. It is a member of helicase superfamily 2 (SF2), and it belongs to the DExH/D subgroup of enzymes that are involved in all aspects of RNA metabolism, including pre-mRNA splicing, RNA interference, translation, RNA degradation, and in many forms of viral replication. Despite the ubiquity of the DExH/D enzymes, their fundamental importance for viability of higher organisms, and their role in numerous human pathogens, there have been few studies on the molecular mechanisms for RNA unwinding and ribonucleoprotein remodeling by this family of proteins. Little is known about their nucleic acid specificity, their mode of translocation, the mechanism of strand displacement, or the coupling between ATP hydrolysis and work expended during unwinding. To address these issues, we propose to use NS3 as a model system for exploring the behavior of DExH/D proteins. It is an excellent prototype for numerous reasons: (a). NS3 has been structurally characterized and it is a phylogenetically typical of DExH/D member, (b). It is part of a large ribonucleoprotein machine that contains cofactors that modulate its behavior (like most DExH/D proteins), (c). It has a robust unwinding reaction that has been investigated qualitatively, (d). Information about NS3 is likely to be critical for the development HCV management strategies. We propose a comprehensive program for the biophysical characterization of NS3 helicase activity. We will examine behavior of the isolated NS3 enzyme and its properties in complex with modulatory cofactors NS4A and NS5B. DNA unwinding by NS3 will also be explored, as the reaction is mechanistically distinct and it may provide important insights into metabolic strategies of the virus. Experiments will be carried out by applying new pre-steady state kinetic methods that monitor the unwinding of combinatorial substrate libraries. This approach, together with coupled ATPase assays, studies on chemically modified duplex substrates, time-resolved footprinting and single molecule methods will allow us to characterize the microscopic behavior of NS3 in a variety of macromolecular contexts. The results will fundamentally extend our knowledge of helicase mechanism and facilitate the development of new HCV inhibitors."
