,PROJECT_ID,ABSTRACT,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,PROJECT_START_DATE,PROJECT_END_DATE,FY,FY_TOTAL_COST
0,89996,"This is a project to explore Game-based, Metaphor Enhanced (GaME) design. GaME is a method for applying cognitive science metaphor theory toward the design of computer-mediated learning environments. The process uses structure mapping theory to design videogame worlds aligned with science concepts. This is a rigorous specification procedure for mapping relational structure from targeted concept to game world. GaME design translates a targeted concept into a game system, game play, and game goal. Because the relational structure of the game world is designed as an analog of the targeted conceptual domain, players begin to construct mental models of the targeted concept during interactive gameplay. This makes learning concrete and embodied. Gameplay experiences are designed to guide the learner to discover the relational structure of the targeted concept. This gameplay is a readiness activity for preparing the learner for subsequent instruction. The primary objective of the Cyber-Enabled Teaching and Learning through Game-based, Metaphor Enhanced Learning Objects (CyGaMEs) project is to empirically test this application of cognitive science theory. Aptly designed videogame worlds will provide common experience that prepares educators and their learners to achieve success. CyGaMEs employs cognitive science, informatic sciences, and analysis methodologies to enhance control over what games do: Engage learning through doing, discovery, and inquiry. While each player takes an idiosyncratic route, applied structure mapping theory ensures that gameplay exploration proceeds toward the learning goal.  Selene: A Lunar Creation GaME is the core of CyGaMEs research. This project will: (a) complete, refine and test existing Selene prototype, (b) collect GaME data representing perceptions and learning, (c) develop and refine new methods and metrics for assessing motivation, engagement, and achievement within instructional videogames, and (d) integrate GaME data collection and assessment within a cyber-enabled informatics infrastructure.",Achievement; analog; base; Cognitive Science; computer design; Conceptual Domain; Data; Data Collection; design; Educational process of instructing; Ensure; Environment; experience; Goals; Informatics; Instruction; Learning; Maps; Mediating; Metaphor; Methodology; Methods; Metric; Modeling; Motivation; Perception; Play; Procedures; Process; prototype; Psyche structure; Readiness; Research; Research Infrastructure; Route; Science; Structure; success; System; Testing; theories; Translating,"RUI: CYGAMES: CYBER-ENABLED TEACHING AND LEARNING THROUGH GAME-BASED, METAPHOR ENHANCED LEARNING OBJECTS",NSF,NSF,9/15/2008,8/31/2012,2008,1999467.0
1,89997,"Institution: Franklin Institute Science Museum PI: Snyder, Steve Project: ARIEL - Augmented Reality for Interpretive and Experiential Learning Proposal No.: DRL-0741659 PROJECT SUMMARY In partnership with the University of Pennsylvania's Graduate School of Education and Carnegie Mellon University's Entertainment Technology Center, the Franklin Institute Science Museum will develop, test, and pilot an exportable and replicable cyberlearning exhibit using two cutting edge technologies: Augmented Reality (AR) and Virtual Reality (VR). The exhibit's conceptualization is anchored in the learning research vision of the NSF-funded workshop Cyberinfrastructure for Education and Learning for the Future (Computing Research Association, 2005).  The incorporation of VR and AR technologies into the Franklin Institute's electricity and Earth science exhibits is an innovation of traditional approaches to hands-on learning and will improve the quality of the learning experience for the primary audience of families with children and elementary school groups. The project has implications for future exhibit development and more broadly, will provide new research on learning on how to incorporate cyberlearning efforts into traditional exhibits. Fifteen participating exhibit developers across the ISE field will assist in the evaluation of the new exhibit; receive training on the design and development of VR and AR exhibits for their institutions; and receive full access to the exhibit's new software for implementation at their informal learning sites.  The technology applications will be developed by Carnegie Mellon University's Entertainment Technology Center--leaders in the field in Virtual Reality design and development. Front-end and formative evaluation will be overseen internally by the Franklin Institute. The Institute for Learning Innovation will conduct the summative evaluation. Research will be conducted by the University of Pennsylvania's Graduate School of Education on the effects of AR and VR technologies on exhibit learning.",Active Learning; Child; Computer software; design; Development; Education; Educational workshop; Electricity; elementary school; Evaluation; Exhibits; experience; Family; Funding; Future; Hand; improved; innovation; Institutes; Institution; Learning; Museums; Pennsylvania; Research; Schools; Science; Site; Technology; Testing; Training; Universities; virtual reality; Vision,ARIEL - AUGMENTED REALITY FOR INTERPRETIVE AND EXPERIENTIAL LEARNING,NSF,NSF,9/15/2008,8/31/2012,2008,1799699.0
2,90002,"DRU: Integrated optimization of evacuation and sheltering for hurricanesPI: Rachel Davidson, University of Delaware (UD). Participating Institution: Cornell University.ABSTRACTThe goal of this project is to improve understanding of and decision support for evacuation and mass case sheltering in hurricanes. The task of moving tens or even hundreds of thousands of people from a wide geographic area in only a few days or hours under uncertain, dangerous conditions, getting them to safe locations, and keeping them safe until they can return home is an extraordinarily complicated process, and as Hurricane Katrina made abundantly clear, the stakes are high. Despite a lot of progress, recent events and unchecked population growth in hurricane-prone regions assure us that many challenges remain. The traditional, conservative approach of evacuating everyone thought to be at risk is no longer feasible in many areas in which there are simply too many people and too little transportation capacity. We propose a fundamentally new approach. In the past, math modeling in this application has been limited to estimating the time required to clear a region, assuming many characteristics of the problem are uncontrollable input (e.g., shelter locations). Instead, we will develop sophisticated optimization models with an expanded decision frame that focuses on higher-level objectives, such as minimizing life loss, cost, and inequity, and considers the full range of strategic and operational evacuation and sheltering strategies in meeting those objectives, including for example, vertical evacuation and strategically locating shelters. These models will be developed through a tight interaction between sociologists and engineers to ensure they are firmly grounded in the reality of people?s behavior. For the first time, the models will be based on individual hurricane scenarios instead of conservative aggregations of many events, and they will be dynamic, accounting for the fact that officials can update their decisions as an event unfolds and information about the situation changes. The project has 5 main steps: (1) determine a set of hurricane scenarios for use in evacuation and shelter models such that they appropriately represent the full range of possible events, but are few enough to allow detailed analysis with each; (2) conduct focus groups of key decisionmakers and stakeholders to identify and characterize appropriate decision objectives, constraints, assumptions, and possible evacuation and shelter management strategies; (3) using the focus group input, develop two mathematical optimization models?one long-term strategic and one short-term operational?for evacuation and sheltering decisions; (4) conduct surveys of affected citizens to ensure that the optimization model assumptions and results make sense; and (5) demonstrate the models through case studies in North Carolina and Florida. Any evacuation and sheltering planning effort is only as effective as its weakest link, so it requires a broad range of expertise from marine science, transportation engineering, risk modeling, optimization, and behavioral research collaborating closely. We have assembled this expertise on the project team.This project will help begin to transform the way hurricane evacuation and sheltering are conducted in the U.S., addressing many of the known limitations of the current approach. The new understanding and optimization models developed in this project will help local and state emergency managers better plan for hurricane evacuation and sheltering, thus reducing the deaths, injuries, and unnecessary expense associated with poorly planned or executed response in future hurricanes. By collaborating throughout the project with state and local emergency management departments and the American Red Cross, the key agencies in charge of hurricane evacuation and sheltering, we will ensure that study results are disseminated to practitioners as quickly and effectively as possible. Three graduate students will participate in all aspects of the research, each with at least two of the co-PIs on their committees to ensure tight integration. By providing a substantive example of truly interdisciplinary disaster research, the project will help facilitate the transformation of the well-known Disaster Research Center, historically based in sociology, into an interdisciplinary center. It will also help to launch the new interdisciplinary graduate program in Disaster Science and Management at the University of Delaware.",Accounting; Address; Affect; American; Area; base; Behavior; Behavioral Research; Caring; Case Study; Cessation of life; Characteristics; Charge; cost; Delaware; Disasters; Emergency Situation; Engineering; Ensure; Event; Florida; Focus Groups; Future; Geographic Locations; Goals; graduate student; Home environment; Hour; Hurricane; improved; Individual; Injury; Institution; Life; Link; Location; Marines; mathematical model; meetings; Modeling; North Carolina; novel strategies; Population Growth; Process; programs; Red Cross; Research; Research Project Grants; response; Risk; Science; Shelter facility; sociologist; Sociology; Surveys; Time; Transportation; Universities; Update,DRU: INTEGRATED OPTIMIZATION OF EVACUATION AND MASS CARE SHELTERING FOR HURRICANES,NSF,NSF,9/1/2008,8/31/2012,2008,757499.0
3,90003,"The Flora of China (FOC) is an international collaborative project, whose goal is to produce the first complete, English-language account of the approximately 31,500 species of Chinese vascular plants. FOC will result in the publication of 50 volumes, including detailed descriptions of all Chinese plants and illustrations of over 60% of them. All of these materials will be freely available for browsing and downloading via the FOC Web site.FOC is already having a major positive impact on the international scientific community. Upon completion, it will be of great importance to the future of plant science, biodiversity conservation, medicine, education, and horticulture. FOC is also enhancing the infrastructure for scientific research and education by promoting international collaborations among institutions in the United States, China, and Europe. FOC is coordinated by the Missouri Botanical Garden in partnership with ten other actively collaborating institutions. Every text in FOC is co-authored by at least one Chinese and at least one non-Chinese botanist, and the project involves the collaboration of at least 300 non-Chinese and 170 Chinese botanists worldwide. Of these, at least 100 botanists, including and graduate and undergraduate students, are from the United States.",Accounting; Biodiversity; Botanicals; China; Chinese People; Collaborations; Communities; Education; English Language; Europe; Future; Goals; Institution; International; Medicine; Missouri; Plants; Publications; Research; Research Infrastructure; Science; Students; Text; United States; Vascular Plant; web site,FLORA OF CHINA,NSF,NSF,9/15/2008,8/31/2009,2008,250000.0
4,90006,MAPPING / CHARACTERIZATION / AND ANALYSIS OF CHANNEL/VALLEY FEATURES ON TITAN- Elongate sinuous features interpreted as fluvial in origin have been identified on Titan in data from all three of Cassini''s imaging instruments - the Cassini Titan Radar Mapp,Data; Image; instrument; Maps; Radar; Titan,MAPPING / CHARACTERIZATION / AND ANALYSIS OF CHANNEL/VALLEY FEATURES ON TITAN- ELONGATE SINUOUS FEATURES INTERPRETED AS FLUVIAL IN ORIGIN HAVE BEEN IDENTIFIED ON TITAN IN DATA FROM ALL THREE OF CASSINI''''S IMAGING INSTRUMENTS - THE CASSINI TITAN RADAR MAPP,NASA,NASA,9/9/2008,9/8/2011,2008,197533.0
5,89995,"The proposed workshops will bring together a multi-disciplinary and international array of scholars studying contemporary issues of surveillance and society. In the modern era, issues of security command the attention of policymakers and the general public, both within the U.S. and beyond. Surveillance has become the key mechanism employed in both public and private sectors to contend with the uncertainty raised by threats of terrorism and other criminal activities. With the rise in surveillance apparatuses and security forces, however, public concerns have multiplied, not only about the cost and efficacy of such safeguards, but also about encroachments upon privacy, civil liberties, and public spaces. These tensions have not gone unnoticed by social scientists and humanities scholars studying surveillance.The objectives of these two three-day workshops are 1) to foster interdisciplinary dialogue on contemporary surveillance issues, 2) to map core areas of surveillance research to locate collaborative opportunities and existing research gaps, and 3) to facilitate graduate student training. The choice of participants will provide a balanced representation of both junior and senior scholars, disciplinary training, and international perspectives. The attendees at both workshops will be asked to address a common set of cross-cutting questions aimed at assessing and improving interdisciplinary knowledge on surveillance and society.",Address; Area; Attention; cost; Educational workshop; Equilibrium; Fostering; Freedom; General Population; graduate student; Humanities; improved; International; Knowledge; Maps; Multinational Perspectives; Participant; Privacy; Private Sector; Research; Scientist; Security; social; Societies; surveillance study; Terrorism; Training; Uncertainty,AOC: WORKSHOPS ON SURVEILLANCE AND SOCIETY,NSF,NSF,7/1/2008,8/31/2010,2008,56299.0
6,89993,"Amphibian populations around the world are experiencing declines and mass mortalities at an unprecedented rate. The fungal disease chytridiomycosis is a primary cause of this epidemic, and differential susceptibility among species occurring in similar environments suggests that genetics may determine how individuals respond to infection. Zamudio and Lips will combine field and laboratory studies to test whether variability in immunity genes of the major histocompatibility complex (MHC) confer differential survivorship to this emerging infectious disease, and how the disease itself alters the genetic and demographic composition of populations following an outbreak. The proposal focuses on frog populations in Central America where chytridiomycosis lethality is prevalent; however, their findings will be applicable to amphibian populations worldwide.This project will provide a better understanding of how emerging diseases shape adaptive molecular evolution, and how variability in immunity genes contribute to the response to novel disease threats. This research will quantify the molecular effects of this disease in ?real-time?, in addition to the genetic determinants of survivorship, resulting in useful epidemiological predictions for other populations or species that have yet to be exposed to the disease.",Amphibia; Central America; Communicable Diseases; Disease; Disease Outbreaks; Emerging Communicable Diseases; Environment; Epidemic; Epidemiology; Evolution; experience; Genes; Genetic; Genetic Determinism; Immunity; Individual; Infection; Laboratory Study; Lip structure; Major Histocompatibility Complex Gene; Molecular; Molecular Evolution; novel; Population; Predisposition; Research; response; Shapes; survivorship; Testing; Time,COLLABORATIVE RESEARCH: EVOLUTION OF AMPHIBIAN MHC GENES AFTER AN INFECTIOUS DISEASE OUTBREAK,NSF,NSF,10/1/2008,3/31/2009,2008,
7,89992,"ABSTRACT: The United States over the past two decades has seen an explosion of patent awards across a wide variety of technologies, and a dramatic increase in the volume of patent litigation between rivals. Numerous commentators have suggested that the proliferation of these awards, known as  patent thickets , has had socially detrimental consequences since overlapping intellectual property rights may make it difficult for inventors to commercialize new innovations. Patent pools, which can be defined as formal or informal organizations where for-profit firms share patent rights with each other and third parties, have been proposed as a way in which firms can address these  patent thicket  problems. Patent pools have been most plentiful and well established for decades in the information technology and communications industries. In the past few years, the biomedical research community has expressed increasing interest in patent pools as a potential solution for increasingly prevalent patent licensing issues in biotechnology-related fields. This project builds on the existing work on patent pools, trying to understand how the issues faced in the biomedical industries are similar and different to the issues in information technology and communication. The project combines empirical and theoretical research in this endeavor in an academically rigorous manner. The project is deepening our understanding of a crucial  knowledge-sharing organization , an institution, like a standard-setting organizations or open source project, where firms can strategically share knowledge. BROADER IMPACTS For scientists and others interested in innovation policy, this project advances understanding of how patent thicket problems can be addressed, and the strategies that are most likely to be effective (as well as more problematic approaches). The project leaders are ensuring that the findings of the study are diffused in a variety of outreach efforts, in order to insure that the ideas can have the most impact. This takes several forms. First, the project leaders are involving practitioners as well as life scientists in the academic conference that is being organized on this topic. As in earlier projects, the project leaders are participating in the public policy process, explaining their findings. Finally, the project leaders are disseminating the ideas more broadly through outreach to the popular press.",Address; Award; Biomedical Research; Biotechnology; Communication; Communities; Diffuse; Ensure; Explosion; Industry; Information Technology; innovation; Institution; Intellectual Property; interest; Knowledge; Legal patent; Licensing; Life; Litigation; open source; outreach; Policies; Process; Property Rights; Public Policy; Research; Rights; Scientist; Solutions; symposium; Technology; United States; Work,MOD AND DAT: PATENT POOLS AND BIOMEDICAL INNOVATION,NSF,NSF,10/1/2008,9/30/2011,2008,400000.0
8,90012,"This empirical study examines the variety of materials used and the myriad of teaching strategies employed by U.S. high school mathematics teachers in their effort to prepare students for later success in college calculus, a requirement for most STEM majors. Designed as a retrospective cohort study, we use 12,000 college calculus students' histories to predict performance while controlling for demographic differences. This study has the capability to both reveal the most promising educational practices in mathematics, including technological innovations, and to assess the degree of match between high school math and college calculus courses, both traditional and reform based.",base; Calculi; Cohort Studies; college; design; Educational process of instructing; high school; Mathematics; Performance; Recording of previous events; Students; success; teacher; technological innovation,FICSMATH (FACTORS INFLUENCING COLLEGE SUCCESS IN MATHEMATICS),NSF,NSF,10/1/2008,9/30/2011,2008,1099620.0
9,90015,"Several small-scale experimental studies in classrooms by Star and Rittle-Johnson demonstrate the value of comparison in mathematics learning: Students who learned by comparing and contrasting alternative solution methods made greater gains in conceptual knowledge, procedural knowledge, and flexibility than those who studied the same solution methods one at a time. This study will extend that prior work by developing, piloting, and then evaluating the impact of comparison on students' learning of mathematics in a full-year algebra course. Sixty Algebra I teachers will participate in a randomized controlled trial of the contrasting-examples instructional approach, using a delayed treatment design.",flexibility; Knowledge; Learning; Mathematics; Methods; Randomized Controlled Trials; research study; scale up; Solutions; Students; teacher; therapy design; Time; Work,HELPING TEACHERS TO USE AND STUDENTS TO LEARN FROM CONTRASTING EXAMPLES: A SCALE-UP STUDY IN ALGEBRA I,NSF,NSF,9/15/2008,8/31/2011,2008,1183142.0
