Census Information Center,URL,Status (Select one),Name(s),Notes
Arab American Institute Foundation,http://www.aaiusa.org/census,,,
Asian Americans Advancing Justice-Los Angeles,https://www.advancingjustice-la.org/,,,
Asian American Federation,http://www.aafederation.org/cic/,,,
Asian & Pacific Islander American Health Forum,http://www.apiahf.org/,,,
"ASIAN, Inc.",https://www.asianinc.org/census/,,,
"Asian Pacific American Community Development Data Center, University of California, Los Angeles (UCLA)",http://www.aasc.ucla.edu/cic/,,,
California Indian Manpower Consortium,http://www.cimcinc.org/,,,
Capital Area Council of Governments,http://www.capcog.org/,,,
"Children's Defense Fund, Inc",https://www.childrensdefense.org/,,,
Chinese American Voters Education Committee,https://csctulsa.org/census-center-of-eastern-ok/,,,
Community Service Council of Greater Tulsa,http://www.csctulsa.org/census-center-of-eastern-ok,,,
Dillard University,http://www.dillard.edu/,,,
First Alaskans Institute,http://www.firstalaskans.org/census-information-center/overview,,,
Florida A&M University Census Information Center,http://www.famu.edu/index.cfm?CensusInformationCenter,,,
"Goodwill Industries International, Incorporated",http://www.goodwill.org/,,,
Interdisciplinary Research Institute at the University of Puerto Rico in Cayey,http://www.upr.edu/iii-cayey/centro-informacion-censal,,,
Jackson State University-Mississippi Urban Research Center,http://www.jsums.edu/murc/divisions/research/,,,
"Julian Samora Research Institute-Michigan State University, Inter-University Program for Latino Research (IUPLR)",http://www.jsri.msu.edu/,,,
Korean American Coalition-Census Information Center,www.kacla.org,,,
Latin American Chamber of Commerce,http://www.laccusa.com/,,,
The Leadership Conference on Civil and Human Rights,http://www.civilrights.org/census,,,
"Louisiana State University in Shreveport, Center for Business and Economic Research",https://www.lsus.edu/offices-and-services/center-for-business-and-economic-research/census-information-center.html,,,
"Maryland Population Research Center, University of Maryland",http://www.popcenter.umd.edu/,,,
"Medgar Evers College, City University of New York, DuBois Bunche Center for Public Policy",http://www.mec.cuny.edu/,,,
Meharry CIC,http://www.mmc.edu/,,,
Metropolitan Center of Florida International University,metropolitan.fiu.edu,,,
National Association for the Advancement of Colored People (NAACP),http://www.naacp.org/,,,
National Asian Pacific Center on Aging (NAPCA),http://www.napca.org/,,,
National Congress of American Indians,http://www.ncai.org/,,,
National Urban League Policy Institute,https://nul.org/,,,
The Navajo Nation,https://www.nndcd.org/,,,
Norfolk State University Center for Applied Research and Public Policy,http://www.nsu.edu/,,,
Northeast Council of Governments,http://www.necog.org/census,,,
NC Counts Coalition,https://nccounts.org/,,,
Oakland Citizen's Committee for Urban Renewal (OCCUR),http://www.occurnow.org/,,,
OCA- Asian Pacific American Advocates,http://www.ocanational.org/,,,
Office of Hawaiian Affairs,http://www.oha.org/,,,
Piast Institute,http://www.piastinstitute.org/,,,
SER-Jobs for Progress National,http://www.ser-national.org/,,,
Sitting Bull College Census Information Center,sittingbull.edu/sitting-bull-college/students/library/,,,
Special Service for Groups Census Data & Geographic Information Services,http://www.ssg.org/,,,
Spelman College Census Information Center,https://www.spelman.edu/academics/majors-and-programs/sociology/census-information-center,,,
Unidos US (formerly NCLR),http://www.unidosus.org/,,,
United States Hispanic Leadership Institute,https://www.ushli.org/,,,
University of Texas Rio Grande Valley,https://www.utrgv.edu/,,,
Vanderbilt University,http://www.vanderbilt.edu/,,,
William C. Velasquez Institute,http://wcvi.org/,,,
