State Data Center,URL,Status (Select one),Name(s),Notes,,,,,,,,,,
Alabama,https://www.census.gov/about/partners/sdc/member-network/alabama.html,In Progress,Emily Molfino,Two links provided. Not looking at the Alabama Department of Economic and Community Affairs as it the coordinating agency for the state. Other link was bad: https://cber.culverhouse.ua.edu/alabama-state-data-center/,,,,,,,,,,
Alaska,https://www.census.gov/about/partners/sdc/member-network/alaska.html,,,,,,,,,,,,,
Arizona,https://www.census.gov/about/partners/sdc/member-network/arizona.html,,,,,,,,,,,,,
Arkansas,https://www.census.gov/about/partners/sdc/member-network/arkansas.html,,,,,,,,,,,,,
California,https://www.census.gov/about/partners/sdc/member-network/california.html,,,,,,,,,,,,,
Colorado,https://www.census.gov/about/partners/sdc/member-network/colorado.html,,,,,,,,,,,,,
Connecticut,https://www.census.gov/about/partners/sdc/member-network/connecticut.html,,,,,,,,,,,,,
Delaware,https://www.census.gov/about/partners/sdc/member-network/delaware.html,,,,,,,,,,,,,
District of Columbia,https://www.census.gov/about/partners/sdc/member-network/district-of-columbia.html,,,,,,,,,,,,,
Florida,https://www.census.gov/about/partners/sdc/member-network/florida.html,,,,,,,,,,,,,
Georgia,https://www.census.gov/about/partners/sdc/member-network/georgia.html,,,,,,,,,,,,,
Hawaii,https://www.census.gov/about/partners/sdc/member-network/hawaii.html,,,,,,,,,,,,,
Idaho,https://www.census.gov/about/partners/sdc/member-network/idaho.html,,,,,,,,,,,,,
Illinois,https://www.census.gov/about/partners/sdc/member-network/illinois.html,,,,,,,,,,,,,
Indiana,https://www.census.gov/about/partners/sdc/member-network/indiana.html,,,,,,,,,,,,,
Iowa,https://www.census.gov/about/partners/sdc/member-network/iowa.html,,,,,,,,,,,,,
Kansas,https://www.census.gov/about/partners/sdc/member-network/kansas.html,,,,,,,,,,,,,
Kentucky,https://www.census.gov/about/partners/sdc/member-network/kentucky.html,,,,,,,,,,,,,
Louisiana,https://www.census.gov/about/partners/sdc/member-network/louisiana.html,,,,,,,,,,,,,
Maine,https://www.census.gov/about/partners/sdc/member-network/maine.html,,,,,,,,,,,,,
Maryland,https://www.census.gov/about/partners/sdc/member-network/maryland.html,,,,,,,,,,,,,
Massachusetts,https://www.census.gov/about/partners/sdc/member-network/massachusetts.html,,,,,,,,,,,,,
