month,year,healthcare_etf,consumer_sentiment_index,dow_jones_adj_close,unemployment_rate
7,2023,285.61,,"35,520.12",
6,2023,280.14,64.4,"34,407.60",3.6
5,2023,269.14,59.2,"32,908.27",3.7
4,2023,281.21,63.5,"34,098.16",3.4
3,2023,273.09,62.0,"33,274.15",3.5
2,2023,267.16,67.0,"32,656.70",3.6
1,2023,279.82,64.9,"34,086.04",3.4
12,2022,283.77,59.7,"33,147.25",3.5
11,2022,289.66,56.8,"34,589.77",3.6
10,2022,276.05,59.9,"32,732.95",3.7
9,2022,252.56,58.6,"28,725.51",3.5
8,2022,261.08,58.2,"31,510.43",3.7
7,2022,278.0,51.5,"32,845.13",3.5
6,2022,268.83,50.0,"30,775.43",3.6
5,2022,275.98,58.4,"32,990.12",3.6
4,2022,273.12,65.2,"32,977.21",3.6
3,2022,288.3,59.4,"34,678.35",3.6
2,2022,274.31,62.8,"33,892.60",3.8
1,2022,277.15,67.2,"35,131.86",4.0
12,2021,300.18,70.6,"36,338.30",3.9
11,2021,278.97,67.4,"34,483.72",4.2
10,2021,289.18,71.7,"35,819.56",4.5
9,2021,276.08,72.8,"33,843.92",4.8
8,2021,292.74,70.3,"35,360.73",5.2
7,2021,285.65,81.2,"34,935.47",5.4
6,2021,273.17,85.5,"34,502.51",5.9
5,2021,266.29,82.9,"34,529.45",5.8
4,2021,263.08,88.3,"33,874.85",6.1
3,2021,252.1,84.9,"32,981.55",6.1
2,2021,246.32,76.8,"30,932.37",6.2
1,2021,251.14,79.0,"29,982.62",6.3
12,2020,245.77,80.7,"30,606.48",6.7
11,2020,237.78,76.9,"29,638.64",6.7
10,2020,219.66,81.8,"26,501.60",6.9
9,2020,227.4,80.4,"27,781.70",7.9
8,2020,232.15,74.1,"28,430.05",8.4
7,2020,227.04,72.5,"26,428.32",10.2
6,2020,215.63,78.1,"25,812.88",11.0
5,2020,220.98,72.3,"25,383.11",13.2
4,2020,212.48,71.8,"24,345.72",14.7
3,2020,187.63,89.1,"21,917.16",4.4
2,2020,196.68,101.0,"25,409.36",3.5
1,2020,210.06,99.8,"28,256.03",3.5
12,2019,215.73,99.3,"28,538.44",3.6
11,2019,209.46,96.8,"28,051.41",3.6
10,2019,198.2,95.5,"27,046.23",3.6
9,2019,189.02,93.2,"26,916.83",3.5
8,2019,191.01,89.8,"26,403.28",3.7
7,2019,192.6,98.4,"26,864.27",3.7
