day	month	year	nav_per_share	outstanding_shares
26	7	2023	285.61	11350000
25	7	2023	285.58	11350000
24	7	2023	285.62	11350000
21	7	2023	286.55	11350000
20	7	2023	283.64	11350000
19	7	2023	279.62	11350000
18	7	2023	278.45	11350000
17	7	2023	276.72	11350000
14	7	2023	278.03	11350000
13	7	2023	274.15	11350000
12	7	2023	274.01	11350000
11	7	2023	274.53	11400000
10	7	2023	274.56	11400000
7	7	2023	272.10	11450000
6	7	2023	275.16	11450000
5	7	2023	277.65	11450000
3	7	2023	277.81	11450000
30	6	2023	280.14	11450000
29	6	2023	277.23	11450000
28	6	2023	275.66	11500000
27	6	2023	276.40	11500000
26	6	2023	276.81	11450000
23	6	2023	278.57	11450000
22	6	2023	279.72	11450000
21	6	2023	277.95	11550000
20	6	2023	277.91	11550000
16	6	2023	278.42	11550000
15	6	2023	278.43	11550000
14	6	2023	274.28	11550000
13	6	2023	276.75	11550000
12	6	2023	275.23	11550000
9	6	2023	273.83	11550000
8	6	2023	273.51	11550000
7	6	2023	271.81	11550000
6	6	2023	273.60	11550000
5	6	2023	275.91	11500000
2	6	2023	274.94	11500000
1	6	2023	271.31	11500000
31	5	2023	269.14	11500000
30	5	2023	267.06	11500000
26	5	2023	268.78	11550000
25	5	2023	269.14	11550000
24	5	2023	271.99	11550000
23	5	2023	273.92	11550000
22	5	2023	277.15	11600000
19	5	2023	276.77	11600000
18	5	2023	275.49	11600000
17	5	2023	276.04	11600000
16	5	2023	275.79	11600000
15	5	2023	278.57	11600000
12	5	2023	278.76	11600000
11	5	2023	279.26	11600000
10	5	2023	280.06	11600000
9	5	2023	279.22	11600000
8	5	2023	281.29	11600000
5	5	2023	281.89	11600000
4	5	2023	279.36	11600000
3	5	2023	281.42	11600000
2	5	2023	281.28	11600000
1	5	2023	282.96	11600000
28	4	2023	281.21	11600000
27	4	2023	278.84	11600000
26	4	2023	277.52	11600000
25	4	2023	281.44	11600000
24	4	2023	284.57	11600000
21	4	2023	283.22	11650000
20	4	2023	281.16	11650000
19	4	2023	282.38	11650000
18	4	2023	281.30	11650000
17	4	2023	283.23	11650000
14	4	2023	283.57	11650000
13	4	2023	285.80	11650000
12	4	2023	282.16	11650000
11	4	2023	282.11	11650000
10	4	2023	281.15	11650000
6	4	2023	281.21	11650000
5	4	2023	280.21	11700000
4	4	2023	275.75	11650000
3	4	2023	275.66	11650000
31	3	2023	273.09	11650000
30	3	2023	269.84	11650000
29	3	2023	268.42	11650000
28	3	2023	267.71	11650000
27	3	2023	269.24	11650000
24	3	2023	268.10	11650000
23	3	2023	264.81	11650000
22	3	2023	265.80	11650000
21	3	2023	269.86	11600000
20	3	2023	268.22	11600000
17	3	2023	264.86	11600000
16	3	2023	268.44	11600000
15	3	2023	265.75	11600000
14	3	2023	266.24	11600000
13	3	2023	263.55	11600000
10	3	2023	260.80	11650000
9	3	2023	262.97	11650000
8	3	2023	265.67	11650000
7	3	2023	267.28	11650000
6	3	2023	271.41	11650000
3	3	2023	272.04	11650000
2	3	2023	268.67	11650000
1	3	2023	266.94	11650000
28	2	2023	267.16	11650000
27	2	2023	269.02	11650000
24	2	2023	269.65	11650000
23	2	2023	273.11	11650000
22	2	2023	272.43	11650000
21	2	2023	273.18	11650000
17	2	2023	277.27	11650000
16	2	2023	274.77	11700000
15	2	2023	277.41	11750000
14	2	2023	278.60	11750000
13	2	2023	279.99	11750000
10	2	2023	277.64	11750000
9	2	2023	275.27	11750000
8	2	2023	277.85	11750000
7	2	2023	279.12	11750000
6	2	2023	277.30	11750000
3	2	2023	279.12	11750000
2	2	2023	280.03	11750000
1	2	2023	281.48	11750000
31	1	2023	279.82	11750000
30	1	2023	276.22	11750000
27	1	2023	278.98	11750000
26	1	2023	280.70	11750000
25	1	2023	280.20	11750000
24	1	2023	280.10	11750000
23	1	2023	281.90	11800000
20	1	2023	280.97	11800000
19	1	2023	279.20	11800000
18	1	2023	278.57	11800000
17	1	2023	282.44	11800000
13	1	2023	283.85	11800000
12	1	2023	282.49	11800000
11	1	2023	283.22	11800000
10	1	2023	281.30	11800000
9	1	2023	278.75	11800000
6	1	2023	283.53	11800000
5	1	2023	281.23	11750000
4	1	2023	283.82	11750000
3	1	2023	282.74	11750000
30	12	2022	283.77	11750000
29	12	2022	284.57	11750000
28	12	2022	281.33	11750000
27	12	2022	283.07	11750000
23	12	2022	284.00	11750000
22	12	2022	284.07	11750000
21	12	2022	284.49	11800000
20	12	2022	280.69	11800000
19	12	2022	280.62	11800000
16	12	2022	281.90	11800000
15	12	2022	285.71	11800000
14	12	2022	291.09	11800000
13	12	2022	290.50	11750000
12	12	2022	290.09	11700000
9	12	2022	286.99	11700000
8	12	2022	290.71	11700000
7	12	2022	287.93	11800000
6	12	2022	285.66	11800000
5	12	2022	288.07	11800000
2	12	2022	291.26	11800000
1	12	2022	290.56	11800000
30	11	2022	289.66	11800000
29	11	2022	282.08	11800000
28	11	2022	282.85	11800000
25	11	2022	285.03	11750000
23	11	2022	283.39	11750000
22	11	2022	282.30	11750000
21	11	2022	279.97	11750000
18	11	2022	279.95	11750000
17	11	2022	276.75	11750000
16	11	2022	277.04	11750000
15	11	2022	277.61	11800000
14	11	2022	277.47	11800000
11	11	2022	277.63	11800000
10	11	2022	280.56	11800000
9	11	2022	272.69	11800000
8	11	2022	275.62	11700000
7	11	2022	274.25	11700000
4	11	2022	271.53	11700000
3	11	2022	270.18	11700000
2	11	2022	271.39	11700000
1	11	2022	276.29	11700000
31	10	2022	276.05	11700000
28	10	2022	276.27	11600000
27	10	2022	271.69	11600000
26	10	2022	273.47	11550000
25	10	2022	270.40	11550000
24	10	2022	267.72	11550000
21	10	2022	263.13	11550000
20	10	2022	257.72	11550000
19	10	2022	259.80	11550000
18	10	2022	263.90	11600000
17	10	2022	262.51	11600000
14	10	2022	257.81	11600000
13	10	2022	260.21	11600000
12	10	2022	254.55	11600000
11	10	2022	255.80	11600000
10	10	2022	254.39	11600000
7	10	2022	256.30	11600000
6	10	2022	261.54	11600000
5	10	2022	264.67	11600000
4	10	2022	263.89	11550000
3	10	2022	257.76	11550000
30	9	2022	252.56	11550000
29	9	2022	256.10	11600000
28	9	2022	258.45	11600000
27	9	2022	252.54	11550000
26	9	2022	252.89	11550000
23	9	2022	256.72	11550000
22	9	2022	258.14	11550000
21	9	2022	257.12	11750000
20	9	2022	261.72	11700000
19	9	2022	264.88	11700000
16	9	2022	266.47	11700000
15	9	2022	267.41	11700000
14	9	2022	266.01	11650000
13	9	2022	265.68	11650000
12	9	2022	274.88	11700000
9	9	2022	273.20	11650000
8	9	2022	270.60	11450000
7	9	2022	265.69	11450000
6	9	2022	261.05	11450000
2	9	2022	261.13	11500000
1	9	2022	265.03	11500000
31	8	2022	261.08	11800000
30	8	2022	262.71	11800000
29	8	2022	264.47	11800000
26	8	2022	266.58	11800000
25	8	2022	274.45	11800000
24	8	2022	271.45	11800000
23	8	2022	270.80	11800000
22	8	2022	274.43	11800000
19	8	2022	278.07	11800000
18	8	2022	277.68	11700000
17	8	2022	278.93	11700000
16	8	2022	280.85	11600000
15	8	2022	281.82	11250000
12	8	2022	280.46	11250000
11	8	2022	276.94	11250000
10	8	2022	279.16	11200000
9	8	2022	275.78	11200000
8	8	2022	277.31	11200000
5	8	2022	276.47	11200000
4	8	2022	276.48	11150000
3	8	2022	277.82	11150000
2	8	2022	275.26	11100000
1	8	2022	275.87	11050000
29	7	2022	278.00	11050000
28	7	2022	279.18	11100000
27	7	2022	277.52	11000000
26	7	2022	275.54	10850000
25	7	2022	274.17	10850000
22	7	2022	272.86	10850000
21	7	2022	274.26	10600000
20	7	2022	269.98	10600000
19	7	2022	272.46	10600000
18	7	2022	267.55	10600000
15	7	2022	273.50	10550000
14	7	2022	267.02	10550000
13	7	2022	267.97	10550000
12	7	2022	270.31	10550000
11	7	2022	274.01	10550000
8	7	2022	275.08	10550000
7	7	2022	274.53	10550000
6	7	2022	272.90	10550000
5	7	2022	271.32	10600000
1	7	2022	272.39	10600000
30	6	2022	268.83	10550000
29	6	2022	269.89	10550000
28	6	2022	267.66	10550000
27	6	2022	272.57	10550000
24	6	2022	271.61	10550000
23	6	2022	267.09	10550000
22	6	2022	260.81	10550000
21	6	2022	257.00	10500000
17	6	2022	250.55	10500000
16	6	2022	249.75	10500000
15	6	2022	253.75	10500000
14	6	2022	250.97	10500000
13	6	2022	253.43	10450000
10	6	2022	261.61	10450000
9	6	2022	266.24	10450000
8	6	2022	273.32	10450000
7	6	2022	275.13	10450000
6	6	2022	271.34	10450000
3	6	2022	271.53	10450000
2	6	2022	274.65	10450000
1	6	2022	272.00	10450000
31	5	2022	275.98	10400000
27	5	2022	280.13	10400000
26	5	2022	275.10	10400000
25	5	2022	273.81	10400000
24	5	2022	273.76	10400000
23	5	2022	273.46	10400000
20	5	2022	271.27	10400000
19	5	2022	267.98	10400000
18	5	2022	267.03	10400000
17	5	2022	274.11	10400000
16	5	2022	270.06	10400000
13	5	2022	268.31	10400000
12	5	2022	264.82	10400000
11	5	2022	261.87	10400000
10	5	2022	263.96	10350000
9	5	2022	262.81	10350000
6	5	2022	270.51	10300000
5	5	2022	272.17	10300000
4	5	2022	277.95	10300000
3	5	2022	272.30	10300000
2	5	2022	271.63	10350000
29	4	2022	273.12	10350000
28	4	2022	279.65	10350000
27	4	2022	276.27	10350000
26	4	2022	276.55	10350000
25	4	2022	282.43	10350000
22	4	2022	280.41	10350000
21	4	2022	290.88	10300000
20	4	2022	294.50	10300000
19	4	2022	291.00	10300000
18	4	2022	288.11	10300000
14	4	2022	291.85	10300000
13	4	2022	293.18	10300000
12	4	2022	291.40	10300000
11	4	2022	294.19	10350000
8	4	2022	300.15	10350000
7	4	2022	298.89	10300000
6	4	2022	293.64	10300000
5	4	2022	289.59	10300000
4	4	2022	289.36	10250000
1	4	2022	291.43	10250000
31	3	2022	288.30	10250000
30	3	2022	291.48	10250000
29	3	2022	290.86	10250000
28	3	2022	288.45	10300000
25	3	2022	286.25	10250000
24	3	2022	285.17	10250000
23	3	2022	282.64	10250000
22	3	2022	287.86	10250000
21	3	2022	287.50	10250000
18	3	2022	288.13	10250000
17	3	2022	285.89	10250000
16	3	2022	281.14	10250000
15	3	2022	277.07	10250000
14	3	2022	271.95	10250000
11	3	2022	270.63	10250000
10	3	2022	273.15	10250000
9	3	2022	273.46	10250000
8	3	2022	268.24	10250000
7	3	2022	273.64	10250000
4	3	2022	278.58	10300000
3	3	2022	277.62	10300000
2	3	2022	277.02	10300000
1	3	2022	273.07	10300000
28	2	2022	274.31	10400000
25	2	2022	276.13	10400000
24	2	2022	268.20	10400000
23	2	2022	266.15	10400000
22	2	2022	267.98	10400000
18	2	2022	268.66	10400000
17	2	2022	270.93	10400000
16	2	2022	275.74	10400000
15	2	2022	275.85	10450000
14	2	2022	272.28	10450000
11	2	2022	275.25	10450000
10	2	2022	278.84	10500000
9	2	2022	283.44	10500000
8	2	2022	280.17	10550000
7	2	2022	278.23	10550000
4	2	2022	278.62	10550000
3	2	2022	279.43	10550000
2	2	2022	281.17	10550000
1	2	2022	278.17	10550000
31	1	2022	277.15	10600000
28	1	2022	274.29	10650000
27	1	2022	268.27	10700000
26	1	2022	268.40	10700000
25	1	2022	269.97	10750000
24	1	2022	272.22	10800000
21	1	2022	272.99	11400000
20	1	2022	276.10	11350000
19	1	2022	277.57	11350000
18	1	2022	278.72	11350000
14	1	2022	283.20	11350000
13	1	2022	283.78	11300000
12	1	2022	288.74	11250000
11	1	2022	289.77	11250000
10	1	2022	287.56	11250000
7	1	2022	284.70	11250000
6	1	2022	286.43	11250000
5	1	2022	289.70	11250000
4	1	2022	292.86	11200000
3	1	2022	297.47	11100000
31	12	2021	300.18	11100000
30	12	2021	301.53	11050000
29	12	2021	300.84	11050000
28	12	2021	299.24	11050000
27	12	2021	300.30	11000000
23	12	2021	297.83	11000000
22	12	2021	296.67	10950000
21	12	2021	293.46	10950000
20	12	2021	291.77	10950000
17	12	2021	293.70	10950000
16	12	2021	294.86	10950000
15	12	2021	293.74	10950000
14	12	2021	287.45	10950000
13	12	2021	288.80	10950000
10	12	2021	286.81	10950000
9	12	2021	286.17	10900000
8	12	2021	286.59	10900000
7	12	2021	284.26	10900000
6	12	2021	280.06	10500000
3	12	2021	278.68	10500000
2	12	2021	278.83	10300000
1	12	2021	277.87	10300000
30	11	2021	278.97	10300000
29	11	2021	284.11	10300000
26	11	2021	283.57	10300000
24	11	2021	284.81	10300000
23	11	2021	284.62	10300000
22	11	2021	284.84	10300000
19	11	2021	286.29	10300000
18	11	2021	287.93	10300000
17	11	2021	288.41	10300000
16	11	2021	288.02	10350000
15	11	2021	286.79	10350000
12	11	2021	288.49	10350000
11	11	2021	287.25	10350000
10	11	2021	287.90	10350000
9	11	2021	287.76	10350000
8	11	2021	289.01	10350000
5	11	2021	287.51	10350000
4	11	2021	290.50	10350000
3	11	2021	292.29	10400000
2	11	2021	290.70	10400000
1	11	2021	289.18	10450000
29	10	2021	289.18	10450000
28	10	2021	286.62	10450000
27	10	2021	283.95	10450000
26	10	2021	286.47	10450000
25	10	2021	285.14	10450000
22	10	2021	284.89	10400000
21	10	2021	284.12	10400000
20	10	2021	282.75	10400000
19	10	2021	279.11	10400000
18	10	2021	275.40	10400000
15	10	2021	277.43	10400000
14	10	2021	276.34	10400000
13	10	2021	272.33	10400000
12	10	2021	271.97	10300000
11	10	2021	273.06	10300000
8	10	2021	275.21	10300000
7	10	2021	276.64	10450000
6	10	2021	273.26	10450000
5	10	2021	273.55	10500000
4	10	2021	271.99	10500000
1	10	2021	276.20	10550000
30	9	2021	276.08	10600000
29	9	2021	278.85	10600000
