"","EIN","FisYr","NAME","STATE","CAT","CONT"
"1",43398374,"2000","SISTERS OF PROVIDENCE HEALTH SYSTEM INC","MA","HE",17212
"2",60943948,"2000","KAISER FOUNDATION HEALTH PLAN OF CONNECTICUT INC","CA","HE",106596
"3",221997188,"2000","HOBOKEN VOLUNTEER AMBULANCE CORP","NJ","HE",88613
"4",222348396,"2000","NOTTINGHAM AMBULANCE SQUAD INC","NJ","HE",91312
"5",226049555,"2000","ALLOWAY TOWNSHIP AMBULANCE CORP","NJ","HE",27078
"6",233029272,"2000","","","HE",10000
"7",237122343,"2000","MIDDLETOWN TOWNSHIP FIRST AID AND RESCUE SQUAD","NJ","HE",103390
"8",237352425,"2000","COMMUNITY AMBULANCE SERVICE CLUB","PA","HE",25335
"9",237377513,"2000","HARRIS COUNTY MEDICAL SOCIETY ALLIANCE","TX","HE",6642
"10",251449036,"2000","ONCOLOGY NURSING SOCIETY GROUP","PA","HE",681770
"11",251767622,"2000","PENNSYLVANIA ONCOLOGY HEMATOLOGY MANAGERS SOCIETY","PA","HE",39160
"12",311092891,"2000","HARNESS HORSEMENS HEALTH AND RETIREMENT INC","OH","HE",423986
"13",330799737,"2000","APPLE TREE EARLY INTERVENTION CENTER","CA","HE",290
"14",363521727,"2000","MANAGED HEALTHCARE PROVIDERS ASSOCIATION","IL","HE",75
"15",431754347,"2000","CARDINAL GLENNON CHILDRENS HOSPITAL FOUNDATION","MO","HE",13032540
"16",521432269,"2000","REHAB INSTITUTE OF VA INC","VA","HE",42500
"17",540579473,"2000","NATIONAL CHICKEN COUNCIL INC","DC","HE",422000
"18",550307420,"2000","WEST VIRGINIA STATE MEDICAL ASSOCIATION","WV","HE",24088
"19",591709438,"2000","MERCY HOSPITAL FOUNDATION INC","FL","HE",567032
"20",616033800,"2000","KY STATE NURSERYMENS ASSOCIATION","KY","HE",46729
"21",943259510,"2000","","","HE",392370
"22",10211534,"2000","MERCY HOSPITAL","ME","HE",1011459
"23",10211783,"2000","CALAIS REGIONAL HOSPITAL","ME","HE",27237
"24",10211797,"2000","MOUNT DESERT ISLAND HOSPITAL","ME","HE",907825
"25",10212434,"2000","CAMDEN AREA DISTRICT NURSING ASSOCIATION","ME","HE",56413
"26",10263198,"2000","DOWN EAST COMMUNITY HOSPITAL","ME","HE",253336
"27",10271579,"2000","SOUTHWEST HARBOR-TREMONT NURSING SERVICE INC","ME","HE",137253
"28",10363873,"2000","NATIONAL RURAL HEALTH CARE ASSOCIATION","MO","HE",1744403
"29",10405035,"2000","OPERATION LIFTOFF OF MAINE INC","ME","HE",38999
"30",10408891,"2000","CREATIVE HEALTH FOUNDATION","ME","HE",58285
"31",10409788,"2000","COMMUNITY CLINICAL SERVICES INC","ME","HE",8133
"32",10442618,"2000","MAINE AIDS ALLIANCE","ME","HE",68983
"33",10450379,"2000","ARCHAEOLOGICAL RESEARCH FOUNDATION","OR","HE",18900
"34",10475435,"2000","FLYING CHANGES CENTER FOR THERAPUTIC RIDING INC","ME","HE",230834
"35",10524329,"2000","KENNEBEC VALLEY DENTAL COALITION INC","ME","HE",88375
"36",20222215,"2000","ST JOSEPH HOSPITAL","NH","HE",21541
"37",20222795,"2000","SOUHEGAN NURSING ASSOCIATION INC","NH","HE",87804
"38",20256443,"2000","STRAFFORD GUIDANCE CENTER INC","NH","HE",1123350
"39",20260334,"2000","WENTWORTH-DOUGLAS HOSPITAL","NH","HE",176219
"40",20276210,"2000","UPPER CONNECTICUT VALLEY HOSPITAL ASSOCIATION","NH","HE",64220
"41",20302005,"2000","RICHIE MCFARLAND CHILDRENS CENTER","NH","HE",360164
"42",20366006,"2000","FRIENDS OF NORRIS COTTON CANCER CENTER","NH","HE",38615
"43",20393952,"2000","CONCORD CRISIS PREGNANCY CENTER","NH","HE",81946
"44",20427682,"2000","HEALTH CIRCLE INC","NH","HE",120000
"45",20437814,"2000","NEW HAMPSHIRE AL-ANON ALTEEN AREA ASSEMBLY INC","NH","HE",5973
"46",20480684,"2000","NEW HAMPSHIRE MINORITY HEALTH COALITION","NH","HE",196454
"47",20489746,"2000","INTERNATIONAL MEDICINE EQUIPMENT CALLOBRATIVE OF AMERICA","NH","HE",2804649
"48",20491459,"2000","MANCHESTER DENTAL ALLIANCE","NH","HE",133662
"49",30197766,"2000","OTTAUQUECHEE HEALTH CENTER INC","VT","HE",31668
"50",30220328,"2000","WOODSTOCK LEARNING TRUST INC","VT","HE",36204
"51",30317469,"2000","WILSON HOUSE OF EAST DORSET","VT","HE",158992
"52",30322710,"2000","UPPER VALLEY AMBULANCE INC","VT","HE",153862
"53",30354382,"2000","CASTING FOR RECOVERY INC","VT","HE",91293
"54",30358782,"2000","PHILO CENTER FOR SENSORY-BASED EVALUATION AND TREATMENT INC","VT","HE",131950
"55",30359531,"2000","COMMUNITY HEALTH SERVICES OF ADDISON COUNTY","VT","HE",88165
"56",30361894,"2000","CENTRE FOR COMMUNITY CHANGE INTERNATIONAL","VT","HE",224020
"57",30363255,"2000","BRAIN INJURY ASSOCIATION OF VERMONT INC","VT","HE",23675
"58",42103609,"2000","DIMOCK COMMUNITY HEALTH CENTER","MA","HE",1803671
"59",42104321,"2000","SHERRILL HOUSE INC","MA","HE",361930
"60",42104452,"2000","EDGAR P BENJAMIN HEALTHCARE CENTER INC","MA","HE",29902
"61",42104780,"2000","NEWTON-WELLESLEY HOSPITAL AID ASSOCIATION INC","MA","HE",2155
"62",42104892,"2000","ST LUKES HOME FOR CONVALESCENTS CORP","MA","HE",7341
"63",42105800,"2000","VISITING NURSE ASSOCIATION OF BOSTON INC","MA","HE",751960
"64",42106302,"2000","ST JOSEPH NURSING CARE CENTER","MA","HE",8510
"65",42106768,"2000","JEWISH REHABILITATION CENTER FOR AGED OF THE NORTH SHORE INC","MA","HE",412781
"66",42106776,"2000","BOSTON EVENING CLINIC FOUNDATION","MA","HE",2250
"67",42119390,"2000","FALL RIVER JEWISH HOME FOR AGED INC","MA","HE",7304
"68",42121342,"2000","METROWEST HEALTH INC","MA","HE",50140
"69",42129139,"2000","NANTUCKET MARIA MITCHELL ASSOC","MA","HE",2346250
"70",42142337,"2000","ARMENIAN WOMENS WELFARE ASSOC INC","MA","HE",102116
"71",42178881,"2000","RECUPERATIVE CENTER ASSOCIATION","MA","HE",30000
"72",42199874,"2000","LOWELL ASSOCIATION FOR THE BLIND","MA","HE",34109
"73",42200583,"2000","CHELSEA JEWISH NURSING HOME INC","MA","HE",715949
"74",42210743,"2000","HENRY C NEVINS HOME FOR THE AGED & INCURABLE INC","MA","HE",30320
"75",42258467,"2000","STEPHEN CALDWELL MEMORIAL CONVALESCENT HOME INC","MA","HE",127674
"76",42310723,"2000","NORFOLK MENTAL HEALTH ASSOC","MA","HE",68257
"77",42443846,"2000","SOUTHERN BERKSHIRE VOLUNTEER AMBULA NCE SQUAD INC","MA","HE",213319
"78",42446420,"2000","ST CAMILLUS NURSING HOME INC","MA","HE",8946
"79",42501711,"2000","FARREN CARE CENTER INC","MA","HE",24620
"80",42510563,"2000","DYOUVILLE SENIOR CARE INC","MA","HE",19260
"81",42583057,"2000","PUBLIC RESPONSIBILITY IN MEDICINE AND RESEARCH","MA","HE",122756
"82",42603500,"2000","BRIGHAM SURGICAL GROUP FOUNDATION INC","MA","HE",298532
"83",42607205,"2000","EDGARTOWN VOLUNTEER AMBULANCE ASSOCIATION INC CHURCH ST","MA","HE",1000
"84",42613568,"2000","SCOTTY CHARITABLE TRUST","MA","HE",250
"85",42633260,"2000","FOUNDATIONS INC","MA","HE",164
"86",42661329,"2000","R O F E H INC","MA","HE",646978
"87",42667847,"2000","NEW ENGLAND SOCIETY OF ALLERGY INC","CT","HE",136250
"88",42673603,"2000","FRIENDS OF BOSTON FLOATING HOSPITAL INC","MA","HE",25418
"89",42676008,"2000","HENRY C NEVINS HOME INC","MA","HE",3505
"90",42727782,"2000","DEAF-BLIND CONTACT CENTER INC","MA","HE",1051
"91",42760083,"2000","GENESIS FUND INC","MA","HE",1791206
"92",42760120,"2000","NEW ENGLAND REGIONAL BLACK NURSES ASSOCIATION INC","MA","HE",415
"93",42764466,"2000","WILLOWDALE CENTER FOR PSYCHOLOGICAL SERVICES INC","MA","HE",203489
"94",42798119,"2000","BRIGHAM AND WOMENS HOSPITAL PATHOLOGY FOUNDATION INC","MA","HE",1e+05
"95",42800910,"2000","RESPONSIBLE HOSPITALITY INSTITUTE","CA","HE",208076
"96",42809766,"2000","VNA HOSPICE ALLIANCE INC","MA","HE",10358
"97",42855859,"2000","NATIONAL BIRTH DEFECTS CENTER INC","MA","HE",942125
"98",42880614,"2000","VISITING NURSES ASSOCIATION OF BOSTON FOUNDATION INC","MA","HE",133569
"99",42899564,"2000","NORTHEAST PHARMACEUTICAL CONFERENCE INC","NJ","HE",35000
"100",42977489,"2000","VETERANS OUTREACH CENTER METROWEST INCORPORATED","MA","HE",52758
"101",42980905,"2000","AMESBURY FOR AFRICA","MA","HE",32455
"102",43102043,"2000","CHILDHOOD CANCER RESEARCH INSTITUTE INC","MA","HE",105886
"103",43103930,"2000","V N A OF GREATER GARDNER INC","MA","HE",30786
"104",43105406,"2000","IMMUNOLOGY RESEARCH INSTITUTE OF NEW ENGLAND INC","MA","HE",38101
"105",43105485,"2000","MASSACHUSETTS D A R E OFFICERS ASSOCIATION INC","MA","HE",75959
"106",43133428,"2000","CENTER FOR HEALTH CARE NEGOTIATIONS INC","MA","HE",65000
"107",43148385,"2000","PRATT OB GYN ASSOCIATES INC","MA","HE",5977000
"108",43173106,"2000","MARK FORTI LEUKEMIA FUND INC","MA","HE",43435
"109",43175325,"2000","SHRIVER CLINICAL SERVICES CORPORATION","MA","HE",4596195
"110",43187133,"2000","INSTITUTE FOR CARDIOVASCULAR DISEASE AND MUSCLE RESEARCH INC","MA","HE",44873
"111",43192732,"2000","RESEARCH FOUNDATION FOR PREVENTION OF COMPLICATIONS ASSOCIATED WITH","MA","HE",268964
"112",43243864,"2000","BRAIN ANEURYSM FOUNDATION INCORPORATED","MA","HE",40471
"113",43247717,"2000","NHA PROPERTIES INC","MA","HE",798250
"114",43251060,"2000","CHILD & FAMILY SERVICE OF PIONEER VALLEY MANAGEMENT CO INC","MA","HE",788
"115",43259108,"2000","MASSACHUSETTS GOVERNORS COMMITTEE ON PHYSICAL FITNESS AND SPORTS INC","MA","HE",156925
"116",43267829,"2000","TREATMENT INFORMATION NETWORK INC","MA","HE",3839
"117",43278170,"2000","TISSUE ENGINEERING SOCIETY INC","MA","HE",30393
"118",43289152,"2000","INTERNATIONAL INSTITUTE FOR VISUALIZATION RESEARCH INC","NM","HE",28450
"119",43289926,"2000","TUFTS MANAGED CARE INSTITUTE INC","MA","HE",2438988
"120",43297939,"2000","FIGHT AGAINST SMOKING TEAM INC","MA","HE",99000
"121",43314346,"2000","ANGEL FLIGHT OF NEW ENGLAND INC","MA","HE",515381
"122",43315793,"2000","ADVOGUARD INC","MA","HE",827
"123",43316737,"2000","CRANBERRY RESEARCH FOUNDATION INC","MA","HE",12811
"124",43317592,"2000","ADDICTION REHABILITION SERVICES","MA","HE",49000
"125",43337456,"2000","WABANAKI MENTAL HEALTH ASSOCIATION NPC","ME","HE",369276
"126",43337507,"2000","GRACE DENTAL MISSION INC","MA","HE",32422
"127",43349104,"2000","COMMUNITY HEALTH ACCESS NETWORK","NH","HE",665176
"128",43366294,"2000","ARROWAY INC","VT","HE",15000
"129",43366707,"2000","NORTHEASTERN VERMONT AREA HEALTH EDUCATION CENTER INC","VT","HE",561681
"130",43366975,"2000","CONSUMERS FOR AFFORDABLE HEALTH CARE FOUNDATION","ME","HE",401792
"131",43377057,"2000","FALL RIVER JEWISH HOME INC","MA","HE",50962
"132",43378921,"2000","DVHC VOLUNTEERS INC","VT","HE",3525
"133",43382717,"2000","ALZHEIMER RESEARCH FORUM FOUNDATION","MA","HE",401061
"134",43383748,"2000","HEALTH ASSESSMENT LAB INC","MA","HE",88086
"135",43388735,"2000","EYE HOPES FOUNDATION INC","NH","HE",28444
"136",43398280,"2000","MERCY HOSPITAL INC","MA","HE",1098485
"137",43412257,"2000","RESEARCH NURSE ASSOCIATION INC","MA","HE",25000
"138",43452350,"2000","BOSTON HOPE INC","MA","HE",5000
"139",43456147,"2000","THE@GREATER BOSTON CHAPTER OF THE NATIONAL BLACK LEADERSHIP","MA","HE",57571
"140",43463946,"2000","CARDIAC ARREST SURVIVOR NETWORK INC","MA","HE",30095
"141",43478977,"2000","ANGEL FUND INC","MA","HE",250624
"142",43486458,"2000","HEALING HANDS FOR HAITI FOUNDATION INC","MA","HE",75522
"143",43504246,"2000","CHANDLER-GRANT GLAUCOMA SOCIETY INC","MA","HE",7771
"144",43505768,"2000","CARDIOVASCULAR RENAISSANCE INC","MA","HE",30000
"145",43507141,"2000","CONDUCTIVE EDUCATION FOUNDATION INC","MA","HE",17500
"146",43521436,"2000","JEANNIE LINDHEIMS HOSPITAL CLOWN TROUPE INC","MA","HE",43996
"147",43523087,"2000","SPECIAL FAMILIES-SPECIAL CARE INC","MA","HE",48000
"148",43543134,"2000","DOUG FLUTIE JR FOUNDATION FOR AUTISM INC","MA","HE",46284
"149",46009940,"2000","HOBART AMES FOUNDATION RICHARD HARTE JR & HENRY B CABOT JR TRUSTE","MA","HE",1816804
"150",46012762,"2000","ORCHARD HOME SCHOOL","MA","HE",95147
"151",46012765,"2000","EVERETT HOUSE","MA","HE",37879
"152",46040048,"2000","GROUP FOR THE ADVANCEMENT OF PSYCHIATRY INC","TX","HE",38128
"153",46064430,"2000","SPENCER RESCUE & EMERGENCY SQUAD INC 44 MAPLE ST","MA","HE",50448
"154",46088062,"2000","VARIETY CLUB OF NEW ENGLAND","MA","HE",49482
"155",46089219,"2000","HANOVER VISITING NURSE ASSOCIATION INC","MA","HE",34596
"156",46112873,"2000","NEW BEDFORD JEWISH CONVALESCENT HOME INC","MA","HE",102547
"157",46858172,"2000","CONCERT FOR THE CURE INC","MA","HE",103889
"158",50258880,"2000","STEERE HOUSE","RI","HE",429137
"159",50258915,"2000","VISITING NURSE SERVICE OF NEWPORT & BRISTOL COUNTIES","RI","HE",753078
"160",50258959,"2000","ROGER WILLIAMS HOSPITAL","RI","HE",6765829
"161",50398742,"2000","KENTCO PROPERTIES INC","RI","HE",138240
"162",50400340,"2000","IMPOSSIBLE DREAM INC","RI","HE",166813
"163",50446464,"2000","LANDMARK HEALTH FOUNDATION","RI","HE",116329
"164",50490274,"2000","NONPROFIT RESOURCES OF SOUTHERN NEW ENGLAND","RI","HE",8100
"165",56052574,"2000","RHODE ISLAND ASSOCIATION FOR CARDIAC CHILDREN","RI","HE",11708
"166",60646672,"2000","HEBREW HOME AND HOSPITAL INC","CT","HE",880640
"167",60658064,"2000","REGIONAL VISTITING NURSE AGENCY INC","CT","HE",3251
"168",60754955,"2000","KENT NURSING ASSOCIATION INC","CT","HE",26245
"169",60863942,"2000","COMMUNTIY HEALTH SERVICES INC","CT","HE",1694041
"170",60883112,"2000","GATEWAY COUNSELING SERVICE INC","CT","HE",59998
"171",60932661,"2000","WESTBROOK AMBULANCE ASSOCIATION INCORPORATED","CT","HE",47693
"172",60957252,"2000","BLOOMFIELD VOLUNTEER AMBULANCE FUND INC","CT","HE",32502
"173",60998368,"2000","FRANK J SCALLON FOUNDATION INC","CT","HE",2500
"174",61005698,"2000","AMERICAN COLLEG OF PHYSICIANS","CT","HE",9750
"175",61033274,"2000","CONTACT USA INC","CT","HE",151947
"176",61036715,"2000","FAMILY HEALTH CENTER OF ORANGE AND ULSTER COUNTIES INC","NY","HE",2950173
"177",61037583,"2000","SEXUAL ASSAULT CRISES CENTER","CT","HE",436984
"178",61063758,"2000","RONALD MCDONALD HOUSE OF CONNECTICUT INC","CT","HE",433889
"179",61064288,"2000","HEWITT FOUNDATION INC","CT","HE",155575
"180",61198545,"2000","TWELVE STEPS CLUB INC","CT","HE",3184
"181",61229965,"2000","MID FAIRFIELD AIDS PROJECT INC","CT","HE",464355
"182",61240040,"2000","SELF INC","CT","HE",1303624
"183",61285936,"2000","AFFIRMATION COUNSELING CENTER INC","CT","HE",38806
"184",61299239,"2000","INTERNATIONAL HEALTH AWARENESS NETWORK INC","NJ","HE",27000
"185",61309948,"2000","THIS CLOSE FOR CANCER RESEARCH","CT","HE",37709
"186",61310204,"2000","HEBREW HOME & HOSPITAL FOUNDATION INC","CT","HE",175000
"187",61330480,"2000","WASHINGTON VOLUNTEER FIRE DEPARTMENT INC","CT","HE",66790
"188",61357699,"2000","REGIONAL YOUTH ADULT SUBSTANCE ABUSE PROGRAM INC","CT","HE",1303201
"189",61362765,"2000","LIONS LOW VISION CENTER OF EASTERN CONNECTICUT INC","CT","HE",35796
"190",61370576,"2000","ST FRANCIS CENTER AT THE KNOLLS INC","NY","HE",7449
"191",61378705,"2000","STAMFORD COMMUNITY HEALTH CENTER INC","CT","HE",649746
