,EIN,NCCSKEY,FISYR,NAME,STATE,NTEE1,ADDRESS,CITY,ZIP,SUBSECCD,NTMAJ5,NTMAJ10,NTMAJ12,MAJGRPB,CONT
3,10130427,10130427201806.0,2018,BRIDGTON HOSPITAL,ME,E,10 HOSPITAL DR,BRIDGTON,04009-1148,3,HE,HE,EH,EH,115727.0
15,10198331,10198331201809.0,2018,MAINE COAST REGIONAL HEALTH FACILITIES,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,871604.0
17,10199596,10199596201809.0,2018,WOMENS BOARD OF THE MAINE MEDICAL CENTER,ME,E,22 BRAMHALL ST,PORTLAND,04102-3134,3,HE,HE,HE,E,160.0
30,10211494,10211494201806.0,2018,CENTRAL MAINE MEDICAL CENTER,ME,E,PO BOX 4500,LEWISTON,04243-4500,3,HE,HE,EH,EH,2930789.0
33,10211501,10211501201809.0,2018,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,10800445.0
41,10211517,10211517201804.0,2018,CEDARS NURSING CARE CENTER INC,ME,E,630 OCEAN AVE,PORTLAND,04103-2704,3,HE,HE,HE,E,0.0
45,10211534,10211534201809.0,2018,MERCY HOSPITAL,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,1288571.0
50,10211546,10211546201812.0,2018,COMMUNITY HEALTH & NURSING SERVICES,ME,E,60 BARIBEAU DR,BRUNSWICK,04011-3218,3,HE,HE,HE,E,66189.0
51,10211548,10211548201806.0,2018,REDINGTON MEMORIAL HOSPITAL ASSOCIATION,ME,E,PO BOX 468,SKOWHEGAN,04976-0468,3,HE,HE,HE,E,0.0
52,10211551,10211551201812.0,2018,ST MARYS REGIONAL MEDICAL CENTER,ME,E,PO BOX 291,LEWISTON,04243-0291,3,HE,HE,EH,EH,1469384.0
60,10211783,10211783201812.0,2018,CALAIS REGIONAL HOSPITAL,ME,E,24 HOSPITAL LN,CALAIS,04619-1329,3,HE,HE,EH,EH,85108.0
63,10211797,10211797201804.0,2018,MOUNT DESERT ISLAND HOSPITAL,ME,E,PO BOX 8,BAR HARBOR,04609-0008,3,HE,HE,EH,EH,1129709.0
64,10211798,10211798201812.0,2018,MOUNT DESERT NURSING ASSOCIATION,ME,E,PO BOX 397,NE HARBOR,04662-0397,3,HE,HE,HE,E,402521.0
70,10212434,10212434201806.0,2018,CAMDEN AREA DISTRICT NURSING ASSOCIATION,ME,E,PO BOX 547,CAMDEN,04843-0547,3,HE,HE,HE,E,126275.0
71,10212435,10212435201812.0,2018,ST JOSEPH HOSPITAL,ME,E,PO BOX 403,BANGOR,04402-0403,3,HE,HE,EH,EH,15497.0
74,10212444,10212444201812.0,2018,YORK HOSPITAL,ME,E,15 HOSPITAL DRIVE 2C,YORK,03909-1011,3,HE,HE,EH,EH,700797.0
79,10213361,10213361201906.0,2019,ROCKLAND DISTRICT NURSING ASSN INC,ME,E,PO BOX 1713,ROCKLAND,04841-1713,3,HE,HE,HE,E,115737.0
80,10213976,10213976201809.0,2018,QUARRY HILL,ME,E,PO BOX 287,BELFAST,04915-0287,3,HE,HE,HE,E,22342.0
81,10213979,10213979201812.0,2018,EASTPORT MEMORIAL HOSPITAL,ME,E,23 BOYNTON ST,EASTPORT,04631-1304,3,HE,HE,HE,E,2020.0
84,10215227,10215227201806.0,2018,RUMFORD HOSPITAL,ME,E,420 FRANKLIN ST,RUMFORD,04276-2104,3,HE,HE,EH,EH,59811.0
