individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
5003,2001,1448.0,41.0,0.0,38.0,1.0,2.0,5.0,1.0,2.0,1.0,8.0,1.0,1.0,50.0,500.0,79200.0,104000.0,154000.0,22.22,1999,77.67436974789916,776.7436974789915,123036.20168067227,239237.05882352943
6006,2001,6438.0,26.0,1.0,46.0,1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,250.0,5000.0,168000.0,632500.0,782500.0,21.894,1999,388.37184873949576,7767.436974789916,260985.88235294117,1215603.8865546216
6170,2001,263.0,12.0,1.0,56.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,90200.0,19400.0,48400.0,26.424,1999,0.0,0.0,140124.56302521008,75188.78991596638
7004,2001,3198.0,34.0,0.0,45.0,2.0,0.0,7.0,4.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,26338.0,500.0,7500.0,60.096,1999,0.0,0.0,40915.751008403364,11651.155462184874
7035,2001,3327.0,34.0,0.0,24.0,1.0,0.0,7.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,19716.0,0.0,0.0,14.282,1999,0.0,0.0,30628.5574789916,0.0
10003,2001,256.0,32.0,0.0,57.0,2.0,0.0,10.0,4.0,4.0,2.0,8.0,1.0,5.0,0.0,450.0,14868.0,-4700.0,45300.0,8.28,1999,0.0,699.0693277310925,23097.250588235293,70372.97899159664
10006,2001,257.0,32.0,0.0,37.0,2.0,3.0,10.0,5.0,2.0,2.0,8.0,5.0,0.0,0.0,0.0,16271.0,800.0,800.0,4.358,1999,0.0,0.0,25276.793403361342,1242.7899159663866
10007,2001,1922.0,32.0,0.0,35.0,1.0,0.0,10.0,2.0,2.0,2.0,8.0,5.0,0.0,0.0,0.0,26000.0,1800.0,1800.0,7.805,1999,0.0,0.0,40390.67226890756,2796.27731092437
10021,2001,42.0,19.0,8.0,54.0,1.0,0.0,10.0,4.0,3.0,2.0,8.0,1.0,5.0,0.0,250.0,19000.0,56700.0,56700.0,8.869,1999,0.0,388.37184873949576,29516.26050420168,88082.73529411765
14004,2001,260.0,4.0,0.0,37.0,1.0,2.0,14.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,750.0,62000.0,12000.0,28500.0,28.527,1999,0.0,1165.1155462184872,96316.21848739494,44274.39075630252
14173,2001,190.0,4.0,0.0,39.0,1.0,2.0,14.0,1.0,1.0,1.0,99.0,1.0,1.0,50.0,750.0,73000.0,126500.0,231500.0,27.685,1999,77.67436974789916,1165.1155462184872,113404.57983193277,359632.33193277306
18003,2001,3258.0,27.0,2.0,44.0,1.0,0.0,18.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,43000.0,1400.0,1400.0,26.332,1999,0.0,0.0,66799.95798319328,2174.882352941176
18004,2001,2799.0,4.0,1.0,47.0,1.0,1.0,18.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,2400.0,86500.0,310000.0,610000.0,22.666,1999,0.0,3728.3697478991594,134376.65966386555,947627.3109243697
18005,2001,2335.0,4.0,0.0,48.0,1.0,0.0,18.0,4.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,37000.0,35000.0,35000.0,52.562,1999,0.0,0.0,57479.03361344538,54372.05882352941
18021,2001,3310.0,4.0,1.0,54.0,1.0,3.0,18.0,1.0,2.0,1.0,8.0,1.0,1.0,500.0,3500.0,46500.0,25000.0,175000.0,14.024,1999,776.7436974789915,5437.2058823529405,72237.16386554622,271860.29411764705
22004,2001,6769.0,9.0,1.0,36.0,1.0,2.0,22.0,1.0,1.0,2.0,8.0,5.0,0.0,0.0,0.0,55000.0,3200.0,3200.0,2.19,1999,0.0,0.0,85441.80672268907,4971.1596638655465
22173,2001,6376.0,9.0,0.0,36.0,2.0,1.0,22.0,4.0,2.0,2.0,8.0,5.0,0.0,0.0,0.0,33000.0,3000.0,13000.0,0.896,1999,0.0,0.0,51265.08403361345,20195.33613445378
23003,2001,161.0,4.0,0.0,50.0,2.0,0.0,23.0,4.0,2.0,1.0,0.0,1.0,1.0,400.0,6850.0,85728.0,4400.0,63400.0,52.579,1999,621.3949579831933,10641.388655462184,133177.36739495798,98491.10084033613
23031,2001,6289.0,4.0,0.0,30.0,1.0,0.0,23.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,12500.0,5000.0,5000.0,26.967,1999,0.0,0.0,19418.592436974788,7767.436974789916
37001,2001,545.0,15.0,0.0,54.0,1.0,0.0,37.0,1.0,4.0,1.0,8.0,1.0,5.0,0.0,560.0,59750.0,43800.0,143800.0,37.4,1999,0.0,869.9529411764705,92820.8718487395,223391.48739495798
39003,2001,3820.0,14.0,0.0,34.0,2.0,0.0,39.0,4.0,2.0,1.0,8.0,1.0,1.0,50.0,1100.0,51000.0,-20000.0,-1000.0,48.692,1999,77.67436974789916,1708.8361344537814,79227.85714285713,-1553.487394957983
39171,2001,2436.0,15.0,0.0,29.0,1.0,0.0,39.0,2.0,1.0,4.0,99.0,1.0,5.0,0.0,0.0,260000.0,219500.0,329500.0,58.126,1999,0.0,0.0,403906.7226890756,511874.09663865546
40003,2001,7181.0,14.0,0.0,41.0,1.0,1.0,40.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,310.0,85000.0,-4000.0,43000.0,23.669,1999,0.0,481.58109243697476,132046.42857142858,66799.95798319328
40005,2001,6930.0,45.0,1.0,39.0,2.0,1.0,40.0,5.0,4.0,1.0,1.0,1.0,5.0,0.0,350.0,84600.0,-1500.0,500.0,17.298,1999,0.0,543.720588235294,131425.03361344538,776.7436974789915
40181,2001,6959.0,14.0,6.0,24.0,1.0,0.0,40.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,650.0,40000.0,126800.0,136800.0,12.797,1999,0.0,1009.7668067226891,62139.49579831933,212517.0756302521
41191,2001,228.0,16.0,0.0,46.0,1.0,0.0,41.0,1.0,5.0,1.0,8.0,5.0,0.0,0.0,0.0,7056.0,4130.0,16130.0,16.027,1999,0.0,0.0,10961.407058823528,25057.751680672267
45173,2001,1505.0,41.0,0.0,45.0,1.0,0.0,45.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,400.0,25284.0,2850.0,32850.0,20.176,1999,0.0,621.3949579831933,39278.37529411764,51032.06092436975
47001,2001,655.0,33.0,0.0,65.0,1.0,0.0,47.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,5220.0,40300.0,22000.0,82000.0,50.345,1999,0.0,8109.204201680672,62605.54201680672,127385.96638655463
47005,2001,4003.0,5.0,0.0,36.0,1.0,0.0,47.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,2400.0,170153.0,364200.0,450200.0,55.143,1999,0.0,3728.3697478991594,264330.5407142857,699380.0252100839
47174,2001,4285.0,33.0,0.0,33.0,1.0,3.0,47.0,1.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,52000.0,-14000.0,-2000.0,33.833,1999,0.0,0.0,80781.34453781512,-3106.974789915966
47176,2001,2576.0,33.0,1.0,31.0,1.0,2.0,47.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,51515.0,-2100.0,4900.0,28.61,1999,0.0,0.0,80027.9031512605,7612.088235294117
50004,2001,3341.0,12.0,0.0,37.0,1.0,2.0,50.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,47320.0,30500.0,64500.0,11.83,1999,0.0,0.0,73511.02352941176,100199.9369747899
50170,2001,3800.0,4.0,0.0,41.0,1.0,2.0,50.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,750.0,115100.0,471000.0,711000.0,22.133,1999,0.0,1165.1155462184872,178806.39915966385,1104529.537815126
51001,2001,4364.0,12.0,0.0,59.0,1.0,0.0,51.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,300.0,41000.0,10020.0,16020.0,44.661,1999,0.0,466.0462184873949,63692.983193277316,24886.86806722689
51171,2001,4716.0,12.0,1.0,33.0,1.0,3.0,51.0,1.0,2.0,1.0,97.0,5.0,0.0,0.0,0.0,53000.0,19600.0,21600.0,25.732,1999,0.0,0.0,82334.8319327731,33555.32773109244
53003,2001,1516.0,23.0,1.0,43.0,1.0,0.0,53.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,550.0,60960.0,1400.0,16400.0,14.161,1999,0.0,854.4180672268907,94700.59159663865,25477.193277310922
53007,2001,2024.0,3.0,0.0,40.0,1.0,0.0,53.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,300.0,32001.0,14080.0,14080.0,20.833,1999,0.0,466.0462184873949,49713.15012605042,21873.102521008404
53008,2001,6424.0,5.0,0.0,39.0,1.0,0.0,53.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,600.0,47996.0,8000.0,45600.0,21.252,1999,0.0,932.0924369747898,74561.18100840336,70839.02521008403
