individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
5003,2001,1448.0,41.0,0.0,38.0,1.0,2.0,5.0,1.0,2.0,1.0,8.0,1.0,1.0,50.0,500.0,79200.0,104000.0,154000.0,22.22,2000,75.14837398373984,751.4837398373984,119035.02439024391,231456.9918699187
6006,2001,6438.0,26.0,1.0,46.0,1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,250.0,5000.0,168000.0,632500.0,782500.0,21.894,2000,375.7418699186992,7514.837398373984,252498.53658536586,1176072.0528455283
6170,2001,263.0,12.0,1.0,56.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,90200.0,19400.0,48400.0,26.424,2000,0.0,0.0,135567.66666666666,72743.62601626015
7004,2001,3198.0,34.0,0.0,45.0,2.0,0.0,7.0,4.0,3.0,1.0,8.0,5.0,5.0,0.0,0.0,26338.0,500.0,7500.0,60.096,2000,0.0,0.0,39585.157479674795,11272.256097560976
7035,2001,3327.0,34.0,0.0,24.0,1.0,0.0,7.0,1.0,4.0,1.0,0.0,5.0,5.0,0.0,0.0,19716.0,0.0,0.0,14.282,2000,0.0,0.0,29632.506829268295,0.0
10003,2001,256.0,32.0,0.0,57.0,2.0,0.0,10.0,4.0,4.0,2.0,8.0,1.0,5.0,0.0,450.0,14868.0,-4700.0,45300.0,8.28,2000,0.0,676.3353658536586,22346.120487804877,68084.4268292683
10006,2001,257.0,32.0,0.0,37.0,2.0,3.0,10.0,5.0,2.0,2.0,8.0,5.0,5.0,0.0,0.0,16271.0,800.0,800.0,4.358,2000,0.0,0.0,24454.783861788615,1202.3739837398375
10007,2001,1922.0,32.0,0.0,35.0,1.0,0.0,10.0,2.0,2.0,2.0,8.0,5.0,5.0,0.0,0.0,26000.0,1800.0,1800.0,7.805,2000,0.0,0.0,39077.154471544716,2705.3414634146343
10021,2001,42.0,19.0,8.0,54.0,1.0,0.0,10.0,4.0,3.0,2.0,8.0,1.0,5.0,0.0,250.0,19000.0,56700.0,56700.0,8.869,2000,0.0,375.7418699186992,28556.38211382114,85218.25609756098
14004,2001,260.0,4.0,0.0,37.0,1.0,2.0,14.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,750.0,62000.0,12000.0,28500.0,28.527,2000,0.0,1127.2256097560974,93183.9837398374,42834.5731707317
14173,2001,190.0,4.0,0.0,39.0,1.0,2.0,14.0,1.0,1.0,1.0,99.0,1.0,1.0,50.0,750.0,73000.0,126500.0,231500.0,27.685,2000,75.14837398373984,1127.2256097560974,109716.62601626017,347936.9715447154
18003,2001,3258.0,27.0,2.0,44.0,1.0,0.0,18.0,4.0,2.0,1.0,8.0,5.0,5.0,0.0,0.0,43000.0,1400.0,1400.0,26.332,2000,0.0,0.0,64627.601626016265,2104.1544715447153
18004,2001,2799.0,4.0,1.0,47.0,1.0,1.0,18.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,2400.0,86500.0,310000.0,610000.0,22.666,2000,0.0,3607.121951219512,130006.68699186992,916810.1626016261
18005,2001,2335.0,4.0,0.0,48.0,1.0,0.0,18.0,4.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,37000.0,35000.0,35000.0,52.562,2000,0.0,0.0,55609.796747967484,52603.86178861789
18021,2001,3310.0,4.0,1.0,54.0,1.0,3.0,18.0,1.0,2.0,1.0,8.0,1.0,1.0,500.0,3500.0,46500.0,25000.0,175000.0,14.024,2000,751.4837398373984,5260.386178861789,69887.98780487804,263019.3089430894
22004,2001,6769.0,9.0,1.0,36.0,1.0,2.0,22.0,1.0,1.0,2.0,8.0,5.0,5.0,0.0,0.0,55000.0,3200.0,3200.0,2.19,2000,0.0,0.0,82663.21138211382,4809.49593495935
22173,2001,6376.0,9.0,0.0,36.0,2.0,1.0,22.0,4.0,2.0,2.0,8.0,5.0,5.0,0.0,0.0,33000.0,3000.0,13000.0,0.896,2000,0.0,0.0,49597.9268292683,19538.577235772358
23003,2001,161.0,4.0,0.0,50.0,2.0,0.0,23.0,4.0,2.0,1.0,0.0,1.0,1.0,400.0,6850.0,85728.0,4400.0,63400.0,52.579,2000,601.1869918699188,10295.327235772358,128846.39609756098,95288.13821138212
23031,2001,6289.0,4.0,0.0,30.0,1.0,0.0,23.0,2.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,12500.0,5000.0,5000.0,26.967,2000,0.0,0.0,18787.093495934958,7514.837398373984
37001,2001,545.0,15.0,0.0,54.0,1.0,0.0,37.0,1.0,4.0,1.0,8.0,1.0,5.0,0.0,560.0,59750.0,43800.0,143800.0,37.4,2000,0.0,841.661788617886,89802.3069105691,216126.72357723577
39003,2001,3820.0,14.0,0.0,34.0,2.0,0.0,39.0,4.0,2.0,1.0,8.0,1.0,1.0,50.0,1100.0,51000.0,-20000.0,-1000.0,48.692,2000,75.14837398373984,1653.2642276422764,76651.34146341463,-1502.9674796747968
39171,2001,2436.0,15.0,0.0,29.0,1.0,0.0,39.0,2.0,1.0,4.0,99.0,1.0,5.0,0.0,0.0,260000.0,219500.0,329500.0,58.126,2000,0.0,0.0,390771.5447154472,495227.7845528456
40003,2001,7181.0,14.0,0.0,41.0,1.0,1.0,40.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,310.0,85000.0,-4000.0,43000.0,23.669,2000,0.0,465.91991869918695,127752.23577235773,64627.601626016265
