amt_of_cultural_donations,amt_of_community_donations,amt_of_env_donations,amt_of_other_donations,total_family_income,wealth_wo_equity,wealth_with_equity,weight,sequence_number,relation_to_rp,year,family_interview_id,psid_state_of_residence_code,family_composition_change,1968_family_identifier,age,sex,number_of_children_in_fu,marital_status,health_status,race,religion,amt_of_religious_donations,amt_of_combo_donations,amt_of_needy_donations,wtr_donated_to_health_org,amt_of_health_donations,amt_of_edu_donations,amt_of_youth_donations,amt_of_cultural_donations,amt_of_env_donations,mcovid1_wtr_donate_to_help_re_pandemic,mcovid2_wtr_pandemic_donations_crowdfund,mcovid3_largest_crowdfund_donation_to,mcovid4_dollar_amt_pandemic_donations,amt_of_other_donations,total_family_income,wealth_wo_equity,wealth_with_equity,weight,sequence_number,relation_to_rp,year,individual_id,wtr_donated-2021
0.0,0.0,0.0,0.0,11028.0,1200.0,1200.0,35.912,1,10,2019,7137.0,15.0,6.0,4.0,50.0,1.0,1.0,1.0,2.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,51560.0,2000.0,2000.0,23.045,81,10,2021,4006,5
0.0,0.0,0.0,0.0,9380.0,0.0,0.0,23.899,1,10,2019,3944.0,41.0,0.0,4.0,47.0,2.0,0.0,5.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9528.0,0.0,0.0,30.877,1,10,2021,4031,5
0.0,0.0,0.0,0.0,31000.0,14000.0,14000.0,14.996,1,10,2019,6326.0,41.0,1.0,4.0,31.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,231000.0,7500.0,7500.0,14.996,1,10,2021,4039,5
0.0,0.0,0.0,0.0,65000.0,0.0,20000.0,14.723,2,22,2019,7060.0,41.0,0.0,4.0,28.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,35344.0,0.0,30000.0,14.723,2,22,2021,4041,5
0.0,0.0,0.0,0.0,9380.0,0.0,0.0,23.899,51,30,2019,7535.0,41.0,5.0,4.0,25.0,1.0,3.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,64800.0,32000.0,32000.0,2.82,1,10,2021,4042,5
0.0,0.0,0.0,0.0,72200.0,15200.0,15200.0,13.458,3,33,2019,3753.0,41.0,3.0,4.0,37.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,21020.0,-17000.0,113765.0,13.423,2,30,2021,4044,5
0.0,0.0,0.0,0.0,72200.0,15200.0,15200.0,13.458,4,33,2019,3753.0,41.0,3.0,4.0,37.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,21020.0,-17000.0,113765.0,13.423,3,30,2021,4048,5
0.0,0.0,0.0,0.0,124600.0,52600.0,287600.0,7.866,3,60,2019,4719.0,41.0,1.0,4.0,68.0,1.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,264000.0,5000.0,280000.0,6.293,3,60,2021,4049,5
0.0,0.0,0.0,0.0,124600.0,52600.0,287600.0,7.866,4,60,2019,4719.0,41.0,1.0,4.0,68.0,1.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,264000.0,5000.0,280000.0,6.293,4,60,2021,4050,5
0.0,0.0,0.0,0.0,72200.0,15200.0,15200.0,13.458,5,30,2019,3753.0,41.0,3.0,4.0,37.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,21020.0,-17000.0,113765.0,13.423,4,30,2021,4051,5
