family_interview_id-2001,psid_state_of_residence_code-2001,family_composition_change-2001,age-2001,sex-2001,number_of_children_in_fu-2001,1968_family_identifier-2001,marital_status-2001,health_status-2001,race-2001,religion-2001,wtr_donated-2001,wtr_donated_to_health_org-2001,amt_of_health_donations-2001,total_family_income-2001,wealth_wo_equity-2001,wealth_with_equity-2001,sequence_number-2001,relation_to_rp-2001,year-2001,family_interview_id-2003,psid_state_of_residence_code-2003,family_composition_change-2003,1968_family_identifier-2003,age-2003,sex-2003,number_of_children_in_fu-2003,marital_status-2003,health_status-2003,race-2003,religion-2003,wtr_donated-2003,wtr_donated_to_health_org-2003,amt_of_health_donations-2003,total_family_income-2003,wealth_wo_equity-2003,wealth_with_equity-2003,sequence_number-2003,relation_to_rp-2003,year-2003,family_interview_id-2005,psid_state_of_residence_code-2005,family_composition_change-2005,1968_family_identifier-2005,age-2005,sex-2005,number_of_children_in_fu-2005,marital_status-2005,health_status-2005,race-2005,religion-2005,wtr_donated-2005,wtr_donated_to_health_org-2005,amt_of_health_donations-2005,total_family_income-2005,wealth_wo_equity-2005,wealth_with_equity-2005,sequence_number-2005,relation_to_rp-2005,year-2005,family_interview_id-2007,psid_state_of_residence_code-2007,family_composition_change-2007,1968_family_identifier-2007,age-2007,sex-2007,number_of_children_in_fu-2007,marital_status-2007,health_status-2007,race-2007,religion-2007,wtr_donated-2007,wtr_donated_to_health_org-2007,amt_of_health_donations-2007,total_family_income-2007,wealth_wo_equity-2007,wealth_with_equity-2007,sequence_number-2007,relation_to_rp-2007,year-2007,family_interview_id-2009,psid_state_of_residence_code-2009,family_composition_change-2009,1968_family_identifier-2009,age-2009,sex-2009,number_of_children_in_fu-2009,marital_status-2009,health_status-2009,race-2009,religion-2009,wtr_donated-2009,wtr_donated_to_health_org-2009,amt_of_health_donations-2009,total_family_income-2009,wealth_wo_equity-2009,wealth_with_equity-2009,sequence_number-2009,relation_to_rp-2009,year-2009,family_interview_id-2011,psid_state_of_residence_code-2011,family_composition_change-2011,1968_family_identifier-2011,age-2011,sex-2011,number_of_children_in_fu-2011,marital_status-2011,health_status-2011,race-2011,religion-2011,wtr_donated-2011,wtr_donated_to_health_org-2011,amt_of_health_donations-2011,total_family_income-2011,wealth_wo_equity-2011,wealth_with_equity-2011,sequence_number-2011,relation_to_rp-2011,year-2011,family_interview_id-2013,psid_state_of_residence_code-2013,family_composition_change-2013,1968_family_identifier-2013,age-2013,sex-2013,number_of_children_in_fu-2013,marital_status-2013,health_status-2013,race-2013,religion-2013,wtr_donated-2013,wtr_donated_to_health_org-2013,amt_of_health_donations-2013,total_family_income-2013,wealth_wo_equity-2013,wealth_with_equity-2013,sequence_number-2013,relation_to_rp-2013,year-2013,family_interview_id-2015,psid_state_of_residence_code-2015,family_composition_change-2015,1968_family_identifier-2015,age-2015,sex-2015,number_of_children_in_fu-2015,marital_status-2015,health_status-2015,race-2015,religion-2015,wtr_donated-2015,wtr_donated_to_health_org-2015,amt_of_health_donations-2015,total_family_income-2015,wealth_wo_equity-2015,wealth_with_equity-2015,sequence_number-2015,relation_to_rp-2015,year-2015,family_interview_id-2017,psid_state_of_residence_code-2017,family_composition_change-2017,1968_family_identifier-2017,age-2017,sex-2017,number_of_children_in_fu-2017,marital_status-2017,health_status-2017,race-2017,religion-2017,wtr_donated-2017,wtr_donated_to_health_org-2017,amt_of_health_donations-2017,total_family_income-2017,wealth_wo_equity-2017,wealth_with_equity-2017,sequence_number-2017,relation_to_rp-2017,year-2017,family_interview_id-2019,psid_state_of_residence_code-2019,family_composition_change-2019,1968_family_identifier-2019,age-2019,sex-2019,number_of_children_in_fu-2019,marital_status-2019,health_status-2019,race-2019,religion-2019,wtr_donated-2019,wtr_donated_to_health_org-2019,amt_of_health_donations-2019,total_family_income-2019,wealth_wo_equity-2019,wealth_with_equity-2019,sequence_number-2019,relation_to_rp-2019,year-2019,individual_id
1448.0,41.0,0.0,38.0,1.0,2.0,5.0,1.0,2.0,1.0,8.0,1.0,1.0,50.0,79200.0,104000.0,154000.0,1,10,2001,4965.0,41.0,0.0,5.0,41.0,1.0,0.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,63500.0,86000.0,104000.0,1,10,2003,624.0,41.0,1.0,5.0,42.0,1.0,0.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,44000.0,57000.0,129000.0,1,10,2005,5570.0,41.0,1.0,5.0,45.0,1.0,0.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,34600.0,50000.0,132000.0,1,10,2007,163.0,41.0,0.0,5.0,46.0,1.0,0.0,1.0,3.0,1.0,8.0,1.0,1.0,25.0,43000.0,107000.0,239000.0,1,10,2009,5882.0,41.0,1.0,5.0,49.0,1.0,0.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,84300.0,91000.0,211700.0,1,10,2011,7139.0,41.0,0.0,5.0,51.0,1.0,0.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,77513.0,77000.0,252000.0,1,10,2013,1616.0,41.0,0.0,5.0,52.0,1.0,0.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,89363.0,60000.0,185000.0,1,10,2015,8276.0,41.0,0.0,5.0,55.0,1.0,0.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,91000.0,283000.0,483000.0,1,10,2017,9326.0,41.0,1.0,5.0,57.0,1.0,0.0,1.0,2.0,1.0,15.0,1.0,5.0,0.0,67000.0,124000.0,324000.0,1,10,2019,5003
6438.0,26.0,1.0,46.0,1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,250.0,168000.0,632500.0,782500.0,1,10,2001,1838.0,26.0,1.0,6.0,48.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,250.0,118800.0,935000.0,1043000.0,1,10,2003,1202.0,26.0,0.0,6.0,50.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,50.0,199186.0,1281000.0,1321000.0,1,10,2005,997.0,26.0,0.0,6.0,52.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,168000.0,296500.0,371500.0,1,10,2007,539.0,26.0,0.0,6.0,54.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,200.0,135500.0,1000000.0,1085000.0,1,10,2009,3622.0,26.0,0.0,6.0,56.0,1.0,0.0,1.0,2.0,1.0,8.0,1.0,1.0,250.0,124600.0,902000.0,1054000.0,1,10,2011,1195.0,24.0,0.0,6.0,58.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,210375.0,1225000.0,1290000.0,1,10,2013,3220.0,24.0,0.0,6.0,60.0,1.0,0.0,1.0,2.0,1.0,8.0,1.0,1.0,500.0,261331.0,4435000.0,4660000.0,1,10,2015,4043.0,24.0,0.0,6.0,62.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,250800.0,2567000.0,2767000.0,1,10,2017,6444.0,24.0,0.0,6.0,64.0,1.0,0.0,1.0,2.0,1.0,9.0,1.0,5.0,0.0,243000.0,2550000.0,2700000.0,1,10,2019,6006
263.0,12.0,1.0,56.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,90200.0,19400.0,48400.0,1,10,2001,1890.0,12.0,1.0,6.0,58.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,49506.0,34000.0,68000.0,1,10,2003,3444.0,12.0,0.0,6.0,60.0,1.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,46400.0,12500.0,43500.0,1,10,2005,4264.0,12.0,0.0,6.0,62.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,44405.0,10000.0,50000.0,1,10,2007,4485.0,12.0,1.0,6.0,64.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,150.0,61602.0,-8000.0,35000.0,1,10,2009,4773.0,12.0,1.0,6.0,66.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,100.0,67572.0,-12500.0,48000.0,1,10,2011,2662.0,12.0,0.0,6.0,68.0,1.0,0.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,66676.0,2000.0,29500.0,1,10,2013,3130.0,12.0,0.0,6.0,70.0,1.0,0.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,49994.0,2000.0,55000.0,1,10,2015,4056.0,12.0,0.0,6.0,72.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,100.0,60012.0,59600.0,178600.0,1,10,2017,4882.0,12.0,0.0,6.0,74.0,1.0,0.0,1.0,4.0,1.0,10.0,5.0,0.0,0.0,29100.0,40000.0,155000.0,1,10,2019,6170
3133.0,34.0,1.0,47.0,1.0,0.0,7.0,1.0,5.0,1.0,8.0,1.0,5.0,0.0,25000.0,570.0,570.0,1,10,2001,6234.0,34.0,0.0,7.0,49.0,1.0,0.0,1.0,5.0,1.0,8.0,1.0,5.0,0.0,7792.0,2320.0,2320.0,1,10,2003,345.0,34.0,0.0,7.0,50.0,1.0,0.0,1.0,5.0,1.0,8.0,5.0,0.0,0.0,42420.0,25150.0,25150.0,1,10,2005,178.0,34.0,0.0,7.0,52.0,1.0,0.0,1.0,5.0,1.0,8.0,1.0,5.0,0.0,42173.0,20150.0,20150.0,1,10,2007,412.0,34.0,0.0,7.0,54.0,1.0,0.0,1.0,5.0,1.0,8.0,5.0,0.0,0.0,41200.0,2110.0,2110.0,1,10,2009,550.0,34.0,0.0,7.0,56.0,1.0,0.0,1.0,5.0,1.0,8.0,1.0,5.0,0.0,45689.0,38710.0,38710.0,1,10,2011,6441.0,34.0,2.0,7.0,59.0,1.0,0.0,5.0,5.0,1.0,8.0,5.0,0.0,0.0,13044.0,0.0,0.0,1,10,2013,48.0,34.0,0.0,7.0,60.0,1.0,0.0,5.0,5.0,1.0,8.0,5.0,0.0,0.0,9918.0,605.0,605.0,1,10,2015,3802.0,34.0,1.0,7.0,62.0,1.0,0.0,5.0,5.0,1.0,8.0,5.0,0.0,0.0,8832.0,500.0,500.0,1,10,2017,4054.0,34.0,0.0,7.0,64.0,1.0,0.0,5.0,5.0,1.0,1.0,5.0,0.0,0.0,7596.0,7020.0,7020.0,1,10,2019,7003
3198.0,34.0,0.0,45.0,2.0,0.0,7.0,4.0,3.0,1.0,8.0,5.0,0.0,0.0,26338.0,500.0,7500.0,1,10,2001,4853.0,34.0,1.0,7.0,48.0,2.0,0.0,4.0,4.0,1.0,8.0,5.0,0.0,0.0,12900.0,300.0,300.0,1,10,2003,825.0,34.0,0.0,7.0,49.0,2.0,0.0,4.0,3.0,1.0,8.0,5.0,0.0,0.0,13000.0,1500.0,1500.0,1,10,2005,534.0,34.0,0.0,7.0,51.0,2.0,0.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,13000.0,1500.0,1500.0,1,10,2007,470.0,34.0,0.0,7.0,53.0,2.0,0.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,30000.0,500.0,500.0,1,10,2009,499.0,34.0,0.0,7.0,55.0,2.0,0.0,4.0,1.0,1.0,8.0,5.0,0.0,0.0,30000.0,500.0,500.0,1,10,2011,2820.0,34.0,1.0,7.0,57.0,2.0,0.0,4.0,3.0,1.0,8.0,5.0,0.0,0.0,30000.0,1500.0,1500.0,1,10,2013,2000.0,34.0,1.0,7.0,59.0,2.0,0.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,30000.0,700.0,700.0,1,10,2015,4360.0,34.0,1.0,7.0,61.0,2.0,0.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,12000.0,0.0,0.0,1,10,2017,4037.0,34.0,1.0,7.0,63.0,2.0,0.0,4.0,3.0,1.0,20.0,5.0,0.0,0.0,23928.0,0.0,0.0,1,10,2019,7004
3327.0,34.0,0.0,24.0,1.0,0.0,7.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,19716.0,0.0,0.0,1,10,2001,6217.0,34.0,0.0,7.0,27.0,1.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,23470.0,-19300.0,-19300.0,1,10,2003,154.0,34.0,0.0,7.0,28.0,1.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,26500.0,0.0,0.0,1,10,2005,211.0,34.0,0.0,7.0,30.0,1.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,38660.0,2700.0,2700.0,1,10,2007,395.0,34.0,0.0,7.0,32.0,1.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,23650.0,-2999.0,-2999.0,1,10,2009,379.0,34.0,0.0,7.0,34.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,28000.0,-35500.0,-35500.0,1,10,2011,4775.0,34.0,1.0,7.0,36.0,1.0,0.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,44630.0,108365.0,108365.0,1,10,2013,4593.0,34.0,1.0,7.0,38.0,1.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,30182.0,-95650.0,-95650.0,1,10,2015,4348.0,34.0,0.0,7.0,40.0,1.0,0.0,1.0,5.0,1.0,0.0,5.0,0.0,0.0,5200.0,-31600.0,-31600.0,1,10,2017,3985.0,34.0,0.0,7.0,42.0,1.0,0.0,1.0,4.0,1.0,15.0,5.0,0.0,0.0,9452.0,-33800.0,-33800.0,1,10,2019,7035
4671.0,34.0,0.0,31.0,1.0,0.0,7.0,1.0,4.0,1.0,8.0,5.0,0.0,0.0,31200.0,0.0,0.0,1,10,2001,6465.0,34.0,1.0,7.0,33.0,1.0,1.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,15480.0,0.0,0.0,1,10,2003,1056.0,34.0,0.0,7.0,35.0,1.0,1.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,10226.0,0.0,0.0,1,10,2005,170.0,34.0,0.0,7.0,37.0,1.0,1.0,1.0,4.0,1.0,8.0,5.0,0.0,0.0,34000.0,0.0,0.0,1,10,2007,589.0,34.0,0.0,7.0,39.0,1.0,1.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,52446.0,20.0,20.0,1,10,2009,532.0,34.0,0.0,7.0,41.0,1.0,1.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,38613.0,1200.0,1200.0,1,10,2011,3387.0,34.0,0.0,7.0,43.0,1.0,1.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,16640.0,4000.0,4000.0,1,10,2013,6213.0,34.0,0.0,7.0,45.0,1.0,1.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,23400.0,0.0,0.0,1,10,2015,4769.0,34.0,0.0,7.0,47.0,1.0,1.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,17000.0,300.0,300.0,1,10,2017,4044.0,34.0,0.0,7.0,49.0,1.0,1.0,1.0,4.0,1.0,6.0,5.0,0.0,0.0,7200.0,900.0,900.0,1,10,2019,7184
256.0,32.0,0.0,57.0,2.0,0.0,10.0,4.0,4.0,2.0,8.0,1.0,5.0,0.0,14868.0,-4700.0,45300.0,1,10,2001,5672.0,32.0,0.0,10.0,59.0,2.0,0.0,4.0,4.0,2.0,8.0,1.0,5.0,0.0,7772.0,10550.0,55550.0,1,10,2003,181.0,32.0,0.0,10.0,61.0,2.0,0.0,4.0,3.0,2.0,8.0,1.0,5.0,0.0,12140.0,40025.0,85025.0,1,10,2005,5963.0,32.0,0.0,10.0,63.0,2.0,0.0,4.0,2.0,2.0,8.0,1.0,5.0,0.0,23232.0,40000.0,66000.0,1,10,2007,2007.0,32.0,0.0,10.0,65.0,2.0,0.0,4.0,3.0,2.0,8.0,1.0,5.0,0.0,13641.0,-10000.0,10000.0,1,10,2009,2486.0,32.0,0.0,10.0,67.0,2.0,0.0,4.0,3.0,2.0,8.0,5.0,0.0,0.0,17068.0,29600.0,89600.0,1,10,2011,866.0,32.0,0.0,10.0,69.0,2.0,0.0,4.0,3.0,2.0,8.0,1.0,1.0,20.0,14428.0,4100.0,48900.0,1,10,2013,698.0,32.0,0.0,10.0,71.0,2.0,0.0,4.0,3.0,2.0,8.0,5.0,0.0,0.0,14964.0,25200.0,85200.0,1,10,2015,1119.0,32.0,0.0,10.0,73.0,2.0,0.0,4.0,3.0,2.0,8.0,5.0,0.0,0.0,19000.0,13700.0,93700.0,1,10,2017,2935.0,32.0,0.0,10.0,75.0,2.0,0.0,4.0,3.0,2.0,6.0,5.0,0.0,0.0,24788.0,11900.0,211900.0,1,10,2019,10003
257.0,32.0,0.0,37.0,2.0,3.0,10.0,5.0,2.0,2.0,8.0,5.0,0.0,0.0,16271.0,800.0,800.0,1,10,2001,2507.0,32.0,0.0,10.0,39.0,2.0,3.0,5.0,2.0,2.0,8.0,1.0,5.0,0.0,12932.0,2700.0,2700.0,1,10,2003,523.0,32.0,0.0,10.0,41.0,2.0,3.0,5.0,2.0,2.0,8.0,5.0,0.0,0.0,6570.0,3020.0,3020.0,1,10,2005,6742.0,32.0,0.0,10.0,43.0,2.0,2.0,5.0,3.0,2.0,8.0,1.0,5.0,0.0,30860.0,2300.0,2300.0,1,10,2007,3276.0,32.0,0.0,10.0,45.0,2.0,1.0,5.0,2.0,2.0,8.0,1.0,5.0,0.0,36400.0,5000.0,5000.0,1,10,2009,8551.0,32.0,1.0,10.0,47.0,2.0,1.0,5.0,2.0,2.0,8.0,5.0,0.0,0.0,31645.0,-13000.0,-13000.0,1,10,2011,7473.0,32.0,0.0,10.0,49.0,2.0,1.0,5.0,2.0,2.0,8.0,5.0,0.0,0.0,35640.0,7000.0,7000.0,1,10,2013,6871.0,32.0,1.0,10.0,51.0,2.0,1.0,4.0,2.0,2.0,8.0,5.0,0.0,0.0,50000.0,2000.0,2000.0,1,10,2015,1458.0,32.0,0.0,10.0,53.0,2.0,1.0,4.0,2.0,2.0,8.0,5.0,0.0,0.0,39000.0,-6000.0,-6000.0,1,10,2017,3135.0,32.0,1.0,10.0,55.0,2.0,0.0,4.0,3.0,2.0,6.0,5.0,0.0,0.0,30000.0,-5000.0,-5000.0,1,10,2019,10006
1922.0,32.0,0.0,35.0,1.0,0.0,10.0,2.0,2.0,2.0,8.0,5.0,0.0,0.0,26000.0,1800.0,1800.0,1,10,2001,1087.0,32.0,0.0,10.0,37.0,1.0,0.0,2.0,2.0,2.0,8.0,1.0,5.0,0.0,27000.0,-1000.0,-1000.0,1,10,2003,4930.0,32.0,0.0,10.0,39.0,1.0,0.0,2.0,2.0,2.0,8.0,5.0,0.0,0.0,25000.0,2000.0,2000.0,1,10,2005,6917.0,32.0,0.0,10.0,41.0,1.0,0.0,2.0,3.0,2.0,8.0,1.0,5.0,0.0,26300.0,5700.0,5700.0,1,10,2007,2239.0,32.0,0.0,10.0,43.0,1.0,0.0,2.0,3.0,2.0,8.0,1.0,5.0,0.0,24000.0,3700.0,3700.0,1,10,2009,2506.0,32.0,0.0,10.0,45.0,1.0,0.0,2.0,1.0,2.0,8.0,5.0,0.0,0.0,25272.0,0.0,0.0,1,10,2011,2351.0,32.0,0.0,10.0,47.0,1.0,0.0,2.0,2.0,2.0,8.0,5.0,0.0,0.0,22100.0,2000.0,2000.0,1,10,2013,1443.0,32.0,0.0,10.0,49.0,1.0,0.0,2.0,3.0,2.0,8.0,5.0,0.0,0.0,4200.0,2000.0,2000.0,1,10,2015,1478.0,32.0,0.0,10.0,51.0,1.0,0.0,2.0,4.0,2.0,8.0,1.0,5.0,0.0,16700.0,3400.0,3400.0,1,10,2017,2994.0,32.0,0.0,10.0,53.0,1.0,0.0,2.0,5.0,2.0,6.0,5.0,0.0,0.0,2200.0,2000.0,2000.0,1,10,2019,10007
