"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"28","Mississippi",1342058,12760,102894,6069,7.66688175920862
"29","Missouri",3063755,16108,149445,6444,4.87783781666615
"30","Montana",532234,5079,25373,2311,4.76726402296734
"31","Nebraska",1031217,6916,37751,3408,3.66082017654868
"32","Nevada",1480100,9986,98389,5478,6.64745625295588
"33","New Hampshire",749509,6907,26942,2926,3.59461994452368
"34","New Jersey",4702590,21131,282998,8298,6.01791778573084
"35","New Mexico",961252,9346,71339,5029,7.42146700344967
"36","New York",10125624,23786,599965,14757,5.92521507810284
"37","North Carolina",5032174,19158,309063,9458,6.14173913700122
"38","North Dakota",425792,4250,11782,1894,2.767078761461
"39","Ohio",5884933,21667,332095,10111,5.64313986242494
"40","Oklahoma",1868680,10970,110892,6032,5.93424235289081
"41","Oregon",2061002,13029,117641,6563,5.70795176326855
"42","Pennsylvania",6477105,22981,373872,10663,5.77220841718638
"44","Rhode Island",558273,6541,33014,2940,5.91359424510947
"45","South Carolina",2411334,15529,149213,7050,6.18798557147206
"46","South Dakota",457331,5265,17838,1806,3.90045721807619
"47","Tennessee",3221750,15879,176743,7489,5.48593155893536
"48","Texas",13777044,36791,760247,15892,5.51821566367938
"50","Vermont",338584,4286,13267,1842,3.91837771424521
"49","Utah",1520790,10067,61917,4117,4.07137080070227
"51","Virginia",4447142,17288,218154,8946,4.9054876142925
"53","Washington",3741765,18093,200134,7451,5.34865230713313
"54","West Virginia",802136,8616,60791,4180,7.57864003111692
"55","Wisconsin",3091906,12331,125970,5164,4.07418595520045
"56","Wyoming",306974,4633,17000,1977,5.53792829360141
"72","Puerto Rico",1256664,11328,202760,8681,16.1347822488748
"01","Alabama",2232663,14866,140963,6314,6.31367116309089
"02","Alaska",403778,4904,30964,3145,7.66857035301577
"04","Arizona",3259425,16706,210851,7306,6.46896308397954
"05","Arkansas",1355985,12446,69030,4808,5.09076427836591
"06","California",19744389,43347,1277331,20520,6.4693366809173
"08","Colorado",3002644,15022,140434,6702,4.67701132735016
"10","Delaware",473528,6501,26678,3236,5.63388015069859
"11","District of Columbia",395244,5295,27119,2646,6.86133122830454
"09","Connecticut",1943614,11044,123884,6343,6.37389934421135
"12","Florida",9868010,34864,585900,13381,5.93736731113973
"13","Georgia",5085287,22117,300529,11741,5.90977461055787
"16","Idaho",803382,9225,37503,3734,4.66814043630552
"15","Hawaii",756610,6865,31796,2920,4.20242925681659
"17","Illinois",6668355,19051,419099,9953,6.28489335075892
"18","Indiana",3335703,13968,167215,6252,5.01288633910153
"19","Iowa",1681455,9415,66229,4180,3.93879110651192
"20","Kansas",1508145,8677,67003,4789,4.4427425744872
"21","Kentucky",2093294,14365,124677,6146,5.95601955578146
"22","Louisiana",2188407,13167,151211,6553,6.90963792384141
"23","Maine",690870,6603,30560,2838,4.42340816651468
"24","Maryland",3277687,12922,175235,6635,5.34630060771514
"25","Massachusetts",3775369,17142,198840,7675,5.26676995016911
"26","Michigan",4894621,18389,304288,8049,6.21678368968711
"27","Minnesota",3040524,9621,116518,4890,3.83216840255167
