Series ID,State
LAUST010000000000003,Alabama
LAUST020000000000003,Alaska
LAUST040000000000003,Arizona
LAUST050000000000003,Arkansas
LAUST060000000000003,California
LAUST080000000000003,Colorado
LAUST090000000000003,Connecticut
LAUST100000000000003,Delaware
LAUST110000000000003,D.C.
LAUST120000000000003,Florida
LAUST130000000000003,Georgia
LAUST150000000000003,Hawaii
LAUST160000000000003,Idaho
LAUST170000000000003,Illinois
LAUST180000000000003,Indiana
LAUST190000000000003,Iowa
LAUST200000000000003,Kansas
LAUST210000000000003,Kentucky
LAUST220000000000003,Louisiana
LAUST230000000000003,Maine
LAUST240000000000003,Maryland
LAUST250000000000003,Massachusetts
LAUST260000000000003,Michigan
LAUST270000000000003,Minnesota
LAUST280000000000003,Mississippi
LAUST290000000000003,Missouri
LAUST300000000000003,Montana
LAUST310000000000003,Nebraska
LAUST320000000000003,Nevada
LAUST330000000000003,New Hampshire
LAUST340000000000003,New Jersey
LAUST350000000000003,New Mexico
LAUST360000000000003,New York
LAUST370000000000003,North Carolina
LAUST380000000000003,North Dakota
LAUST390000000000003,Ohio
LAUST400000000000003,Oklahoma
LAUST410000000000003,Oregon
LAUST420000000000003,Pennsylvania
LAUST440000000000003,Rhode Island
LAUST450000000000003,South Carolina
LAUST460000000000003,South Dakota
LAUST470000000000003,Tennessee
LAUST480000000000003,Texas
LAUST490000000000003,Utah
LAUST500000000000003,Vermont
LAUST510000000000003,Virginia
LAUST530000000000003,Washington
LAUST540000000000003,West Virginia
LAUST550000000000003,Wisconsin
LAUST560000000000003,Wyoming
