ER17001,ER17002,ER17004,ER17022,ER19161,ER19162,ER20064,ER20065,ER20377,ER20378,ER20456,ER21001,ER21002,ER21003,ER21009,ER22534,ER22535,ER23500,ER23501,ER24099,ER24144,ER24145,ER25001,ER25002,ER25003,ER25009,ER26515,ER26516,ER27468,ER27469,ER28037,ER28043,ER36001,ER36002,ER36003,ER36009,ER37533,ER37534,ER40639,ER40640,ER41027,ER41033,ER41034,ER42001,ER42002,ER42003,ER42009,ER43524,ER43525,ER46617,ER46618,ER46935,ER46975,ER46976,ER47301,ER47302,ER47303,ER47309,ER48849,ER48850,ER51978,ER51979,ER52343,ER52399,ER52400,ER53001,ER53002,ER53003,ER53009,ER54592,ER54593,ER57747,ER57748,ER58152,ER58217,ER58218,ER60001,ER60002,ER60003,ER60009,ER61703,ER61704,ER64927,ER64928,ER65349,ER65453,ER65454,ER66001,ER66002,ER66003,ER66009,ER67756,ER67757,ER71047,ER71048,ER71426,ER71532,ER71533,ER72001,ER72002,ER72003,ER72009,ER73779,ER73780,ER77069,ER77070,ER77448,ER77593,ER77594
6,96,41,4,5,0,0,0,0,0,50880,8,1392,41,4,5,0,5,0,32516,0,0,6,289,41,4,5,0,5,0,23440,0,7,148,41,4,5,0,5,0,89560,0,0,5,13,41,4,5,0,0,0,24960,0,0,5,218,41,4,5,0,0,0,40416,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5987,41,4,1,5000,5,0,0,0,50000,8,6278,41,4,1,4800,5,0,50500,0,0,6,2356,41,4,1,4800,5,0,66400,0,7,5399,41,4,1,9000,5,0,275800,0,0,5,1827,41,4,1,4800,5,0,71844,0,0,5,8397,41,4,1,4000,5,0,60000,0,0,3,7517,41,4,1,4000,5,0,170000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,4812,15,4,5,0,0,0,94000,0,0,6,4097,15,4,5,0,0,0,20200,0,7,720,41,4,5,0,0,0,9434,0,0,5,1840,41,4,5,0,0,0,52656,0,0,5,2541,41,4,5,0,0,0,18428,0,0,3,8684,41,4,5,0,0,0,55080,0,0,1,8474,41,4,5,0,0,0,60704,0,0,2,5620,41,4,5,0,0,0,10800,0,0,1,4574,41,4,5,0,5,0,11028,0,0
6,7091,41,4,5,0,0,0,0,0,55616,,,,,,,,,,,,6,6880,41,4,5,0,5,0,67000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8559,41,4,5,0,0,0,56000,0,0,1,8597,41,4,5,0,0,0,60970,0,0
6,5964,41,4,5,0,0,0,0,0,33760,8,5536,41,4,5,0,0,0,20534,0,0,6,1288,41,4,5,0,0,0,37400,0,,,,,,,,,,,,5,8582,41,4,5,0,0,0,59778,0,0,5,2845,41,4,5,0,0,0,42504,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1428,41,4,5,0,0,0,45084,0,0,2,6510,41,4,5,0,0,0,3705,0,0,1,6314,41,4,5,0,0,0,9380,0,0
6,5479,41,4,5,0,0,0,0,0,27000,8,6061,41,4,5,0,0,0,28000,0,0,6,641,41,4,5,0,0,0,28500,0,7,189,41,4,5,0,0,0,35000,0,0,5,5839,41,4,5,0,0,0,32000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5665,15,4,5,0,0,0,0,0,23000,8,5552,15,4,5,0,0,0,25000,0,0,6,1299,15,4,5,0,0,0,19500,0,,,,,,,,,,,,5,2003,15,4,5,0,0,0,11000,0,0,,,,,,,,,,,,3,8434,15,4,5,0,0,0,7000,0,0,1,4738,15,4,5,0,0,0,52000,0,0,2,9172,15,4,5,0,0,0,89347,0,0,1,7898,15,4,5,0,0,0,10000,0,0
6,6754,41,4,5,0,0,0,0,0,20000,,,,,,,,,,,,6,7811,41,4,5,0,5,0,36080,0,,,,,,,,,,,,5,8333,41,4,5,0,0,0,60752,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,7971,41,4,1,950,1,50,127800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8180,41,4,5,0,5,0,31300,0,0,5,7655,41,4,5,0,5,0,13450,0,0,3,8569,41,4,5,0,5,0,3450,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7682,41,4,5,0,0,0,23500,0,0,1,7781,41,4,5,0,0,0,31000,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9421,15,4,5,0,0,0,26000,0,0,1,4983,15,4,5,0,0,0,32726,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2147,41,4,5,0,0,0,8088,0,0,,,,,,,,,,,,,,,,,,,,,,,2,6393,41,4,5,0,0,0,37207,0,0,,,,,,,,,,,
6,6522,41,4,5,0,5,0,0,0,40000,8,5558,41,4,1,3600,5,0,44400,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1130,41,4,5,0,0,0,4049,0,0,5,77,41,4,5,0,0,0,14850,0,0,,,,,,,,,,,,3,2176,41,4,5,0,0,0,44340,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6872,41,4,1,1500,5,0,0,0,58200,8,7782,41,4,1,7200,5,0,73470,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5599,15,4,5,0,5,0,0,0,92000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5480,41,4,5,0,0,0,0,0,23000,8,5974,41,4,5,0,0,0,16800,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7308,41,4,1,400,5,0,0,0,46001,8,6570,41,4,5,0,5,0,72707,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,285,41,4,5,0,0,0,0,0,37760,8,1427,41,4,5,0,0,0,40574,0,0,6,1157,41,4,5,0,0,0,40536,0,7,196,41,4,5,0,0,0,40594,0,0,5,684,41,4,5,0,0,0,43398,0,0,5,1513,41,4,5,0,5,0,46377,0,0,3,7300,41,4,5,0,0,0,48688,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,6443,41,4,5,0,0,0,50000,0,0,6,771,41,4,5,0,5,0,15000,0,7,5740,41,4,5,0,0,0,29400,0,0,5,950,41,4,5,0,0,0,90000,0,0,5,80,41,4,1,0,0,0,29000,0,0,3,8687,41,4,5,0,0,0,80000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8468,41,4,1,1000,5,0,125800,0,0,,,,,,,,,,,,3,8329,41,4,1,0,5,0,71200,0,0,1,6780,41,4,5,0,0,0,35000,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5963,41,4,5,0,5,0,23994,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1602,41,4,5,0,5,0,23400,0,0,3,8698,41,4,5,0,0,0,28500,0,0,1,7304,41,4,5,0,0,0,31560,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1839,41,4,5,0,0,0,56126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3252,41,4,5,0,0,0,78633,0,0,2,4293,41,4,5,0,0,0,81139,0,0,1,4681,41,4,5,0,0,0,72200,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1032,41,4,5,0,0,0,28796,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8691,41,4,5,0,1,100,65000,0,0,1,5671,41,4,5,0,5,0,65100,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6506,41,4,5,0,0,0,65000,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8968,41,4,5,0,5,0,124600,0,0
6,444,41,5,5,0,0,0,0,0,3774,8,3724,41,5,5,0,0,0,5700,0,0,6,1654,41,5,5,0,5,0,12852,0,7,1210,41,5,5,0,1,25,900,0,0,5,8471,41,5,5,0,1,40,10406,0,0,5,3552,41,5,5,0,0,0,17580,0,0,3,4618,41,5,5,0,0,0,14640,0,0,,,,,,,,,,,,,,,,,,,,,,,1,6228,41,5,5,0,5,0,22820,0,0
6,1448,41,5,1,500,1,50,0,0,79200,8,4965,41,5,5,0,5,0,63500,0,0,6,624,41,5,5,0,5,0,44000,0,7,5570,41,5,5,0,5,0,34600,0,0,5,163,41,5,5,0,1,25,43000,0,0,5,5882,41,5,5,0,0,0,84300,0,0,3,7139,41,5,5,0,0,0,77513,0,0,1,1616,41,5,5,0,0,0,89363,0,0,2,8276,41,5,5,0,0,0,91000,0,0,1,9326,41,5,5,0,5,0,67000,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,423,41,5,5,0,1,40,13498,0,0,5,8465,41,5,5,0,5,0,26200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,6955,41,5,5,0,5,0,47516,0,0,6,1504,41,5,5,0,0,0,32748,0,7,7756,41,5,5,0,0,0,40296,0,0,5,8470,41,5,5,0,0,0,71512,0,0,5,975,41,5,5,0,0,0,34000,0,0,3,6170,41,5,5,0,0,0,44200,0,0,1,8520,41,5,5,0,0,0,15828,0,0,2,3859,41,5,5,0,0,0,34656,0,0,1,5234,41,5,5,0,0,0,36752,0,0
,,,,,,,,,,,,,,,,,,,,,,6,7566,41,5,5,0,1,75,20000,0,7,7878,41,5,5,0,5,0,54000,0,0,5,8312,41,5,5,0,5,0,46000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
