****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 322214 ******* 

Variable    Labels

ER30000    RELEASE NUMBER                          
ER30001    1968 INTERVIEW NUMBER                   
ER30002    PERSON NUMBER                         68
ER17001    RELEASE NUMBER                          
ER17002    2001 FAMILY INTERVIEW (ID) NUMBER       
ER17004    PSID STATE OF RESIDENCE CODE            
ER17007    FAMILY COMPOSITION CHANGE               
ER17013    AGE OF HEAD                             
ER17014    SEX OF HEAD                             
ER17016    # CHILDREN IN FU                        
ER17022    1968 FAMILY IDENTIFIER                  
ER17024    HEAD MARITAL STATUS                     
ER19612    H1 STATUS OF HEALTH-HEAD                
ER19989    L40/95 RACE OF HEAD 1                   
ER20038    L68 RELIGIOUS PREF-HD                   
ER20045    T1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER20046    T2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER20047    T2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER20052    T3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER20053    T3A DOLLAR AMT OF COMBO DONATIONS       
ER20058    T4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER20059    T4A DOLLAR AMT OF NEEDY DONATIONS       
ER20064    T5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER20065    T5A DOLLAR AMT OF HEALTH DONATIONS      
ER20070    T6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER20071    T6A DOLLAR AMT OF EDUCATION DONATIONS   
ER20076    T7A WTR DONATED TO YOUTH/FAMILY ORGANZTN
ER20077    T7B WTR DONATD TO ARTS/CULTR/ETHNIC ASSN
ER20078    T7C WTR DONATD TO NEIGHBORHOOD/COMMUNITY
ER20079    T7D WTR DONATED TO ENVIRONMENTAL ORG    
ER20080    T7E WTR DONATD TO INTRNAT AID/WRLD PEACE
ER20081    T7F WTR DONATED TO OTHER CHARITY        
ER20083    T7H AMT DONATED TO ORGS IN T7A-F        
ER20394    CORE/IMMIGRANT FAMILY WEIGHT NUMBER 1   
ER20455    TOTAL FAMILY SOCIAL SECURITY INCOME-2000
ER20456    TOTAL FAMILY INCOME-2000                
S516       IMP WEALTH W/O EQUITY (WEALTH1) 01      
S517       IMP WEALTH W/ EQUITY (WEALTH2) 01       
ER33601    2001 INTERVIEW NUMBER                   
ER33602    SEQUENCE NUMBER                       01
ER33603    RELATION TO HEAD                      01
ER21001    RELEASE NUMBER                          
ER21002    2003 FAMILY INTERVIEW (ID) NUMBER       
ER21003    PSID STATE OF RESIDENCE CODE            
ER21007    FAMILY COMPOSITION CHANGE               
ER21009    1968 FAMILY IDENTIFIER                  
ER21017    AGE OF HEAD                             
ER21018    SEX OF HEAD                             
ER21020    # CHILDREN IN FU                        
ER21023    HEAD MARITAL STATUS                     
ER23009    H1 HEALTH STATUS-HEAD                   
ER23426    L40/95 RACE OF HEAD 1                   
ER23474    L68 RELIGIOUS PREF-HD                   
ER23481    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER23482    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER23483    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER23488    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER23489    M3A DOLLAR AMT OF COMBO DONATIONS       
ER23494    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER23495    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER23500    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER23501    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER23506    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER23507    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER23512    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER23513    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER23518    M8 WTR DONATED TO CULTURAL ORGS         
ER23519    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER23524    M9 WTR DONATED TO COMMUNITY ORGS        
ER23525    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER23530    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER23531    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER23536    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER23542    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER23543    M12B DOLLAR AMT OF OTHER DONATIONS      
ER24099    TOTAL FAMILY INCOME LAST YEAR           
ER24179    CORE/IMM FAMILY LONGITUDINAL WEIGHT     
S616       IMP WEALTH W/O EQUITY (WEALTH1) 03      
S617       IMP WEALTH W/ EQUITY (WEALTH2) 03       
ER33701    2003 INTERVIEW NUMBER                   
ER33702    SEQUENCE NUMBER                       03
ER33703    RELATION TO HEAD                      03
ER25001    RELEASE NUMBER                          
ER25002    2005 FAMILY INTERVIEW (ID) NUMBER       
ER25003    PSID STATE OF RESIDENCE CODE            
ER25007    FAMILY COMPOSITION CHANGE               
ER25009    1968 FAMILY IDENTIFIER                  
ER25017    AGE OF HEAD                             
ER25018    SEX OF HEAD                             
ER25020    # CHILDREN IN FU                        
ER25023    HEAD MARITAL STATUS                     
ER26990    H1 HEALTH STATUS-HEAD                   
ER27393    L40 RACE OF HEAD-MENTION 1              
ER27442    L68 RELIGIOUS PREFERENCE-HD             
ER27449    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER27450    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER27451    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER27456    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER27457    M3A DOLLAR AMT OF COMBO DONATIONS       
ER27462    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER27463    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER27468    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER27469    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER27474    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER27475    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER27480    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER27481    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER27486    M8 WTR DONATED TO CULTURAL ORGS         
ER27487    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER27492    M9 WTR DONATED TO COMMUNITY ORGS        
ER27493    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER27498    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER27499    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER27504    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER27510    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER27511    M12B DOLLAR AMT OF OTHER DONATIONS      
ER27680    M52K2 WTR DONATED $25 OR MORE           
ER28037    TOTAL FAMILY INCOME-2004                
ER28078    2005 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
S716       IMP WEALTH W/O EQUITY (WEALTH1) 05      
S717       IMP WEALTH W/ EQUITY (WEALTH2) 05       
ER33801    2005 INTERVIEW NUMBER                   
ER33802    SEQUENCE NUMBER                       05
ER33803    RELATION TO HEAD                      05
ER36001    RELEASE NUMBER                          
ER36002    2007 FAMILY INTERVIEW (ID) NUMBER       
ER36003    PSID STATE OF RESIDENCE CODE            
ER36007    FAMILY COMPOSITION CHANGE               
ER36009    1968 FAMILY IDENTIFIER                  
ER36017    AGE OF HEAD                             
ER36018    SEX OF HEAD                             
ER36020    # CHILDREN IN FU                        
ER36023    HEAD MARITAL STATUS                     
ER38202    H1 HEALTH STATUS-HEAD                   
ER40565    L40 RACE OF HEAD-MENTION 1              
ER40614    L68 RELIGIOUS PREFERENCE-HD             
ER40620    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER40621    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER40622    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER40627    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER40628    M3A DOLLAR AMT OF COMBO DONATIONS       
ER40633    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER40634    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER40639    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER40640    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER40645    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER40646    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER40651    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER40652    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER40657    M8 WTR DONATED TO CULTURAL ORGS         
ER40658    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER40663    M9 WTR DONATED TO COMMUNITY ORGS        
ER40664    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER40669    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER40670    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER40675    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER40681    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER40682    M12B DOLLAR AMT OF OTHER DONATIONS      
ER41027    TOTAL FAMILY INCOME-2006                
ER41069    2007 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
S816       IMP WEALTH W/O EQUITY (WEALTH1) 07      
S817       IMP WEALTH W/ EQUITY (WEALTH2) 07       
ER33901    2007 INTERVIEW NUMBER                   
ER33902    SEQUENCE NUMBER                       07
ER33903    RELATION TO HEAD                      07
ER42001    RELEASE NUMBER                          
ER42002    2009 FAMILY INTERVIEW (ID) NUMBER       
ER42003    PSID STATE OF RESIDENCE CODE            
ER42007    FAMILY COMPOSITION CHANGE               
ER42009    1968 FAMILY IDENTIFIER                  
ER42017    AGE OF HEAD                             
ER42018    SEX OF HEAD                             
ER42020    # CHILDREN IN FU                        
ER42023    HEAD MARITAL STATUS                     
ER44175    H1 HEALTH STATUS-HEAD                   
ER46543    L40 RACE OF HEAD-MENTION 1              
ER46592    L68 RELIGIOUS PREFERENCE-HD             
ER46598    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER46599    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER46600    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER46605    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER46606    M3A DOLLAR AMT OF COMBO DONATIONS       
ER46611    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER46612    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER46617    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER46618    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER46623    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER46624    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER46629    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER46630    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER46635    M8 WTR DONATED TO CULTURAL ORGS         
ER46636    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER46641    M9 WTR DONATED TO COMMUNITY ORGS        
ER46642    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER46647    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER46648    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER46653    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER46659    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER46660    M12B DOLLAR AMT OF OTHER DONATIONS      
ER46935    TOTAL FAMILY INCOME-2008                
ER46968    IMP WEALTH W/O EQUITY (WEALTH1) 09      
ER46970    IMP WEALTH W/ EQUITY (WEALTH2) 09       
ER47012    2009 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
ER34001    2009 INTERVIEW NUMBER                   
ER34002    SEQUENCE NUMBER                       09
ER34003    RELATION TO HEAD                      09
ER47301    RELEASE NUMBER                          
ER47302    2011 FAMILY INTERVIEW (ID) NUMBER       
ER47303    PSID STATE OF RESIDENCE CODE            
ER47307    FAMILY COMPOSITION CHANGE               
ER47309    1968 FAMILY IDENTIFIER                  
ER47317    AGE OF HEAD                             
ER47318    SEX OF HEAD                             
ER47320    # CHILDREN IN FU                        
ER47323    HEAD MARITAL STATUS                     
ER49494    H1 HEALTH STATUS-HEAD                   
ER51904    L40 RACE OF HEAD-MENTION 1              
ER51953    L68 RELIGIOUS PREFERENCE-HD             
ER51959    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER51960    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER51961    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER51966    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER51967    M3A DOLLAR AMT OF COMBO DONATIONS       
ER51972    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER51973    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER51978    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
