dpid,total_numberof_rooms,numberof_bedrooms,numberof_baths,full_address
290610001996,0,0,100,"18238 332ND ST, JAMESPORT, MO, 64648"
290610002042,0,0,100,"20340 STATE HIGHWAY 190, JAMESPORT, MO, 64648"
290610002053,0,0,100,"609 N STATE HIGHWAY 190, JAMESPORT, MO, 64648"
290610002054,0,0,100,"206 E IVO ST, JAMESPORT, MO, 64648"
290610002055,0,0,100,"20590 STATE HIGHWAY 190, JAMESPORT, MO, 64648"
290610002057,0,0,100,"20604 321ST ST, JAMESPORT, MO, 64648"
290610002000,0,0,100,"33999 JORDAN AVE, JAMESPORT, MO, 64648"
290610002079,0,0,100,"309 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002080,0,0,100,"208 N LOCUST ST, JAMESPORT, MO, 64648"
290610002081,0,0,100,"209 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002084,0,0,100,"503 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002112,0,0,100,"208 E MAIN ST, JAMESPORT, MO, 64648"
290610002115,0,0,100,"305 E AUBERRY GRV, JAMESPORT, MO, 64648"
290610002106,0,0,100,"101 N LOCUST ST, JAMESPORT, MO, 64648"
290610002107,0,0,100,"307 E MAIN ST, JAMESPORT, MO, 64648"
290610010226,0,0,100,"309 E MAIN ST, JAMESPORT, MO, 64648"
290610002109,0,0,100,"405 E MAIN ST, JAMESPORT, MO, 64648"
290610002110,0,0,100,"308 E MAIN ST, JAMESPORT, MO, 64648"
290610002122,0,0,100,"32211 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002123,0,0,100,"32233 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002124,0,0,100,"33207 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002125,0,0,100,"32239 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002031,0,0,100,"20221 330TH ST, JAMESPORT, MO, 64648"
290610002033,0,0,100,"33251 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002046,0,0,100,"32529 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002058,0,0,100,"506 N LOCUST ST, JAMESPORT, MO, 64648"
290610002060,0,0,100,"500 N LOCUST ST, JAMESPORT, MO, 64648"
290610002061,0,0,100,"406 N LOCUST ST, JAMESPORT, MO, 64648"
290610002062,0,0,100,"404 N LOCUST ST, JAMESPORT, MO, 64648"
290610002063,0,0,100,"402 N LOCUST ST, JAMESPORT, MO, 64648"
290610002065,0,0,100,"300 N LOCUST ST, JAMESPORT, MO, 64648"
290610002066,0,0,100,"509 N LOCUST ST, JAMESPORT, MO, 64648"
290610002070,0,0,100,"407 N LOCUST ST, JAMESPORT, MO, 64648"
290610002100,0,0,100,"408 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002101,0,0,100,"400 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002102,0,0,100,"308 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002103,0,0,100,"109 N LOCUST ST, JAMESPORT, MO, 64648"
290610002023,0,0,100,"33769 JULY AVE, JAMESPORT, MO, 64648"
290610002024,0,0,100,"33227 JULY AVE, JAMESPORT, MO, 64648"
290610002071,0,0,100,"405 N LOCUST ST, JAMESPORT, MO, 64648"
290610002072,0,0,100,"403 N LOCUST ST, JAMESPORT, MO, 64648"
290610002073,0,0,100,"309 N LOCUST ST, JAMESPORT, MO, 64648"
290610002074,0,0,100,"307 N LOCUST ST, JAMESPORT, MO, 64648"
290610002075,0,0,100,"305 N LOCUST ST, JAMESPORT, MO, 64648"
290610002077,0,0,100,"209 N LOCUST ST, JAMESPORT, MO, 64648"
290610002078,0,0,100,"305 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002087,0,0,100,"409 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002090,0,0,100,"209 N OLIVE ST, JAMESPORT, MO, 64648"
290610002091,0,0,100,"401 E GILLILAN RD, JAMESPORT, MO, 64648"
290610002097,0,0,100,"101 G ST, JAMESPORT, MO, 64648"
290610002098,0,0,100,"404 E MAIN ST, JAMESPORT, MO, 64648"
290610002099,0,0,100,"103 S OLIVE ST, JAMESPORT, MO, 64648"
290610002128,0,0,100,"32928 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002152,0,0,100,"303 S GRANT ST, JAMESPORT, MO, 64648"
290610002231,0,0,100,"509 N ELM ST, JAMESPORT, MO, 64648"
290610010963,0,0,100,"21557 320TH ST, JAMESPORT, MO, 64648"
290610002135,0,0,100,"21573 STATE HIGHWAY 190, JAMESPORT, MO, 64648"
290610002149,0,0,100,"506 E AUBERRY GRV, JAMESPORT, MO, 64648"
290610002140,0,0,100,"21910 STATE HIGHWAY 190, JAMESPORT, MO, 64648"
290610002142,0,0,100,"32541 MAJOR AVE, JAMESPORT, MO, 64648"
290610002145,0,0,100,"21539 330TH ST, JAMESPORT, MO, 64648"
290610002147,0,0,100,"21337 330TH ST, JAMESPORT, MO, 64648"
290610002129,0,0,100,"21546 STATE HIGHWAY 190, JAMESPORT, MO, 64648"
290610002132,0,0,100,"705 S GRANT ST, JAMESPORT, MO, 64648"
290610002232,0,0,100,"500 S GRANT ST, JAMESPORT, MO, 64648"
290610002137,0,0,100,"32033 MAJOR AVE, JAMESPORT, MO, 64648"
290610002139,0,0,100,"32027 MAJOR AVE, JAMESPORT, MO, 64648"
290610010902,0,0,100,"32073 MAJOR AVE, JAMESPORT, MO, 64648"
290610002153,0,0,100,"208 S BOOTH ST, JAMESPORT, MO, 64648"
290610002154,0,0,100,"301 S BOOTH ST, JAMESPORT, MO, 64648"
290610002156,0,0,100,"305 S GRANT ST, JAMESPORT, MO, 64648"
290610002158,0,0,100,"401 S GRANT ST, JAMESPORT, MO, 64648"
290610002213,0,0,100,"31766 STATE HIGHWAY 6, JAMESPORT, MO, 64648"
290610002204,0,0,100,"901 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002205,0,0,100,"100 N SUMMERS ST, JAMESPORT, MO, 64648"
290610002207,0,0,100,"1005 W OLD HIGHWAY 6, JAMESPORT, MO, 64648"
290610002209,0,0,100,"31373 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002168,0,0,100,"206 E 2ND ST, JAMESPORT, MO, 64648"
290610002170,0,0,100,"605 S GRANT ST, JAMESPORT, MO, 64648"
290610002179,0,0,100,"33557 MAJOR AVE, JAMESPORT, MO, 64648"
290610002172,0,0,100,"21557 340TH ST, JAMESPORT, MO, 64648"
290610002173,0,0,100,"33380 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002175,0,0,100,"33029 MAJOR AVE, JAMESPORT, MO, 64648"
290610002177,0,0,100,"33435 MAJOR AVE, JAMESPORT, MO, 64648"
290610002217,0,0,100,"20527 OLD HIGHWAY 6, JAMESPORT, MO, 64648"
290610002219,0,0,100,"500 OLD HIGHWAY 6, JAMESPORT, MO, 64648"
290610002221,0,0,100,"101 E OLD HIGHWAY 6, JAMESPORT, MO, 64648"
290610002222,0,0,100,"20531 OLD HIGHWAY 6, JAMESPORT, MO, 64648"
290610002160,0,0,100,"405 S GRANT ST, JAMESPORT, MO, 64648"
290610002161,0,0,100,"201 E 2ND ST, JAMESPORT, MO, 64648"
290610002197,0,0,100,"31378 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002200,0,0,100,"1009 W OLD HIGHWAY 6, JAMESPORT, MO, 64648"
290610002201,0,0,100,"1003 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002202,0,0,100,"1001 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002229,0,0,100,"304 N FOREST ST, JAMESPORT, MO, 64648"
290610002230,0,0,100,"408 N FOREST ST, JAMESPORT, MO, 64648"
290610002234,0,0,100,"706 W OLD HIGHWAY 6, JAMESPORT, MO, 64648"
290610002237,0,0,100,"807 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002239,0,0,100,"705 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002323,0,0,100,"113 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002240,0,0,100,"703 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002241,0,0,100,"701 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002242,0,0,100,"605 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002244,0,0,100,"601 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002290,0,0,100,"100 W GILLILAN RD, JAMESPORT, MO, 64648"
290610002293,0,0,100,"308 W GILLILAN RD, JAMESPORT, MO, 64648"
290610002261,0,0,100,"109 E WASHINGTON ST, JAMESPORT, MO, 64648"
290610002262,0,0,100,"301 N GRANT ST, JAMESPORT, MO, 64648"
290610002281,0,0,100,"208 N COTTONWOOD ST, JAMESPORT, MO, 64648"
290610002282,0,0,100,"202 N COTTONWOOD ST, JAMESPORT, MO, 64648"
290610002283,0,0,100,"201 N FOREST ST, JAMESPORT, MO, 64648"
290610002284,0,0,100,"309 W GILLILAN RD, JAMESPORT, MO, 64648"
290610002301,0,0,100,"200 E MAIN ST, JAMESPORT, MO, 64648"
290610002302,0,0,100,"106 E MAIN ST, JAMESPORT, MO, 64648"
290610002303,0,0,100,"101 S BROADWAY ST, JAMESPORT, MO, 64648"
290610002305,0,0,100,"107 S BROADWAY ST, JAMESPORT, MO, 64648"
290610002306,0,0,100,"113 S BROADWAY ST, JAMESPORT, MO, 64648"
290610002286,0,0,100,"200 N GRANT ST, JAMESPORT, MO, 64648"
290610002287,0,0,100,"109 N GRANT ST, JAMESPORT, MO, 64648"
290610002289,0,0,100,"105 E MAIN ST, JAMESPORT, MO, 64648"
290610002249,0,0,100,"505 W MAIN ST, JAMESPORT, MO, 64648"
290610002265,0,0,100,"309 N BROADWAY, JAMESPORT, MO, 64648"
290610002267,0,0,100,"310 N BROADWAY, JAMESPORT, MO, 64648"
290610002271,0,0,100,"409 N GRANT ST, JAMESPORT, MO, 64648"
290610002273,0,0,100,"509 N GRANT ST, JAMESPORT, MO, 64648"
290610002274,0,0,100,"209 N GRANT ST, JAMESPORT, MO, 64648"
290610002277,0,0,100,"101 W GILLILAN RD, JAMESPORT, MO, 64648"
290610002252,0,0,100,"200 E IVO ST, JAMESPORT, MO, 64648"
290610002253,0,0,100,"502 N GRANT ST, JAMESPORT, MO, 64648"
290610002256,0,0,100,"400 W WASHINGTON ST, JAMESPORT, MO, 64648"
290610002295,0,0,100,"100 N COTTONWOOD ST, JAMESPORT, MO, 64648"
290610002298,0,0,100,"300 W MAIN ST, JAMESPORT, MO, 64648"
290610002299,0,0,100,"107 E MAIN ST, JAMESPORT, MO, 64648"
290610002300,0,0,100,"201 E MAIN ST, JAMESPORT, MO, 64648"
