dpid,full_address
380670003021,"8295 159TH AVE NE, DRAYTON, ND, 58225"
380990013007,"342 WILSON AVE, MINTO, ND, 58261"
380990013006,"334 WILSON AVE, MINTO, ND, 58261"
270890009195,"24365 410TH AVE NW, WARREN, MN, 56762"
270690004715,"1601 180TH ST, KENNEDY, MN, 56733"
270690005688,"2078 STATE HIGHWAY 11, KENNEDY, MN, 56733"
270690005690,"1248 200TH AVE, KENNEDY, MN, 56733"
270690005594,"1914 150TH ST, KENNEDY, MN, 56733"
270690005676,"1973 140TH ST, KENNEDY, MN, 56733"
270690005678,"1366 190TH AVE, KENNEDY, MN, 56733"
270690005679,"1952 130TH ST, KENNEDY, MN, 56733"
270690005744,"1007 230TH AVE, STEPHEN, MN, 56757"
270690006050,"1870 140TH ST, KENNEDY, MN, 56733"
270690006056,"1377 180TH AVE, DRAYTON, MN, 58225"
270690006081,"1347 160TH AVE, DRAYTON, MN, 58225"
270690006083,"1327 160TH AVE, , MN, "
270690006105,"1207 145TH AVE, DRAYTON, MN, 58225"
270690006097,"1468 128TH ST, DRAYTON, MN, 58225"
270690006098,"1462 128TH ST, DRAYTON, MN, 58225"
270690006070,"1312 160TH AVE, DRAYTON, MN, 58225"
270690006072,"1395 160TH AVE, , MN, "
270690006089,"1325 150TH AVE, DRAYTON, MN, 58225"
270690006091,"1482 130TH ST, DRAYTON, MN, 58225"
270690006117,"1290 160TH AVE, DRAYTON, MN, 58225"
270690006118,"1270 160TH AVE, , MN, "
270690006058,"1392 170TH AVE, DRAYTON, MN, 58225"
270690006061,"1722 130TH ST, DRAYTON, MN, 58225"
270690006120,"1210 160TH AVE, DRAYTON, MN, 58225"
270690006121,"1210 160TH AVE, DRAYTON, MN, 58225"
270690006123,"1741 130TH ST, DRAYTON, MN, 58225"
270690006130,"1242 180TH AVE, DRAYTON, MN, 58225"
270690006167,"1194 140TH AVE, DRAYTON, MN, 58225"
270690006156,"1062 150TH AVE, DRAYTON, MN, 58225"
270690006133,"1248 180TH AVE, DRAYTON, MN, 58225"
270690006162,"1461 STATE HIGHWAY 11, DRAYTON, MN, 58225"
270690006075,"1365 150TH AVE, DRAYTON, MN, 58225"
270690006225,"1561 110TH ST, DRAYTON, MN, 58225"
270690006200,"1464 110TH ST, DRAYTON, MN, 58225"
270690006216,"1445 110TH ST, DRAYTON, MN, 58225"
270690006190,"1455 STATE HIGHWAY 11, DRAYTON, MN, 58225"
270690006192,"1144 140TH AVE, DRAYTON, MN, 58225"
270690006228,"1062 150TH AVE, DRAYTON, MN, 58225"
270690006232,"1035 STATE HIGHWAY 220, DRAYTON, MN, 58225"
270690006235,"1653 110TH ST, DRAYTON, MN, 58225"
270690006239,"1030 STATE HIGHWAY 220, STEPHEN, MN, 56757"
270890009076,"27069 440TH AVE NW, ALVARADO, MN, 56710"
270890009169,"44870 240TH ST NW, ALVARADO, MN, 56710"
270890009170,"44458 240TH ST NW, ALVARADO, MN, 56710"
270890009174,"43598 240TH ST NW, ALVARADO, MN, 56710"
270890009051,"27142 420TH AVE NW, WARREN, MN, 56762"
270890009112,"41178 260TH ST NW, WARREN, MN, 56762"
270890009089,"26787 430TH AVE NW, WARREN, MN, 56762"
270890009091,"26904 440TH AVE NW, ALVARADO, MN, 56710"
270890009177,"43240 240TH ST NW, ALVARADO, MN, 56710"
270890009181,"24623 420TH AVE NW, WARREN, MN, 56762"
270890009070,"27346 440TH AVE NW, ALVARADO, MN, 56710"
270890009072,"27703 440TH AVE NW, ALVARADO, MN, 56710"
270890009094,"43868 260TH ST NW, ALVARADO, MN, 56710"
270890009097,"26817 420TH AVE NW, WARREN, MN, 56762"
270890009100,"26798 430TH AVE NW, WARREN, MN, 56762"
270890009084,"26214 450TH AVE NW, ALVARADO, MN, 56710"
270890009085,"9TH ST S, , MN, "
270890009165,"25127 440TH AVE NW, ALVARADO, MN, 56710"
270890009168,"44734 240TH ST NW, ALVARADO, MN, 56710"
270890009151,"25272 420TH AVE NW, ALVARADO, MN, 56710"
270890009152,"25219 420TH AVE NW, WARREN, MN, 56762"
270890009043,"27498 410TH AVE NW, WARREN, MN, 56762"
270890009104,"42836 260TH ST NW, WARREN, MN, 56762"
270890009158,"25379 430TH AVE NW, ALVARADO, MN, 56710"
270890009159,"25907 440TH AVE NW, ALVARADO, MN, 56710"
270890009147,"25915 420TH AVE NW, WARREN, MN, 56762"
270890009250,"44288 230TH ST NW, ALVARADO, MN, 56710"
270890009254,"22924 450TH AVE NW, ALVARADO, MN, 56710"
270890009235,"23688 430TH AVE NW, ALVARADO, MN, 56710"
270890015132,"22222 450TH AVE NW, ALVARADO, MN, 56710"
270890009257,"22232 450TH AVE NW, ALVARADO, MN, 56710"
270890009245,"43424 230TH ST NW, ALVARADO, MN, 56710"
