dpid,full_address,numberof_bedrooms,numberof_baths,building_area
191670009201,"1991 380TH ST, HAWARDEN, IA, 51023",0,0,0
191670009203,"3839 COOLIDGE AVE, HAWARDEN, IA, 51023",0,100,2052
191670033058,"1930 390TH ST, HAWARDEN, IA, 51023",0,0,0
191670033060,"2049 380TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009218,"3805 DIPPER AVE, HAWARDEN, IA, 51023",0,100,1512
191670009226,"3871 DIPPER AVE, HAWARDEN, IA, 51023",0,100,1917
191670009231,"2125 380TH ST, SIOUX CENTER, IA, 51250",0,100,1676
191670009232,"2125 380TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670009233,"3832 DIPPER AVE, HAWARDEN, IA, 51023",0,0,0
191670009238,"2141 380TH ST, SIOUX CENTER, IA, 51250",0,100,1836
191670009239,"2143 380TH ST, SIOUX CENTER, IA, 51250",0,100,1980
191670009240,"2149 380TH ST, SIOUX CENTER, IA, 51250",0,200,1812
191670009241,"2151 380TH ST, SIOUX CENTER, IA, 51250",0,100,1376
191670009244,"3847 DOGWOOD AVE, SIOUX CENTER, IA, 51250",0,400,1910
191670034324,"2850 340TH ST, ROCK VALLEY, IA, 51247",0,100,1623
191670009279,"2825 330TH ST, ROCK VALLEY, IA, 51247",0,100,2580
191670009284,"2849 330TH ST, HULL, IA, 51239",0,0,0
191670033064,"3838 DOGWOOD AVE, SIOUX CENTER, IA, 51250",0,300,1696
191670009258,"2261 380TH ST, SIOUX CENTER, IA, 51250",0,100,2392
191670009306,"3399 GOLDFINCH AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009301,"3367 GOLDFINCH AVE, HULL, IA, 51239",0,100,1792
191670033072,"2880 340TH ST, HULL, IA, 51239",0,100,1470
191670009252,"2156 390TH ST, HAWARDEN, IA, 51023",0,100,3413
191670009318,"3319 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,0,0
191670035005,"2691 330TH ST, ROCK VALLEY, IA, 51247",0,100,1549
191670009338,"3351 FIR AVE, ROCK VALLEY, IA, 51247",0,200,1808
191670009357,"3306 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,400,2215
191670009358,"3316 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,300,1682
191670033074,"2730 340TH ST, ROCK VALLEY, IA, 51247",0,200,1823
191670009324,"2730 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009342,"2614 340TH ST, ROCK VALLEY, IA, 51247",0,100,1826
191670009343,"2620 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009345,"2624 340TH ST, ROCK VALLEY, IA, 51247",0,200,1356
191670009346,"2620 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009314,"3319 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,200,1960
191670035001,"3319 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,0,0
191670009349,"3351 FIR AVE, ROCK VALLEY, IA, 51247",0,0,0
191670009352,"2672 340TH ST, ROCK VALLEY, IA, 51247",0,100,1848
191670009354,"2672 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009355,"2672 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670033075,"2670 340TH ST, ROCK VALLEY, IA, 51247",0,200,1792
191670033076 01,"2672 340TH ST, ROCK VALLEY, IA, 51247",0,100,1440
191670033076 02,"2672 340TH ST, ROCK VALLEY, IA, 51247",0,100,1440
191670033076 03,"2672 340TH ST, ROCK VALLEY, IA, 51247",0,100,1440
191670009384,"3365 FIG AVE, ROCK VALLEY, IA, 51247",0,200,1440
191670009408,"2321 330TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009413,"2365 330TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009395,"3309 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,200,2436
191670009414,"3313 EAGLE AVE, ROCK VALLEY, IA, 51247",0,200,1512
191670009374,"3341 FIG AVE, ROCK VALLEY, IA, 51247",0,100,2592
191670009377,"3380 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,300,1639
191670009379,"3382 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,0,0
191670009404,"3371 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,100,1344
191670033078,"2321 340TH ST, ROCK VALLEY, IA, 51247",0,100,1528
191670009432,"2365 340TH ST, ROCK VALLEY, IA, 51247",0,100,1314
191670009462,"2446 350TH ST, ROCK VALLEY, IA, 51247",0,300,1580
191670009438,"3454 DOVE AVE, ROCK VALLEY, IA, 51247",0,0,0
191670009445,"3630 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
