"","full_address","must_inc_number_address","bedrooms","bathrooms","sqft","text","source"
"1","8295 159TH AVE NE, DRAYTON, ND, 58225","""8295"" 159TH AVE NE, DRAYTON, ND, 58225",NA,NA,NA,"8295 159th Ave NE, Drayton, ND 58225 - Zillowwww.zillow.com › ... › Pembina County › Drayton › 582258295 159th Ave NE, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"2","342 WILSON AVE, MINTO, ND, 58261","""342"" WILSON AVE, MINTO, ND, 58261",NA,NA,NA,"342 Wilson Ave, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Minto › 58261342 Wilson Ave, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"3","334 WILSON AVE, MINTO, ND, 58261","""334"" WILSON AVE, MINTO, ND, 58261",NA,NA,NA,"334 Wilson Ave, Minto, ND 58261 - Zillowwww.zillow.com › ... › Walsh County › Minto › 58261334 Wilson Ave, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"4","24365 410TH AVE NW, WARREN, MN, 56762","""24365"" 410TH AVE NW, WARREN, MN, 56762",NA,NA,NA,"24365 410th Ave NW, Warren, MN 56762 - Zillowwww.zillow.com › ... › Marshall County › Warren › 5676224365 410th Ave NW, Warren, MN 56762 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"5","1601 180TH ST, KENNEDY, MN, 56733","""1601"" 180TH ST, KENNEDY, MN, 56733",NA,NA,NA,"1601 180th St, Kennedy, MN 56733 | Zillowwww.zillow.com › ... › Kittson County › Hallock › 567331601 180th St, Kennedy, MN 56733 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"6","2078 STATE HIGHWAY 11, KENNEDY, MN, 56733","""2078"" STATE HIGHWAY 11, KENNEDY, MN, 56733",NA,NA,NA,"2078 State Highway 11, Kennedy, MN 56733 | Zillowwww.zillow.com › ... › Kittson County › Kennedy › 567332078 State Highway 11, Kennedy, MN 56733 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"7","1248 200TH AVE, KENNEDY, MN, 56733","""1248"" 200TH AVE, KENNEDY, MN, 56733",NA,NA,NA,"1248 200th Ave, Kennedy, MN 56733 | Zillowwww.zillow.com › ... › Kittson County › Kennedy › 567331248 200th Ave, Kennedy, MN 56733 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"8","1914 150TH ST, KENNEDY, MN, 56733","""1914"" 150TH ST, KENNEDY, MN, 56733",NA,NA,NA,"1914 150th St, Kennedy, MN 56733 | Zillowwww.zillow.com › ... › Kittson County › Kennedy › 567331914 150th St, Kennedy, MN 56733 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"9","1973 140TH ST, KENNEDY, MN, 56733","""1973"" 140TH ST, KENNEDY, MN, 56733",NA,NA,NA,"1973 140th St, Kennedy, MN 56733 - Zillowwww.zillow.com › ... › Kittson County › Kennedy › 567331973 140th St, Kennedy, MN 56733 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"10","1366 190TH AVE, KENNEDY, MN, 56733","""1366"" 190TH AVE, KENNEDY, MN, 56733",NA,NA,NA,NA,NA
"11","1952 130TH ST, KENNEDY, MN, 56733","""1952"" 130TH ST, KENNEDY, MN, 56733",NA,NA,NA,NA,NA
"12","1007 230TH AVE, STEPHEN, MN, 56757","""1007"" 230TH AVE, STEPHEN, MN, 56757",NA,NA,NA,"1007 230th Ave, Stephen, MN 56757 | Zillowwww.zillow.com › ... › Kittson County › Stephen › 567571007 230th Ave, Stephen, MN 56757 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"13","1870 140TH ST, KENNEDY, MN, 56733","""1870"" 140TH ST, KENNEDY, MN, 56733",NA,NA,NA,"1870 140th St, Kennedy, MN 56733 - Zillowwww.zillow.com › ... › Kittson County › Kennedy › 567331870 140th St, Kennedy, MN 56733 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"14","1377 180TH AVE, DRAYTON, MN, 58225","""1377"" 180TH AVE, DRAYTON, MN, 58225",NA,NA,NA,"1377 180th Ave, Kennedy, MN 56733 | Zillowwww.zillow.com › ... › Kittson County › Kennedy › 567331377 180th Ave, Kennedy, MN 56733 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"15","1347 160TH AVE, DRAYTON, MN, 58225","""1347"" 160TH AVE, DRAYTON, MN, 58225",NA,NA,NA,"1347 160th Ave, Drayton, ND 58225 | Zillowwww.zillow.com › For Sale › North Dakota › Kittson County1347 160th Ave, Drayton, ND 58225 is currently not for sale. The -- sqft home type unknown home is a -- beds, -- baths property. This home was built in null ...","zillow"
"16","1327 160TH AVE, , MN,","""1327"" 160TH AVE, , MN,","4","3.0","2750","1327 Griffin Ave, Saint Paul, MN 55115 - Zillowwww.zillow.com › ... › Mahtomedi › 55115This 2750 square foot single family home has 4 bedrooms and 3.0 bathrooms. This home is located at 1327 Griffin Ave, Saint Paul, MN 55115. Show more. Facts and ...","zillow"
"17","1207 145TH AVE, DRAYTON, MN, 58225","""1207"" 145TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"18","1468 128TH ST, DRAYTON, MN, 58225","""1468"" 128TH ST, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"19","1462 128TH ST, DRAYTON, MN, 58225","""1462"" 128TH ST, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"20","1312 160TH AVE, DRAYTON, MN, 58225","""1312"" 160TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"21","1395 160TH AVE, , MN,","""1395"" 160TH AVE, , MN,",NA,NA,NA,NA,NA
"22","1325 150TH AVE, DRAYTON, MN, 58225","""1325"" 150TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
