"","full_address","must_inc_number_address","bedrooms","bathrooms","sqft","text","source"
"590","1805 RYLEE RD NE, LARIMORE, ND, 58251","""1805"" RYLEE RD NE, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com › homedetails › 1805-Rylee...1805 Rylee, Larimore, ND 58251 | ZillowWebLarimore homes for sale. Homes for sale; Foreclosures; For sale by owner; Open houses; New construction; Coming soon; Recent home sales; All homes; Resources. …","zillow"
"591","1813 RYLEE RD NE, LARIMORE, ND, 58251","""1813"" RYLEE RD NE, LARIMORE, ND, 58251","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/1813-Rylee-Rd...1813 Rylee Rd NE, Larimore, ND 58251 | ZillowWeb1813 Rylee Rd NE , Larimore, ND 58251-6000 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"592","3550 US 2, LARIMORE, ND, 58251","""3550"" US 2, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3550-State...3550 State Highway 2, Larimore, ND 58251 | ZillowWeb3550 State Highway 2, Larimore, ND 58251 is currently not for sale. The -- sqft home type unknown home is a -- beds, -- baths property. This home was built in null and last sold …","zillow"
"593","3552 US 2, LARIMORE, ND, 58251","""3552"" US 2, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3552-Us-Highway...3552 Us Highway 2, Larimore, ND 58251 | ZillowWeb3552 Us Highway 2, Larimore, ND 58251 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"594","3566 US 2, LARIMORE, ND, 58251","""3566"" US 2, LARIMORE, ND, 58251",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3566-Us-Highway...3566 Us Highway 2, Larimore, ND 58251 Web3566 Us Highway 2, Larimore, ND 58251 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"595","3577 US 2, LARIMORE, ND, 58251","""3577"" US 2, LARIMORE, ND, 58251","3","2",NA,"Zillowhttps://www.zillow.com › homedetails › 3577-Us-Highway...3577 Us Highway 2, Larimore, ND 58251 | ZillowWebPeaceful country living 25 miles West of Grand Forks. Double wide manufactured home on a permanent foundation with a 4 car attached heated garage. Home features 3 bedrooms and 2 baths with a handicap …","zillow"
"596","2390 EAGLE AVE, HATTON, ND, 58240","""2390"" EAGLE AVE, HATTON, ND, 58240","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/2390-Eagle-Ave...2390 Eagle Ave, Hatton, ND 58240 | ZillowWeb2390 Eagle Ave , Hatton, ND 58240-9302 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"597","11 30TH ST NE, HATTON, ND, 58240","""11"" 30TH ST NE, HATTON, ND, 58240","3","1","1,568","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...11 30th St NE, Hatton, ND 58240 | realtor.com®Web11 30th St NE, is a single family home, built in 1940, with 3 beds and 1 bath, at 1,568 sqft. This home is currently not for sale, this home is estimated to be valued at $121,268.","realtor"
"598","34 23RD ST NE, HATTON, ND, 58240","""34"" 23RD ST NE, HATTON, ND, 58240",NA,NA,NA,"Zillowhttps://www.zillow.com › homedetails › 34-23rd-St-NE...34 23rd St NE, Hatton, ND 58240 | ZillowWeb34 23rd St NE, Hatton, ND 58240 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …","zillow"
"599","43 27TH ST NE, HATTON, ND, 58240","""43"" 27TH ST NE, HATTON, ND, 58240","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/43-27th-St-NE...43 27th St NE, Hatton, ND 58240 | ZillowWeb43 27th St NE , Hatton, ND 58240-9500 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …Location: 2725 1st Ave NE, Hatton, 58240, ND","zillow"
"600","45 20TH ST NE, REYNOLDS, ND, 58275","""45"" 20TH ST NE, REYNOLDS, ND, 58275","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/45-20th-St-NE...45 20th St NE, Reynolds, ND 58275 | ZillowWeb45 20th St NE , Reynolds, ND 58275-9496 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"601","48 20TH ST NE, REYNOLDS, ND, 58275","""48"" 20TH ST NE, REYNOLDS, ND, 58275","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/48-20th-St-NE...48 20th St NE, Reynolds, ND 58275 | ZillowWeb48 20th St NE , Reynolds, ND 58275-9496 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"602","3473 1ST AVE NE, NORTHWOOD, ND, 58267","""3473"" 1ST AVE NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3473-1st-Ave-NE...3473 1st Ave NE, Northwood, ND 58267 | ZillowWeb3473 1st Ave NE , Northwood, ND 58267-9590 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"603","56 20TH ST NE, REYNOLDS, ND, 58275","""56"" 20TH ST NE, REYNOLDS, ND, 58275","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/56-20th-St-NE...56 20th St NE, Reynolds, ND 58275 Web56 20th St NE , Reynolds, ND 58275-9496 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …Location: 48 20th St NE, Reynolds, 58275, NDExplore further56 20TH ST NE, REYNOLDS, ND 58275 | RE/MAXremax.com56 20th St NE, Reynolds, ND 58275homes.com1520 NE 56th St, Fort Lauderdale, FL 33334homes.comRecommended to you based on what's popular • Feedback","zillow"
"604","3373 1ST AVE NE, NORTHWOOD, ND, 58267","""3373"" 1ST AVE NE, NORTHWOOD, ND, 58267","3","1","1,352","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3373 1st Ave NE, Northwood, ND 58267 | realtor.com®Web3373 1st Ave NE, is a single family home, built in 1922, with 3 beds and 1 bath, at 1,352 sqft. This home is currently not for sale, this home is estimated to be valued at $189,800.Location: 3373 1st Ave NE, Northwood, 58267, ND","realtor"
"605","92 31ST ST NE, HATTON, ND, 58240","""92"" 31ST ST NE, HATTON, ND, 58240","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/92-31st-St-NE...92 31st St NE, Hatton, ND 58240 | ZillowWeb92 31st St NE , Hatton, ND 58240-9533 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …Location: 3122 1st Ave NE, Hatton, 58240, ND","zillow"
"606","1852 1ST AVE NE, REYNOLDS, ND, 58275","""1852"" 1ST AVE NE, REYNOLDS, ND, 58275",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/1852-1st-Ave-NE...1852 1st Ave NE, Reynolds, ND 58275 | ZillowWeb1852 1st Ave NE, Reynolds, ND 58275 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"607","3784 1ST AVE NE, NORTHWOOD, ND, 58267","""3784"" 1ST AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com › homedetails › 3784-1st-Ave-NE...3784 1st Ave NE, Northwood, ND 58267 | ZillowWeb3784 1st Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"608","118 41ST ST NE, NORTHWOOD, ND, 58267","""118"" 41ST ST NE, NORTHWOOD, ND, 58267","2","2","1,500","Zillowhttps://www.zillow.com/homedetails/118-41st-St-NE...118 41st St NE, Northwood, ND 58267 | ZillowWeb118 41st St NE, Northwood, ND 58267 is currently not for sale. The 1,500 Square Feet single family home is a 2 beds, 2 baths property. This home was built in 1920 and last …","zillow"
"609","3332 1ST AVE NE, NORTHWOOD, ND, 58267","""3332"" 1ST AVE NE, NORTHWOOD, ND, 58267","3","2","1,615","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3332 1st Ave NE, Northwood, ND 58267 | realtor.com®WebSee sales history and home details for 3332 1st Ave NE, Northwood, ND 58267, a 3 bed, 2 bath, 1,615 Sq. Ft. single family home built in 1922 that was last sold on 12/13/2006.","realtor"
"610","140 18TH ST NE, REYNOLDS, ND, 58275","""140"" 18TH ST NE, REYNOLDS, ND, 58275","3","2","2,330","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...140 18th St NE, Reynolds, ND 58275 | realtor.com®WebView 10 photos for 140 18th St NE, Reynolds, ND 58275, a 3 bed, 2 bath, 2,330 Sq. Ft. single family home built in 1976 that was last sold on 08/05/2015.","realtor"
"611","150 24TH ST NE, HATTON, ND, 58240","""150"" 24TH ST NE, HATTON, ND, 58240","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/150-24th-St-NE...150 24th St NE, Hatton, ND 58240 | ZillowWeb150 24th St NE , Hatton, ND 58240-9511 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …Location: 150 24th St NE, Hatton, 58240, ND","zillow"
"612","178 32ND ST NE, NORTHWOOD, ND, 58267","""178"" 32ND ST NE, NORTHWOOD, ND, 58267","3","2","1,380","realtor.comhttps://www.realtor.com/realestateandhome…178 32nd St NE, Northwood, ND 58267 | realtor.com®WebView 42 photos for 178 32nd St NE, Northwood, ND 58267, a 3 bed, 2 bath, 1,380 Sq. Ft. single family home built in 1940 that was last sold on …Location: 178 32nd St NE, Northwood, 58267","realtor"
"613","3051 2ND AVE NE, HATTON, ND, 58240","""3051"" 2ND AVE NE, HATTON, ND, 58240","3","2","2,800","Zillowhttps://www.zillow.com/homedetails/3051-2n…3051 2nd Ave NE, Hatton, ND 58240 | ZillowWeb3051 2nd Ave NE, Hatton, ND 58240 is currently not for sale. The 2,800 Square Feet single family home is a 3 beds, 2 baths property. This home was built in 1960 and last sold on 2019-05-21 for $--. View more …","zillow"
"614","3035 2ND AVE NE, HATTON, ND, 58240","""3035"" 2ND AVE NE, HATTON, ND, 58240","3","1","1,994","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3035 2nd Ave NE, Hatton, ND 58240 | realtor.com®WebView 30 photos for 3035 2nd Ave NE, Hatton, ND 58240, a 3 bed, 1 bath, 1,994 Sq. Ft. single family home built in 1961 that was last sold on 01/02/2020.","realtor"
"615","203 26TH ST NE, HATTON, ND, 58240","""203"" 26TH ST NE, HATTON, ND, 58240",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/203-26t…203 26th St NE, Hatton, ND 58240 | ZillowWebPrice Price Range $0+ $100,000+ $200,000+ $300,000+ $400,000+ $500,000+ $600,000+ $700,000+ $800,000+ $900,000+ – Done Beds & Baths Bedrooms Bathrooms","zillow"
"616","2870 2ND AVE NE, HATTON, ND, 58240","""2870"" 2ND AVE NE, HATTON, ND, 58240","5","2","3,799","Zillowhttps://www.zillow.com/homedetails/2870-2nd-Ave-NE...2870 2nd Ave NE, Hatton, ND 58240 | ZillowWeb2870 2nd Ave NE, Hatton, ND 58240 is currently not for sale. The 3,799 Square Feet single family home is a 5 beds, 2 baths property. This home was built in 1900 and last sold on …","zillow"
