Rank,Assignment,Type of Assignment
LT,Battery/Company Platoon Leader,KD Assignment
LT,Executive Officer,Developmental
LT,Battalion Staff Officer,Developmental
LT,Liaison Officer,Developmental
LT,Aide-de-Camp,Developmental
CAP,ADA Battery Command,KD Assignment
CAP,HHB or Maintenance Company/Service Battery CMD,KD Assignment
CAP,HHC Commander of non-ADA Organization,KD Assignment
CAP,JTAGS/AN/TPY-2 FBM Detachment Command,KD Assignment
CAP,ADA Brigade/AAMDC Air Defense Artillery Fire Control Officer,Developmental
CAP,Patriot Top Gun Positions,Developmental
CAP,Multinational Transition Team Trainer,Developmental
CAP,CTC Observer/Controller,Developmental
CAP,Small Group Instructor,Developmental
CAP,ADA Battalion/Brigade Staff Officer,Developmental
MAJ,Battalion/Brigade S-3 or XO of ADA Organization,KD Assignment
MAJ,Battalion/Brigade S-3 or XO of Combat Arms Unit,KD Assignment
MAJ,AAMDC Plans Officer,KD Assignment
MAJ,Senior ADA Fire Control Officer,KD Assignment
MAJ,CTC Senior O/C,Developmental
MAJ,ADA Brigade Staff Officer,Developmental
MAJ,USAADAS/ILE Faculty and Staff Officer,Developmental
MAJ,Brigade/Division/Corps Staff Officer,Developmental
MAJ,GMD Brigade/ARSPACE/SMDC Staff Officer,Developmental
LTC,Battalion/Brigade Commander,KD Assignment
LTC,AAMDC Plans Officer,KD Assignment
LTC,Senior ADA Fire Control Officer,KD Assignment
LTC,Brigade/Division/Corps Staff Officer,Developmental and Broadening Assignment
LTC,GMD Brigade/ARSPACE/SMDC Staff Officer,Developmental and Broadening Assignment
LTC,DoD/JIIM/Army/ACOM Staff Officer,Developmental and Broadening Assignment
COL,Officer Leader Development,KD
COL,Air Defense Artillery Officer Development,KD
COL,Goal,KD
COL,Branch life cycle functions,KD
COL,Acquisition,KD
COL,Individual Training and Education,KD
COL,Distribution,KD
COL,Deployment,KD
COL,Sustainment,KD
COL,Promotion,KD
COL,Command,KD
COL,Officer Evaluation Report (OER),KD
COL,Professional Development,KD
COL,Transition,KD
COL,Broadening Guiding Principles - Assignments,KD
COL,Lieutenant Development,Developmental
COL,Captain Development,Developmental
COL,Major Development,Developmental
