MOS,Rank,Assignment,Type
Civil Affairs,CAP,CA Team Commander,KD
Civil Affairs,CAP,HHCs,KD
Civil Affairs,MAJ,CA Company Commander,KD
Civil Affairs,MAJ,Battalion or Brigade Executive Officer,KD
Civil Affairs,MAJ,Battalion or Brigade Operations Officer,KD
Civil Affairs,MAJ,Primary Staff Civil Affairs Officer,KD
Civil Affairs,MAJ,Career Manager,KD
Civil Affairs,MAJ,Division Chief,KD
Civil Affairs,MAJ,Mission Command Training Center,KD
Civil Affairs,MAJ,Special Operations Training Detachment,KD
Civil Affairs,MAJ,CTC O/C-T,KD
Civil Affairs,MAJ,USASOC Force Modernization Center,KD
Civil Affairs,MAJ,Personal Staff Positions,KD
Civil Affairs,LTC,Battalion Command,KD
Civil Affairs,LTC,CSL Assignment,KD
Civil Affairs,LTC,Proponent Manager,KD
Civil Affairs,LTC,Assistant Chief of Staff,KD
Civil Affairs,LTC,Brigade Deputy Commander,KD
Civil Affairs,LTC,Personal Staff Positions,KD
Civil Affairs,COL,Brigade Command,KD
Civil Affairs,COL,CSL Assignment,KD
Civil Affairs,COL,Chief of Staff,KD
Civil Affairs,COL,Deputy Commanding Officer,KD
Civil Affairs,COL,Capability Manager,KD
Civil Affairs,COL,Primary Staff Officer,KD
Civil Affairs,COL,Theater Civil Affairs Planning Team Chief,KD
Civil Affairs,COL,Assistant Chief of Staff,KD
Civil Affairs,COL,Headquarters Staff Officer,KD
Civil Affairs,COL,CA Team Commander,KD
Civil Affairs,CAP,Assignments at CA Proponent,DEV
Civil Affairs,CAP,Battalion Assistant Operations Officer,DEV
Civil Affairs,CAP,Brigade Assistant Operations Officer,DEV
Civil Affairs,CAP,CA SOF Governance Officer,DEV
Civil Affairs,CAP,Operational assignments,DEV
Civil Affairs,CAP,institutional assignments,DEV
Civil Affairs,CAP,JIIM assignments,DEV
Civil Affairs,CAP,academic assignments,DEV
Civil Affairs,MAJ,USAJFKSWCS Course Manager,DEV
Civil Affairs,MAJ,USAJFKSWCS Senior/Lead Instructor,DEV
Civil Affairs,MAJ,USAJFKSWCS Instructor,DEV
Civil Affairs,MAJ,Theater Special Operations Command Plans Officer,DEV
Civil Affairs,MAJ,Theater Civil Affairs Planning Team Plans/Operations Officer,DEV
Civil Affairs,MAJ,Civil-Military Operations Center Chief,DEV
Civil Affairs,LTC,operational assignments,DEV
Civil Affairs,LTC,institutional assignments,DEV
Civil Affairs,LTC,JIIM assignments,DEV
Civil Affairs,LTC,academia assignments,DEV
Civil Affairs,COL,operational assignments,DEV
Civil Affairs,COL,institutional assignments,DEV
Civil Affairs,COL,JIIM assignments,DEV
Civil Affairs,COL,academia assignments,DEV
