"","MOS","Rank","Assignment","Type"
"1","Psychological Operations","CAP","Detatchment Commander","KD"
"2","Psychological Operations","MAJ","Company Commander","KD"
"3","Psychological Operations","MAJ","Battalion S-3","KD"
"4","Psychological Operations","MAJ","Battalion XO","KD"
"5","Psychological Operations","MAJ","Group S-3","KD"
"6","Psychological Operations","MAJ","USAOC Officer","KD"
"7","Psychological Operations","MAJ","Special Forces Group Staff Officer","KD"
"8","Psychological Operations","MAJ","Combined Arms Center","KD"
"9","Psychological Operations","LTC","Battalion Commander","KD"
"10","Psychological Operations","COL","Brigade Commander","KD"
"11","Psychological Operations","MAJ","Branch assignments","DEV"
"12","Psychological Operations","MAJ","Joint duty assignments","DEV"
"13","Psychological Operations","MAJ","Branch generalist assigments","DEV"
"14","Psychological Operations","LTC","Corps Staff Officer","DEV"
"15","Psychological Operations","LTC","ASCC Staff Officer","DEV"
"16","Psychological Operations","LTC","Global Combatant Comand Staff Officer","DEV"
"17","Psychological Operations","LTC","TSOC Staff Officer","DEV"
"18","Psychological Operations","LTC","Interagency Operations Officer","DEV"
"19","Psychological Operations","COL","Branch assignments","DEV"
"20","Psychological Operations","COL","Joint duty assignments","DEV"
"21","Psychological Operations","COL","Branch generalist assigments","DEV"
