"","MOS","Rank","Assignment","Type"
"1","Special Forces","CAP","SFOD-A Command *Equivalent to company/battery/troop command","KD"
"2","Special Forces","MAJ","Company Commander","KD"
"3","Special Forces","MAJ","Battalion Operations Officer","KD"
"4","Special Forces","MAJ","Battalion Executive Officer","KD"
"5","Special Forces","MAJ","Group S-3 Operations Officer","KD"
"6","Special Forces","MAJ","Group XO","KD"
"7","Special Forces","MAJ","SOF Plans Officer","KD"
"8","Special Forces","MAJ","SOF Operations Officer","KD"
"9","Special Forces","LTC","Battalion Commander","KD"
"10","Special Forces","COL","Brigade Commander","KD"
"11","Special Forces","COL","JSOTF Commander","KD"
