MOS,Rank,Assignment,Type
Infantry,LT,platoon leader,KD
Infantry,LT,battalion specialty platoon leader,DEV
Infantry,LT,company xo,DEV
Infantry,LT,battalion staff officer,DEV
Infantry,LT,imt platoon leader,DEV
Infantry,LT,imt xo,DEV
Infantry,LT,generating force company xo,DEV
Infantry,LT,old guard,DEV
Infantry,LT,75th ranger regiment,DEV
Infantry,LT,cavazos or patton program internship,DEV
Infantry,LT,aide-de-camp,DEV
Infantry,CPT,company command,KD
Infantry,CPT,troop command,KD
Infantry,CPT,mccc small group leader,DEV
Infantry,CPT,ibolc platoon trainer,DEV
Infantry,CPT,aide-de-camp,DEV
Infantry,CPT,xo,DEV
Infantry,CPT,ac o/c-t,DEV
Infantry,CPT,rc o/c-t,DEV
Infantry,CPT,ac staff position,DEV
Infantry,CPT,rc staff position,DEV
Infantry,CPT,ctc o/c-t,DEV
Infantry,CPT,ctc staff position,DEV
Infantry,CPT,generating force staff,DEV
Infantry,CPT,doctrine developer,DEV
Infantry,CPT,training developer,DEV
Infantry,CPT,acom staff,DEV
Infantry,CPT,higher-level DA staff,DEV
Infantry,CPT,usma faculty,DEV
Infantry,CPT,usma staff,DEV
Infantry,CPT,us army recruiting company command,DEV
Infantry,CPT,us army recruiting company staff,DEV
Infantry,CPT,rotc assistant professor of military science,DEV
Infantry,CPT,army-sponsored fellowship,DEV
Infantry,CPT,army-sponsored scholarship,DEV
Infantry,CPT,combat arms generalist position,DEV
Infantry,CPT,branch generalist position,DEV
Infantry,CPT,broadening opportunity program,DEV
Infantry,CPT,jiim organization,DEV
Infantry,CPT,jiim command,DEV
Infantry,MAJ,battalion operations officer,KD
Infantry,MAJ,battalion xo,KD
Infantry,MAJ,brigade operations officer,KD
Infantry,MAJ,brigade xo,KD
Infantry,MAJ,smu operations officer,KD
Infantry,MAJ,smu exo,KD
Infantry,MAJ,mctp,DEV
Infantry,MAJ,1st army,DEV
Infantry,MAJ,ctc o/c-t,DEV
Infantry,MAJ,ctc staff position,DEV
Infantry,MAJ,training developer,DEV
Infantry,MAJ,doctrine developer,DEV
Infantry,MAJ,sfab commander,DEV
Infantry,MAJ,sfab operations officer,DEV
Infantry,MAJ,sfab xo,DEV
Infantry,MAJ,da staff officer,DEV
Infantry,MAJ,joint staff officer,DEV
Infantry,MAJ,aide-de-camp,DEV
Infantry,MAJ,xo,DEV
Infantry,MAJ,division staff,DEV
Infantry,MAJ,corps staff,DEV
Infantry,MAJ,acom staff,DEV
Infantry,MAJ,cgsc staff,DEV
Infantry,MAJ,cgsc faculty,DEV
Infantry,MAJ,service school instructor,DEV
Infantry,MAJ,usma faculty,DEV
Infantry,MAJ,usma staff,DEV
Infantry,MAJ,rotc assistant professor of military science,DEV
Infantry,MAJ,multi-national coalition trainer,DEV
Infantry,MAJ,multi-national staff officer,DEV
Infantry,MAJ,army-sponsored fellowship,DEV
Infantry,MAJ,army-sponsored scholarship,DEV
Infantry,MAJ,bops,DEV
Infantry,MAJ,jiim organizations,DEV
Infantry,MAJ,jiim commands,DEV
Infantry,LTC,battalion commander,KD
Infantry,LTC,ssc,DEV
Infantry,LTC,army-sponsored fellowship,DEV
Infantry,LTC,division g3,DEV
Infantry,LTC,ctc task force trainer,DEV
Infantry,LTC,2nd-time command,DEV
Infantry,LTC,enterprise nominative assignment,DEV
Infantry,LTC,deputy bct commander,DEV
Infantry,LTC,serivce school instructor,DEV
Infantry,LTC,rotc pms,DEV
Infantry,LTC,division staff,DEV
Infantry,LTC,corps staff,DEV
Infantry,LTC,ascc staff,DEV
Infantry,LTC,acom staff,DEV
Infantry,LTC,hqda staff,DEV
Infantry,LTC,divison ig,DEV
Infantry,LTC,senior army advisor to the adjutant general,DEV
Infantry,LTC,jiim organization,DEV
Infantry,LTC,jiim command,DEV
Infantry,LTC,mctp staff,DEV
Infantry,LTC,mctp o/c-t,DEV
Infantry,COL,brigade command,KD
Infantry,COL,combat training center operations group commander,DEV
Infantry,COL,combat training center operations chief of staff,DEV
Infantry,COL,tradoc capabilities manager,DEV
Infantry,COL,divison chief of staff,DEV
Infantry,COL,corps chief of staff,DEV
Infantry,COL,divison assistant chief of staff,DEV
Infantry,COL,corps assistant chief of staff,DEV
Infantry,COL,field army assistant chief of staff,DEV
Infantry,COL,division g-3/5/7,DEV
Infantry,COL,corps g-3/5/7,DEV
Infantry,COL,field army g-3/5/7,DEV
Infantry,COL,xo,DEV
Infantry,COL,"department director, us army manuver center of excellence",DEV
Infantry,COL,hqda staff,DEV
Infantry,COL,joint staff,DEV
Infantry,COL,usma brigade tactical officer,DEV
Infantry,COL,senior rotc pms,DEV
Infantry,COL,nominative assignment,DEV
