MOS,Assignment,Type,Rank
Cyber Branch,Cyber Planner,DEV,LT
Cyber Branch,Assistant S3,DEV,LT
Cyber Branch,Section Leader,DEV,LT
Cyber Branch,Battle Captain,DEV,LT
Cyber Branch,Cyber/EW Planner,DEV,LT
Cyber Branch,Analytic Support Officer,DEV,LT
Cyber Branch,Brigade/Regiment  CEWO,DEV,LT
Cyber Branch,Aide d e Camp,DEV,LT
Cyber Branch,Platoon Leader,DEV,LT
Cyber Branch,Developer,DEV,LT
Cyber Branch,Company XO,DEV,LT
Cyber Branch,Exploitation Analyst (CMF),DEV,LT
Cyber Branch,Company Commander,KD,CPT
Cyber Branch,Support Team Leader (CST),KD,CPT
Cyber Branch,Mission Element Leader (CPT),KD,CPT
Cyber Branch,Section Leader (NMT/CMT),KD,CPT
Cyber Branch,Cyber Warfare/Ops Officer,KD,CPT
Cyber Branch,Brigade/Regiment /SFG  CEWO,KD,CPT
Cyber Branch,Development Crew Leader,KD,CPT
Cyber Branch,Senior Developer,KD,CPT
Cyber Branch,Cyber Planner,DEV,CPT
Cyber Branch,Analytic Support Officer,DEV,CPT
Cyber Branch,Deputy Team Leader (ECT),DEV,CPT
Cyber Branch,Battalion  S2/S3 (CTB),DEV,CPT
Cyber Branch,CY/EW Rsrch. Scientist  (post -KD),DEV,CPT
Cyber Branch,Career Program Mgr. (OCC)  (post -KD),DEV,CPT
Cyber Branch,Branch Chief (OCO/DCO/DODIN),DEV,CPT
Cyber Branch,Remote Operations OIC,DEV,CPT
Cyber Branch,Division/Corps CEWO,DEV,CPT
Cyber Branch,Battalion S2/S3 (CTB),DEV,CPT
Cyber Branch,Product Engineer (915th CWB),DEV,CPT
Cyber Branch,CY Research  Scientist (ACI) (post -KD),DEV,CPT
Cyber Branch,Assistant S3  (BN/BDE),DEV,CPT
Cyber Branch,Instructor ( CyS/USMA)  (post -KD),DEV,CPT
Cyber Branch,Evaluation Concepts Officer,DEV,CPT
Cyber Branch,AROC Officer,DEV,CPT
Cyber Branch,Instructor (CyS/USMA) (post -KD),DEV,CPT
Cyber Branch,Battle Captain (JOC),DEV,CPT
Cyber Branch,Cyber OC/T (CTCs)  (post -KD),DEV,CPT
Cyber Branch,CY Research  Scientist (post -KD),DEV,CPT
Cyber Branch,Watch Officer (JOC),DEV,CPT
Cyber Branch,Mission Manager (JOC),DEV,CPT
Cyber Branch,Special Technical Ops (STO) Planner,DEV,CPT
Cyber Branch,Instructor (CyS /USMA)  (post -KD),DEV,CPT
Cyber Branch,Task Force (TF) CuOps Officer (CMF),DEV,CPT
Cyber Branch,MDTF Company XO,DEV,CPT
Cyber Branch,Systems Development Chief,DEV,CPT
Cyber Branch,Career Program Mgr. (post -KD),DEV,CPT
Cyber Branch,Cyber/EW Planner,DEV,CPT
Cyber Branch,Effects Assessment Officer,DEV,CPT
Cyber Branch,Training/Exercises Officer,DEV,CPT
Cyber Branch,Cyber/EW OC/T (CTCs) (post -KD),DEV,CPT
Cyber Branch,Development Team Leader  (915th),KD,MAJ
Cyber Branch,Mission Team Leader (CMT/ CPT/ ECT),KD,MAJ
Cyber Branch,Brigade/Regiment/SFG CEWO,KD,MAJ
Cyber Branch,Development  Section Lead er,KD,MAJ
Cyber Branch,Battalion XO,KD,MAJ
Cyber Branch,TF Commander (CMF/CNMF),KD,MAJ
Cyber Branch,Battalion S3,KD,MAJ
Cyber Branch,Support Team Leader (NS T),KD,MAJ
Cyber Branch,Company  Commander ( MDTF ),KD,MAJ
Cyber Branch,Master Developer,KD,MAJ
Cyber Branch,Senior OC/T (CTCs),KD,MAJ
Cyber Branch,BDE Assistant S3,DEV,MAJ
Cyber Branch,Cyber Mission Manager,DEV,MAJ
Cyber Branch,Cyber Planner,DEV,MAJ
Cyber Branch,CY/EW Rsrch. Scientist (post -KD),DEV,MAJ
Cyber Branch,TF Deputy Commander (CMF/CNMF),DEV,MAJ
Cyber Branch,College Director (CyS) (post -KD),DEV,MAJ
Cyber Branch,CY Research Scientist (ACI)  (post -KD),DEV,MAJ
Cyber Branch,Senior Fires Officer (JOC),DEV,MAJ
Cyber Branch,Division/Corps/EAC CEWO,DEV,MAJ
Cyber Branch,"Chief, Capabilities Integr. (IWOC)",DEV,MAJ
Cyber Branch,Cyber Integration Lead (JFHQ -CY),DEV,MAJ
Cyber Branch,Instructor (post -KD),DEV,MAJ
Cyber Branch,Joint Plans Analyst (JOC),DEV,MAJ
Cyber Branch,Instructor ( CyS/USMA/CAC)  (post -KD),DEV,MAJ
Cyber Branch,College Director (post -KD),DEV,MAJ
Cyber Branch,College Director ( CyS) (post -KD),DEV,MAJ
Cyber Branch,Assignments Officer (post -KD),DEV,MAJ
Cyber Branch,AROC Officer,DEV,MAJ
Cyber Branch,Course Manager (Cyber School),DEV,MAJ
Cyber Branch,Career Program Mgr. (post -KD),DEV,MAJ
Cyber Branch,Cyber/EW Integrator (CCoE),DEV,MAJ
Cyber Branch,Strategy/Policy Planner (SOCOM),DEV,MAJ
Cyber Branch,Cyber Branch Chief,DEV,MAJ
Cyber Branch,Cyber OC/T (CTCs),DEV,MAJ
Cyber Branch,Battle Watch Chief (JOC),DEV,MAJ
Cyber Branch,Cyber/EW Branch Chief,DEV,MAJ
Cyber Branch,Cyber/EW OC/T (CTCs),DEV,MAJ
Cyber Branch,Cyber Rsrch. Scientist (post -KD),DEV,MAJ
Cyber Branch,Watch Officer (JOC),DEV,MAJ
Cyber Branch,Career Program Manager (post -KD),DEV,MAJ
Cyber Branch,Cyber/EW Planner,DEV,MAJ
Cyber Branch,Cyber Operations Chief (JFHQ -CY),DEV,MAJ
Cyber Branch,Training/Exercises/Plans Officer,DEV,MAJ
Cyber Branch,Division CEWO,KD,LTC
