MOS,Assignment,Type,Rank
Electronic Warfare,FA 29,KD,CPT
Electronic Warfare,BCTs,KD,CPT
Electronic Warfare,multifunctional  brigades,KD,CPT
Electronic Warfare,Joint/multinational,DEV,CPT
Electronic Warfare,Academia,DEV,CPT
Electronic Warfare,special  operations  units,DEV,CPT
Electronic Warfare,CTC,DEV,CPT
Electronic Warfare,Centers of Excellence,DEV,CPT
Electronic Warfare,civilian enterprise,DEV,CPT
Electronic Warfare,FA 29,KD,MAJ
Electronic Warfare,Joint Electronic  Warfare  Center,DEV,MAJ
Electronic Warfare,Army  Central Command,DEV,MAJ
Electronic Warfare,Academia,DEV,MAJ
Electronic Warfare,special  operations  units,DEV,MAJ
Electronic Warfare,EW  program  manager  office,DEV,MAJ
Electronic Warfare,U.S. Army  Africa,DEV,MAJ
Electronic Warfare,NSA,DEV,MAJ
Electronic Warfare,CTCs,DEV,MAJ
Electronic Warfare,Centers  of  Excellence,DEV,MAJ
Electronic Warfare,U.S. Army  Pacific,DEV,MAJ
Electronic Warfare,HQDA,DEV,MAJ
Electronic Warfare,NATO  headquarters,DEV,MAJ
Electronic Warfare,Asymmetric  Warfare Group,DEV,MAJ
Electronic Warfare,FORSCOM,DEV,MAJ
Electronic Warfare,HRC,DEV,MAJ
Electronic Warfare,U.S. Army  Europe,DEV,MAJ
Electronic Warfare,DOD,DEV,MAJ
Electronic Warfare,civilian  enterprise,DEV,MAJ
Electronic Warfare,Army headquarters,KD,LTC
Electronic Warfare,ASCC,KD,LTC
Electronic Warfare,joint staff,KD,LTC
Electronic Warfare,Army division,KD,LTC
Electronic Warfare,corps,KD,LTC
Electronic Warfare,TCM  EW,DEV,LTC
Electronic Warfare,HQDA,DEV,LTC
Electronic Warfare,EW course director,DEV,LTC
Electronic Warfare,Center  of Excellence,DEV,LTC
Electronic Warfare,Training with Industry,DEV,LTC
Electronic Warfare,joint staff,KD,COL
Electronic Warfare,Army headquarters,KD,COL
Electronic Warfare,ASCC,KD,COL
Electronic Warfare,Army corps,KD,COL
Electronic Warfare,Joint/multinational,DEV,COL
Electronic Warfare,Academia,DEV,COL
Electronic Warfare,TCM EW,DEV,COL
Electronic Warfare,HQDA,DEV,COL
Electronic Warfare,civilian  enterprise,DEV,COL
