"","lemma","verb_count","item2","cooccurence_count"
"1","include",1481,"note",1329
"2","include",1481,"description",1268
"3","include",1481,"dj",1204
"4","include",1481,"routine",1188
"5","include",1481,"sn",441
"6","provide",1380,"priority",1220
"7","provide",1380,"date",1200
"8","provide",1380,"description",1197
"9","provide",1380,"note",1191
"10","provide",1380,"routine",1188
"11","support",1080,"operation",2546
"12","support",1080,"percent",2375
"13","support",1080,"plan",2286
"14","support",1080,"priority",2140
"15","support",1080,"measure",2110
"16","require",1014,"date",688
"17","require",1014,"note",678
"18","require",1014,"description",656
"19","require",1014,"dj",645
"20","require",1014,"routine",644
"21","coordinate",714,"priority",703
"22","coordinate",714,"date",671
"23","coordinate",714,"dj",665
"24","coordinate",714,"description",662
"25","coordinate",714,"routine",661
"26","conduct",713,"priority",826
"27","conduct",713,"approval",797
"28","conduct",713,"routine",796
"29","conduct",713,"description",794
"30","conduct",713,"date",793
"31","identify",703,"priority",527
"32","identify",703,"note",493
"33","identify",703,"description",488
"34","identify",703,"approval",479
"35","identify",703,"date",466
"36","establish",675,"priority",518
"37","establish",675,"note",502
"38","establish",675,"description",480
"39","establish",675,"date",474
"40","establish",675,"dj",467
"41","integrate",556,"percent",677
"42","integrate",556,"priority",576
"43","integrate",556,"approval",575
"44","integrate",556,"date",573
"45","integrate",556,"jp",571
"46","develop",460,"priority",427
"47","develop",460,"description",404
"48","develop",460,"date",396
"49","develop",460,"dj",394
"50","develop",460,"note",393
"51","have",439,"i",118
"52","have",439,"the",106
"53","have",439,"in",102
"54","have",439,"four",102
"55","have",439,"weeks",102
"56","understand",415,"priority",455
"57","understand",415,"date",434
"58","understand",415,"dj",433
"59","understand",415,"description",432
"60","understand",415,"routine",431
"61","assign",383,"priority",322
"62","assign",383,"date",320
"63","assign",383,"approval",319
"64","assign",383,"description",315
"65","assign",383,"note",314
"66","train",351,"percent",937
"67","train",351,"personnel",799
"68","train",351,"operation",666
"69","train",351,"yes",640
"70","train",351,"task",633
"71","use",331,"description",425
"72","use",331,"note",423
"73","use",331,"date",409
"74","use",331,"priority",405
"75","use",331,"dj",403
"76","plan",314,"percent",1786
"77","plan",314,"priority",1730
"78","plan",314,"approval",1669
"79","plan",314,"date",1641
"80","plan",314,"description",1632
"81","receive",307,"note",155
"82","receive",307,"description",146
"83","receive",307,"routine",146
"84","receive",307,"dj",145
"85","receive",307,"responsibility",118
"86","meet",286,"date",249
"87","meet",286,"note",242
"88","meet",286,"priority",240
"89","meet",286,"description",237
"90","meet",286,"dj",230
"91","maintain",268,"note",243
"92","maintain",268,"description",236
"93","maintain",268,"priority",228
"94","maintain",268,"date",227
"95","maintain",268,"dj",221
"96","determine",251,"description",237
"97","determine",251,"note",237
"98","determine",251,"dj",222
"99","determine",251,"include",216
"100","determine",251,"routine",215
"101","achieve",246,"note",183
"102","achieve",246,"description",182
"103","achieve",246,"dj",173
"104","achieve",246,"routine",167
"105","achieve",246,"objective",139
"106","base",237,"jp",311
"107","base",237,"note",310
"108","base",237,"description",307
"109","base",237,"approval",302
"110","base",237,"priority",298
"111","ensure",237,"note",219
"112","ensure",237,"description",211
"113","ensure",237,"dj",204
"114","ensure",237,"routine",200
"115","ensure",237,"relate",53
"116","execute",232,"description",204
"117","execute",232,"priority",203
"118","execute",232,"note",202
"119","execute",232,"approval",201
"120","execute",232,"date",201
"121","be",229,"done",2
"122","be",229,"has",2
"123","be",229,"needs",2
"124","be",229,"strongly",2
"125","be",229,"supervisor",2
"126","synchronize",201,"note",195
"127","synchronize",201,"description",190
"128","synchronize",201,"dj",186
"129","synchronize",201,"routine",175
"130","synchronize",201,"across",60
"131","communicate",198,"note",144
"132","communicate",198,"description",141
"133","communicate",198,"dj",140
"134","communicate",198,"routine",140
"135","communicate",198,"knowledge",118
"136","destroy",189,"note",146
"137","destroy",189,"description",144
"138","destroy",189,"dj",132
"139","destroy",189,"routine",125
"140","destroy",189,"include",94
"141","consider",188,"dj",115
"142","consider",188,"routine",115
"143","consider",188,"description",114
"144","consider",188,"note",109
"145","consider",188,"g",75
"146","deploy",184,"note",151
"147","deploy",184,"description",144
"148","deploy",184,"routine",142
"149","deploy",184,"dj",141
"150","deploy",184,"st",70
"151","involve",178,"note",202
"152","involve",178,"dj",199
"153","involve",178,"description",197
"154","involve",178,"routine",189
"155","involve",178,"sn",70
"156","work",175,"include",128
"157","work",175,"bureau",121
"158","work",175,"routine",109
"159","work",175,"date",108
"160","work",175,"description",105
"161","designate",172,"note",124
"162","designate",172,"dj",117
"163","designate",172,"routine",115
"164","designate",172,"dec",22
"165","designate",172,"sep",22
"166","focus",170,"description",118
"167","focus",170,"dj",117
"168","focus",170,"routine",116
"169","focus",170,"note",112
