State,index,Data Tools/Application Name,Data Source Name,Web Link to Data Tool,Brief Description
Alabama,1,data.census.gov,Census Data,https://data.census.gov/,Has most of the recent Census data; fairly easy to make custom tables
Alabama,2,PUMS,NHGIS,https://www.nhgis.org/,"The National Historical Geographic Information System (NHGIS) provides easy access to summary tables and time series of population, housing, agriculture, and economic data, along with GIS-compatible boundary files, for years from 1790 through the present and for all levels of U.S. census geography, including states, counties, tracts, and blocks."
Alabama,3,FRED,St. Louis Fed,https://fred.stlouisfed.org/,"Short for Federal Reserve Economic Data, FRED is an online database consisting of hundreds of thousands of economic data time series from scores of national, international, public, and private sources. FRED, created and maintained by the Research Department at the Federal Reserve Bank of St. Louis, goes far beyond simply providing data: It combines data with a powerful mix of tools that help the user understand, interact with, display, and disseminate the data."
Alaska,1,Migration Tracker,Alaska Permanent Fund Dividend ,https://live.laborstats.alaska.gov/pop/000013/000020/pfdmigr.cfm,This tool allows you to see annual migration between Alaska's boroughs and census areas based on permanent fund dividend filings.
Alaska,2,Population at a Glance,Alaska DOL Population Estimates,https://live.laborstats.alaska.gov/population/04000016/glance,Allows you to select a place or borough/census area and see a graph and table of the estimated population from 2010 to the current year.
Alaska,3,2020 Redistricting Data,2020 Census,https://live.laborstats.alaska.gov/cen/2020-census-data.html,Allows you to select from a number of geographies and see selected 2020 Census tables for that area.
Alaska,4,2020 Census Area Maps,US Census Bureau,https://live.laborstats.alaska.gov/census/maps/2020-pdf,Allows you to type in a geography and then displays a PDF map.
Arizona,1,population estimates and projections,,https://www.azcommerce.com/oeo/population/,Arizona State Demographer's Office produces population estimates and projections. We publish them online using old fashioned downloadable files. 
California,1,data.census.gov,U.S. Census Bureau,https://data.census.gov/,"Decennial and American Community Survey (ACS) data on population, race and ethnicity, housing costs, low-community engagement, and low-mobility populations (disabled, elderly, youth, and 1-vehicle households) for Environmental Justice and Title VI considerations for region's Regional Transportation Plan - Sustainable Communities Strategy. Also, used to create the Planner's Desk Reference - an agency product to increase access to census data and faciliate better workflow. Economic Census data."
California,2,HUD Fair Market Rents,HUD,https://www.huduser.gov/portal/datasets/fmr.html,Housing data
California,3,SCAG’s catalog of tools,Southern California Association of Governments (SCAG) ,https://scag.ca.gov/data-tools,Use especially SCAG's local profiles and jurisdictional reports 
California,4,California Department of Finance Demographic Research Unit,California Department of Finance Demographic Research Unit,https://dof.ca.gov/Forecasting/Demographics/,"Historical and current population estimates with components of change and rankings, Housing unit counts, demographic, social, economic, migration, and housing data from the decennial censuses, ACS, the Current Population Survey (CPS), and other special and periodic surveys, DRU Data Hub"
California,5,API,U.S. Census Bureau,https://www.census.gov/data/developers/data-sets.html,Use for ACS 1-year and 5-year datasets
California,6,BEA Regional Economic Information System (REIS),Bureau of Economic Analysis (BEA),https://apps.bea.gov/itable/?ReqID=70&step=1,"Use for GDP, personal income, and employment data"
