Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Web link of the tool,Variables Used (list all that apply),Geographic Levels,Geographic Levels2,number of geographic levels,Data Sources-Census,Data Sources-Census2,Data Sources-Non Census,Data Sources-Non Census2,Direct links to Census,Census link,Frequency,Age of data,Age of data2,Age of data_range,Historical data,Data Linkage,Citation,Notes
,Alaska,Estimates,Table Download,"Annual Components of Population Change for Alaska, 1945 to 2022",,"End of period population, Population change, growth rate (percent), Births, Deaths, Natural Increase, In Migration, Out Migration, Net Migration",State,State,,,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,2022,2022,"1945, 2022",Y,N,N/A,
,Alaska,Estimates,Table  Download,"Alaska Population by Age and Sex, 2010, 2020 to 2022",,"By Age: April 2010 Census-Total, Male, Female; April 2020 Estimate-Total, Male, Female; July 2021 Estimate-Total, Male, Female; July 2022 Estimate-Total, Male, Female",State,State,,U.S. Census Bureau,Census Bureau,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,2022,2022,"2010, 2022",Y,N,N/A,
,Alaska,Estimates,Table  Download,"Population of Alaska by Economic Region, Borough and Census Area, 2010, 2020 to 2022",,"Census April 2010, Census April 2020, Estimate July 2021, Estimate July 2022, Natural Increase (Births-Deaths) 2010-2020, Natural Increase (Births-Deaths) 2020-2022, Net Migration (in-out migrants) 2010-2020,  Net Migration (in-out migrants) 2020-2022, Population change 2010-2020, Population change 2020-2022, Average annual growth rate (percent) 2010-2020,  Average annual growth rate (percent) 2020-2022   ","Region, Borough and Census Area","Region, Borough, Census Area",,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,Vintage 2022. All numbers are based on 2020 geography.,2022,"2010, 2022",Y,N,N/A,
,Alaska,Estimates,Table  Download,"Components of Population Change for Alaska Regions, Boroughs and Census Areas, 2020 to 2022",,"End of period population, Population change, growth rate (percent), Births, Deaths, Natural Increase, Net Migration","Regions, Boroughs and Census Areas","Region, Borough, Census Area",,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,Vintage 2022. All numbers are based on 2020 geography.,2022,"2020, 2022",Y,N,N/A,
,Alaska,Estimates,Table  Download,"Alaska Population by Age, Sex and Borough/Census Area, 2010, 2020 to 2022",,"By Age: April 2010 Census-Total, Male, Female; April 2020 Estimate-Total, Male, Female; July 2021 Estimate-Total, Male, Female; July 2022 Estimate-Total, Male, Female","Regions, Boroughs and Census Areas","Region, Borough, Census Area",,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,Vintage 2022. All numbers are based on 2020 geography.,2022,"2010, 2022",Y,N,N/A,
,Alaska,Estimates,Table  Download,"Alaska Population Estimates by Borough, Census Area, City, and Census Designated Place (CDP), 2010, 2020 to 2022",,"Census Total April 2010, Census Total April 2020, Estimate Total July 2021, Estimate Total July 2022, Census Group Quarters April 2010, Census Group Quarters April 2020, Estimate  Group Quarters July 2021, Estimate Group Quarters July 2022","Borough, Census Area, City, and Census Designated Place (CDP)","Borough, Census Area, City/Town, Census Designated Place",,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,"Vintage 2022. Unless noted otherwise, all numbers are based on 2020 geography.",2022,"2010, 2022",Y,N,N/A,
,Alaska,Estimates,Table  Download,"Population by Age and Sex for Alaska Cities and Census Designated Places (CDPs) with a Population of 1,000 or More, 2010, 2020 to 2022",,"By Age: April 2010 Census-Total, Male, Female; April 2020 Estimate-Total, Male, Female; July 2021 Estimate-Total, Male, Female; July 2022 Estimate-Total, Male, Female","Cities and Census Designated Places (CDPs) with a Population of 1,000 or More","City/Town, Census Designated Place",,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,"Vintage 2022. Unless noted otherwise, all numbers are based on 2020 geography.",2022,"2010, 2022",Y,N,N/A,
,Alaska,Estimates,Table Download,"Alaska Population Estimates by Borough, Census Area, and Census Tract, 2010, 2020 to 2022",,"Census Total April 2010, Census Total April 2020, Estimate Total July 2021, Estimate Total July 2022, Census Group Quarters April 2010, Census Group Quarters April 2020, Estimate  Group Quarters July 2021, Estimate Group Quarters July 2022","Borough, Census Area, and Census Tract","Borough, Census Area, Census Tract",,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,"Vintage 2022. Unless noted otherwise, all numbers are based on 2020 geography.",2022,"2010, 2022",Y,N,N/A,
,Alaska,Estimates,Table Download,"Alaska Population Estimates by Alaska Native Village Statistical Area (ANVSA), 2020 to 2022",,"Census Total April 2020, Estimate July 2021, Estimate July 2022",Native Village Statistical Area (ANVSA),Native Village Statistical Area ,,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,"Vintage 2022. Unless noted otherwise, all numbers are based on 2020 geography.",2022,"2020, 2022",Y,N,N/A,
,Alaska,Estimates,Table Download,"Alaska Population Estimates by Alaska Native Regional Corporation (ANRC), 2020 to 2022",,"Census Total April 2020, Estimate July 2021, Estimate July 2022",Native Regional Corporation (ANRC),Native Regional Corporation ,,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,"Vintage 2022. Unless noted otherwise, all numbers are based on 2020 geography.",2022,"2020, 2022",Y,N,N/A,
