Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Source-Census (Standardized),Data Sources-Non Census,Data Source-Non Census (Standardized),Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
20,Alabama,Income,"table download, table",HUD FY 2021 Median Family Income for Alabama Counties by Metropolitan Statistical Area and Nonmetropolitan Counties,"Median Family Income, Percent of State Average, Percent of National Average","Household, County",,,"HUD Office of Economic Affairs, Economic and Market Analysis Division, 2021.",HUD,N,N,As released,2021,N,N,N,,
,Alabama,Income,"table download, table","Total Personal Income for States, 2017-2022",Personal income at different year,"State, Region",,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2023,Y,N,N,,
,Alabama,Income,"table download, table","Per Capita Personal Income for States, 2017-2022",Personal income at different year,"State, Region",,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2022,Y,N,N,,
,Alabama,Income,"table download, table","Per Capita Disposable Personal Income for States, 2017-2022",Personal income at different year,"State, Region",,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2022,Y,N,N,,
,Alabama,Income,"table download, table","Total Personal Income for Alabama Counties, 2017-2021",Personal income at different year,County,,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2021,Y,N,N,,
,Alabama,Income,"table download, table","Per Capita Personal Income Estimates for Alabama Counties, 2017-2021",Personal income at different year,County,,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2021,Y,N,N,,
,Alabama,Wage,"table download, table","Wages and Salaries for Alabama Counties, 2017-2021",Wage at different year,County,,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2021,Y,N,N,,
,Alabama,Wage,"table download, table","Average Wages and Salaries per Job for Alabama Counties, 2017-2021",Average Wage at different year,County,,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2021,Y,N,N,,
,Alabama,Income,"table download, table","Per Capita Personal Income for Alabama's Metropolitan and Micropolitan Statistical Areas, 2017-2021",Per capita personal income at different year,"Metropolitan Area, Micropolitan Area",,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2021,Y,N,N,,
,Alabama,Income,"table download, table","Median Household Income by State, 2021",Income at different year,State,,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2021,N,N,N,,
,Alabama,Income,"table download, table","Median Household Income by County, 2021",Income at different year,County,,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2021,N,N,N,,
,Alabama,Income,"table download, table","Median Household Income by State, 1984 to 2021",Income at different year,State,U.S. Census Bureau,Census Bureau,N/A,,Y,https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-income-households.html,As released,2021,Y,N,N,,
,Alabama,Income,"table download, table","Median Earnings by Educational Attainment for U.S. and Alabama, 2021",Income at different year,State,U.S. Census Bureau,Census Bureau,N/A,,N,N,As released,2021,N,N,N,,
,Alabama,Income,"table download, table",Alabama Counties Income and Benefits 2017-2021 Estimates,Income categories,County,U.S. Census Bureau,Census Bureau,N/A,,N,N,As released,2021,N,N,N,,
,Alabama,Wage,"table download, table","Total Wage and Salary Employment in Alabama Counties, 2017-2021",Wage at different year,County,,," U.S. Department of Commerce, Bureau of Economic Analysis. ",Bureau of Economic Analysis,N,N,As released,2021,Y,N,N,,
,Alabama,Employment,"table download, table","Labor Force, Employment, Unemployment, and Unemployment Rate for Alabama and MSAs, 2022","Month, Labor force, Employment, Unemployment",County,,,Alabama Department of Labor.,Local government/Institute,N,N,As released,2022,N,N,N,,
,Alabama,Employment,"table download, table","Occupation of Alabama Workers by Hispanic Origin, 2021",Number of workers by race and occupation,State,U.S. Census Bureau,Census Bureau,N/A,,N,N,As released,2021,N,N,N,,
,Alabama,Economy,"table download, table","Alabama Gross Domestic Product - Quarterly(Millions of current Dollars), 2017 -2022",GDP by year and quarter,State,,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2022,Y,N,N,,
,Alabama,Economy,"table download, table","Alabama and Metro Area GDP, 2017-2021",GDP by year,"County, State",,,"U.S. Department of Commerce, Bureau of Economic Analysis.",Bureau of Economic Analysis,N,N,As released,2021,Y,N,N,,
,Alabama,Economy,"table download, table","Alabama Gross Domestic Product - Percent Change from Preceding Period (Millions of Chained 2012 Dollar), 1998-2021",GDP by year and industry,State,,,Bureau of Economic Analysis,Bureau of Economic Analysis,N,N,As released,2023,Y,N,N,,
5,Alaska,Employment,"table download, table",ALASKA MONTHLY EMPLOYMENT STATISTICS,"Month, Industry",State,,," Alaska Department of Labor and Workforce Development, Research and Analysis Section",Local government/Institute,N,N,Anually,2023,Y,N,N,,
,Alaska,Employment & Wage,"table download, table","Revised Annual Employment and Wages
January - December 2022","Month, Industry","County, State",,," Alaska Department of Labor and Workforce Development, Research and Analysis Section",Local government/Institute,N,N,As released,2022,N,N,N,,
,Alaska,Unemployment,"table download, table, Data visualization","Alaska Statewide Unemployment Rate
May 2023","Alaska unemployment rate, US unemployment rate","State, Metropolitan Area, Micropolitan Area",,," U.S. Department of Labor, Bureau of Labor Statistics",Bureau of Labor Statistics,N,N,Anually,2023,Y,N,N,,
,Alaska,Wage,"table download, table",ALASKA STATEWIDE WAGES 2022,"Wage mean, wage by percentile, occupation",State,,,,,N,N,As released,2022,N,N,N,No data source,
,Alaska,Employment,"table download, table, Data visualization, Projection","Projected job growth or loss by Alaska industry, 2018 to 2028",Occupation,State,,," Alaska Department of Labor and Workforce Development, Research and Analysis Section",Local government/Institute,N,N,As released,2020,N,N,N,,
3,Arizona,Employment & Wage,"table download, table, Data visualization",INDUSTRY EMPLOYMENT AND WAGES,"Year, Month, Industry","State, County, Metropolitan Area, Micropolitan Area",,,"the U.S. Department of Labor, Bureau of Labor Statistics",Bureau of Labor Statistics,N,N,Monthly,2023,Y,N,N,"Arizona State Data Center doesn't have economy data, the economy data is collected by Arizona Commerce Authority (Insitute that Arizona SDC affiliated to)",
