Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
,Alabama,Estimates,Table Download,2020 to 2022 County Housing Units,"Estimates Base (April 1, 2020); Housing Unit Estimate (as of July 1): 2020, 2021, 2022; Change (July 2020-2022): Number, Percent","State, County",Decennial Census,University of Alabama,N,N,As released,2020,N,N,N,,
,Alabama,Estimates,Table Download,2010 to 2020 County Housing Unit Estimates,"April 1 2010: Census, Est. Base; Housing Unit Estimate (as of July 1): 2010-2020; Change 7/1/2010 to 7/1/2020; Change 7/1/2019 to 7/1/2020","State, County",Decennial Census,University of Alabama,N,N,As released,2010,N,N,N,,
,Alaska,Housing Prices / Rent,Data Visualization,"Average Sales Price For Single-Family Home, Alaska 1992 to 2022","Average Sales Price, Inflation Adjusted Sales Price",State,,"Department of Labor and Workforce Development, Housing Finance Authority",N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Prices / Rent,Data Visualization,Annual Housing Interest Rates 1992 to 2022,Annual Interest Rates,State,,"Department of Labor and Workforce Development, Housing Finance Authority",N,N,Annually,2022,Y,N,N,,
,Alaska,Foreclosures,Data Visualization,"Foreclosures, Alaska 1980 to 2022",Foreclosures ,State,,"Department of Labor and Workforce Development, Housing Finance Authority",N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Prices / Rent,Data Visualization,"Alaska Affordability Index, Alaska 1992 to 2022",Affordability Index,State,,"Department of Labor and Workforce Development, Housing Finance Authority",N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Units,Data Visualization,"New Housing Units, Alaska 1992 to 2022",New Units,State,,"Department of Labor and Workforce Development, Housing Finance Authority",N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Prices / Rent,Data Visualization,"Refinancing Activity For Single-Family Homes, Alaska 2006 to 2022",Refinancing Activity,State,,"Department of Labor and Workforce Development, Housing Finance Authority",N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Prices / Rent,Table Download,Single-Family Alaska Loan Activity By Area,"Quarter, Num of Loans, Avg Loan, Total Loans, % Loan Volume, Avg Sales Price, Total Sales Vol, % Market Value",City,,,N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Prices / Rent,Table Download,Condominium Alaska Loan Activity By Area,"Quarter, Num of Loans, Avg Loan, Total Loans, % Loan Volume, Avg Sales Price, Total Sales Vol, % Market Value",City,,,N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Prices / Rent,Table Download,Multi-Family Alaska Loan Activity By Area,"Quarter, Num of Loans, Avg Loan, Total Loans, % Loan Volume, Avg Sales Price, Total Sales Vol, % Market Value",City,,,N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Units,Table Download,Alaska New Housing Units,"Total New Units, Single-Family, Multi-Family, Mobile Home",Census Area,,,N,N,Annually,2022,Y,N,N,,
,Alaska,Foreclosures,Table Download,Alaska Foreclosures,"Quarter, Anchorage RD, Bethel RD, Fairbanks RD, Juneau RD, Kenai RD, Ketchikan RD, Kodiak RD, Palmer RD, Sitka RD, Rest of State, Grand Total",Region,,,N,N,Annually,2022,Y,N,N,,
,Alaska,Housing Prices / Rent,Table Download,Mortgage Rates,"Year, 1st Quarter, 2nd Quarter, 2rd Quarter, 4th Quarter",State,,,N,N,Annually,2022,Y,N,N,,
