State,Mission_Statement_Status,Link,Mission_Statment_Text,Statement_Type,Host_Type,Coordinating,Examined
Alabama,Y,https://cber.culverhouse.ua.edu/alabama-state-data-center/,"The Alabama State Data Center (ASDC) was formed in 1978 as a partnership between the U.S. Census Bureau and the State of Alabama to empower data users throughout the state with understandable, accurate, and timely information. The main emphasis of the ASDC is disseminating information and data produced by the Census Bureau to state and local governments and the data users within our community. The Center for Business and Economic Research (CBER) is the lead data center for ASDC and coordinates the affiliate data centers throughout the state. To support the data dissemination mission, you can reach out to CBER staff or the regional ASDC affiliates with data requests, and we’ll answer questions, help you find and access data, or connect you with the Census Bureau for free. As the lead agency, CBER also pulls some relevant demographic data and houses it on our Alabama Demographics webpage for easy access.",SDC,University,1,Y
Alaska,Y,https://live.laborstats.alaska.gov/cen/index.html,The Alaska Department of Labor and Workforce Development has had a cooperative agreement with the U.S. Census Bureau since 1981. We assist the Bureau with geographic programs and help Alaskans find Census Bureau data.,SDC,State Agency,3,Y
Arizona,Y,https://www.azcommerce.com/oeo/population/arizona-state-data-center-sdc/,"The State Data Center (SDC) Program is one of the Census Bureau's longest and most successful partnerships. The partnership between the 50 states, District of Columbia, Puerto Rico, the island areas and the Census Bureau was created in 1978 to make data available locally to the public through a network of state agencies, universities, libraries, and regional and local governments.",SDC,Other,4,Y
Arkansas,Y,https://arstatedatacenter.youraedi.com/about-us/,"The Arkansas Data Center website provides a variety of Census data, both past and present, of interest to Arkansans.",SDC,University,1,Y
California,Y,https://dof.ca.gov/forecasting/demographics/state-census-data-center/,"The State Census Data Center (SCDC) was established on January 1, 1979, to serve as the central point for the dissemination of census data in California. The SCDC program was instituted by the U.S. Census Bureau to increase and improve public access to census data products. The SCDC provides services to state and local government agencies and to the general public. The Center processes machine-readable data files; prepares customized reports; and provides user consultation, data analysis, mapping, and training workshops upon request. The SCDC library houses publications and maps from the decennial censuses, the American Community Survey, the Current Population Survey, and other special and periodic surveys.",SDC,State Agency,5,Y
Colorado,Y,https://demography.dola.colorado.gov/,"The primary source for Colorado population and demographic information. The State Demography Office provides population estimates and forecasts for Colorado’s regions, counties, and municipalities developed by the State Demography Office and the U.S. Census Bureau. You can access data visualizations, data spreadsheets, data lookup applications, data spreadsheets, data links, and technical documentation by topic or geography by clicking on one of the buttons on the left.",Host,State Agency,0,Y
Connecticut,Y,https://www.ctdata.org/census,"In 1978, the Census State Data Center (SDC) Program began as a cooperative agreement between the states and the U.S. Census Bureau. State Data Centers assist the Census Bureau by disseminating census and other federal statistics. As a Census State Data Center partner, CTData is the local resource to contact with questions about finding and interpreting census data. In addition to census data, we also make state public data available in an accessible format. As the CT Census State Data Center we: Provide press releases about data trends throughout Connecticut, Share tutorials on how to access census data online, Answer questions about census data, Publicize available datasets through our networks, Manage a statewide data portal with accessible data tools, Partner with local governments in maintaining proper boundary files at the Census Bureau, Advocate for accurate and timely data products",SDC,Other,0,Y
Delaware,Y,https://stateplanning.delaware.gov/demography/index.shtml,"The Delaware Census State Data Center is a network of state, local, academic and private sector partners organized under an agreement between the State of Delaware and the U.S. Census Bureau and working together to create, share, and disseminate demographic, economic and other data for Delaware.",SDC,State Agency,1,Y
District of Columbia,Y,https://planning.dc.gov/page/state-data-center,"The State Data Center (SDC) is a mandated function of the Office of Planning set in place by a memorandum of agreement between the Census Bureau and the District of Columbia government in 1978. The SDC is part of a network of 56 SDC lead organizations and approximately 1,800 affiliates. The mission of the SDC is to provide easy and effective access to the Census Bureau’s data and information. The main functions of the SDC are: program administration, data dissemination, data analyses, technical assistance and consultation, product development, and education and promotion of censuses and surveys.",SDC,State Agency,3,Y
Florida,Y,http://edr.state.fl.us/Content/state-data-center/index.cfm,"The Office of Economic and Demographic Research has been designated by statute as the lead for the Census Bureau's State Data Center Program. This partnership program enables the state to interact with the Census Bureau regarding new and existing products, programs, and tools. As part of this program, EDR wil be creating customized census products and assisting data users with their needs. In addition, EDR's redistricting pages provide links to current and historical US Congressional, Florida House, and Florida Senate district maps and data. These products include the following: Census Data, Census Data Tools, Census Training, Census Surveys and Programs, Income and Poverty Estimates, Census Products Developed by Other State Agencies
",SDC,State Agency,1,Y
